instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P1:status,P1:successful_repeats,P1:result,T2:status,T2:successful_repeats,T2:result,result_match,P1:matches_reference,T2:matches_reference,P1:wall_vs_Concorde_symmetric_change,T2:wall_vs_Concorde_symmetric_change,P1:wall_seconds,T2:wall_seconds,symmetric_change:wall_seconds,P1:branches,T2:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.9676335262405322,-1.8382099295330354,0.03350801579654217,0.0350359957665205,0.045600431229831706,58.0,95.0,0.6379310344827587
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.6287229669139678,-0.8007348285103666,0.01656939648091793,0.024188099429011345,0.45980570003665844,3.0,3.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.6204853714810237,-0.9611509678112671,0.018575431779026985,0.024820448830723763,0.3361976790627208,12.0,14.0,0.16666666666666674
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.0794858280958946,-1.7592790034443757,0.03293823450803757,0.024823365733027458,-0.32690445213129515,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4092773688921283,0.45088468031897433,0.07127027772367,0.14572626166045666,1.0446989448458206,336.0,1590.0,3.7321428571428568
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.8005651482005347,-2.4860170525954124,0.007747231051325798,0.00844627432525158,0.09023137031728945,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.9379804348081822,-0.6716486211004098,0.024225668981671333,0.02808537147939205,0.15932284473303482,7.0,7.0,0.0
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.9529113684639334,-1.3543006193329838,0.01280270516872406,0.016057955101132393,0.2542626647656181,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.375031220426811,27.187676337828957,0.4717184267938137,2.085738230496645,3.4215746344128144,1254.0,157200.0,124.35885167464114
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.19815346463265704,0.6345722292847835,0.0742553360760212,0.10130230709910393,0.364242793210074,615.0,1258.0,1.0455284552845527
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,2.071182739940321,12.23028376785818,0.18458176776766777,0.7951559294015169,3.3078790447081214,707.0,130337.0,183.35219236209335
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.1030419835577217,-1.0647497987650145,0.013104226440191269,0.013347253203392029,0.018545677939094896,1.0,1.0,0.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,933.8323070343043,916.3649651036826,319.56880883686244,313.59766555018723,-0.01904077722070796,24087201.0,23880666.0,-0.008648628141275427
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.36713932886564127,-0.4979013228951201,0.012157224118709564,0.011095937341451645,-0.09564642847190719,1.0,1.0,0.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.527184166574526,-0.5973855034735538,0.00800187699496746,0.007650213316082954,-0.04596782656311138,1.0,1.0,0.0
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.602315362455149,-0.36407574265985243,0.01002887450158596,0.0191325843334198,0.9077499005889629,1.0,1.0,0.0
