instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P1:status,P1:successful_repeats,P1:result,T2:status,T2:successful_repeats,T2:result,result_match,P1:matches_reference,T2:matches_reference,P1:wall_vs_Concorde_symmetric_change,T2:wall_vs_Concorde_symmetric_change,P1:wall_seconds,T2:wall_seconds,symmetric_change:wall_seconds,P1:branches,T2:branches,symmetric_change:branches
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3854078978233546,2.596007371021708,0.27016280964016914,0.2869690991938114,0.062208005520917764,79114.0,95108.0,0.20216396592259267
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,17.04201170147511,36.43757157460674,4.09349980391562,8.49410223402083,1.075022020495966,553254.0,2239661.0,3.0481605193997696
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.6007131962558323,-0.4312251934159994,0.028924429789185524,0.032349707558751106,0.11842161779957538,16.0,24.0,0.5
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,6534.116892815944,7011.709117554585,731.5678390935063,785.0314752534032,0.07308090009279833,172105550.0,189220938.0,0.09944704281761974
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,323.10987925151034,393.2542606434245,32.761138409376144,39.851356679573655,0.21642160848013492,8892308.0,11304135.0,0.2712262103381935
kroD100.tsp,ok,0.13640364445745945,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,1616.2574882581728,3203.6688528128925,220.5998154245317,437.12851080298424,0.9815452246039076,63405303.0,126007866.0,0.9873395447696227
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.0837437871962265,1.1634712428202976,0.18991939537227154,0.19718602299690247,0.038261640473250313,74.0,106.0,0.43243243243243246
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,11.255624668181047,10.549539862584167,5.530009787529707,5.211408656090498,-0.061135319155381174,395726.0,615062.0,0.5542622925963925
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.8871804693968701,-1.082000086274709,0.3991513270884752,0.5535167474299669,0.38673407769298307,1257.0,49599.0,38.4582338902148
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,7.96936893139247,15.011321794888865,0.82435043156147,1.471557267010212,0.7851112957177862,59691.0,152860.0,1.5608550702786013
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,16.70865421387788,147.47933397640153,1.169208288192749,9.803301019594073,7.384563399518049,140028.0,4094870.0,28.243222784014627
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.5334595674793854,-0.3163090808630562,0.021387573331594467,0.024915864691138268,0.1649692232419695,5.0,6.0,0.19999999999999996
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.8327975422745628,-1.2240437522827126,0.016668368130922318,0.021230747923254967,0.27371484457850137,1.0,1.0,0.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-2.2345032357474675,-1.0330647678968239,0.014003165066242218,0.022278327494859695,0.5909494310373173,1.0,1.0,0.0
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroA150.tsp,ok,0.4832456335425377,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB100.tsp,ok,0.18441025167703629,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB150.tsp,ok,0.4672635402530432,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroE100.tsp,ok,0.2567499540746212,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr107.tsp,ok,0.16206598654389381,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr136.tsp,ok,0.5381354987621307,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr144.tsp,ok,0.2744617722928524,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr152.tsp,ok,0.8584825918078423,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr76.tsp,ok,0.21573120914399624,108159.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
qa194.tsp,ok,0.4701696112751961,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
rat195.tsp,ok,2.8730149008333683,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
si175.tsp,ok,1.8025635667145252,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
u159.tsp,ok,0.1227664165198803,42080.0,1.0,ok,1,42080.0,timeout,0,,,True,,3906.174233653981,,479.66977938450873,,,24067660.0,,
xqf131.tsp,ok,0.3606609869748354,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
