instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P0:status,P0:successful_repeats,P0:result,B2:status,B2:successful_repeats,B2:result,result_match,P0:matches_reference,B2:matches_reference,P0:wall_vs_Concorde_symmetric_change,B2:wall_vs_Concorde_symmetric_change,P0:wall_seconds,B2:wall_seconds,symmetric_change:wall_seconds,P0:branches,B2:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.9678524508798905,-1.7160206672466751,0.03350554406642914,0.03661220706999302,0.09272086426665727,373.0,351.0,-0.06267806267806275
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.4902011210950006,-0.9186959082805792,0.01749109849333763,0.022701019421219826,0.2978612766869191,3.0,3.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.9241974537523734,-1.2703684462012945,0.01664615608751774,0.02143997699022293,0.287983656857566,15.0,16.0,0.06666666666666665
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7092516556730515,-1.8807552230831721,0.025281738489866257,0.02377660945057869,-0.06330292981495456,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,3.3158139627522116,0.17978862637221815,0.43347858265042305,0.11849748529493809,-2.6581247405504236,168561.0,33954.0,-3.964393002297226
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.5859445483039893,-2.886389211029222,0.008210906758904457,0.007576147094368935,-0.08378396784393427,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.8473559899871637,-0.714634747295378,0.02541409060359001,0.02738126739859581,0.07740496505225791,12.0,11.0,-0.09090909090909083
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.3077932678952964,-1.5137348241454291,0.016381559893488884,0.0150394756346941,-0.08923743695549935,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,164.78367754551385,1.4270519403687203,12.267110992223024,0.1795889437198639,-67.30660472817397,3763318.0,5176.0,-726.0707109737249
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.29541731702908547,0.524655936315406,0.08028324507176876,0.09449026547372341,0.17696121263227926,18700.0,26263.0,0.4044385026737969
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,8.635567022801855,12.536872602512085,0.5791091397404671,0.8135822862386703,0.4048859367049267,132106.0,236157.0,0.7876326586226212
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-3.413304745481917,-1.0878884004843687,0.006244467571377754,0.01319933496415615,1.113764674614829,1.0,1.0,0.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,933.1743057931262,824.7305752451088,319.34387365728617,282.27280375920236,-0.13133064682245443,23991715.0,19780074.0,-0.21292341980115959
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.5372716306355632,-0.9374747179758314,0.010811764746904373,0.008578496053814888,-0.26033335902699895,1.0,1.0,0.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.644261140170628,-0.3796007140305231,0.007432116195559502,0.008857881650328636,0.19183842357322023,1.0,1.0,0.0
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.4725300710290914,-1.1108719566816285,0.010555298998951912,0.012363750487565994,0.171331147397497,1.0,1.0,0.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3696336779601084,4.519273424525803,0.2689039930701256,0.4404498543590307,0.6379446408747411,125818.0,249469.0,0.9827767092148978
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,33.79782849041467,20.441648002829215,7.895178567618132,4.864833442494273,-0.622908299111296,2490722.0,1414316.0,-0.7610788536649518
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.673005771025232,-0.6620470704154608,0.027674570679664612,0.027857042849063873,0.006593495939337002,44.0,64.0,0.4545454545454546
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,7111.758991866426,11026.289888411118,796.2314693089575,1234.4401434641331,0.5503533721613556,192614325.0,350818907.0,0.8213541853649775
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,392.23860174425766,42.610180548261134,39.74869352765381,4.408132094889879,-8.017128496156554,11756617.0,1137227.0,-9.33796858498787
kroD100.tsp,ok,0.13640364445745945,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,3273.3185997668834,757.1928679829945,446.6289901230484,103.42027039453387,-3.318582695821828,129214031.0,30189385.0,-3.2801147158181596
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.0889684229499932,1.1359645991909422,0.19039558619260788,0.19467897526919842,0.022497312895989996,348.0,198.0,-0.7575757575757576
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,6.837489940270649,10.682669155487341,3.5364493653178215,5.271479547023773,0.49061360773930507,660814.0,1058757.0,0.6022012245503274
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.117233027130498,-3.8919311748485983,0.5443056579679251,0.23557606898248196,-1.3105303536090545,91741.0,29193.0,-2.142568423937245
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,22.122539514886938,33.597548499561825,2.125130048021674,3.1797670777887106,0.4962694074881766,525879.0,808376.0,0.5371901140756714
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,335.76104804245426,103.19092823564102,22.234541583806276,6.8791730515658855,-2.2321532569594384,8607708.0,2839355.0,-2.031571606931856
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-1.314943064299241,0.009473274940844156,0.014167509973049164,0.03310767374932766,1.336873156419748,8.0,5.0,-0.6000000000000001
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-2.1716777654400152,-1.620385749253682,0.014887424185872078,0.018019527196884155,0.21038582443189813,1.0,1.0,0.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-3.3883222764963,-3.66492078900216,0.010321320965886116,0.00970933586359024,-0.06303058323389599,1.0,1.0,0.0
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroA150.tsp,ok,0.4832456335425377,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB100.tsp,ok,0.18441025167703629,22141.0,1.0,timeout,0,,ok,1,22141.0,,,True,,1052.1535733224248,,194.21231551095843,,,51654467.0,
kroB150.tsp,ok,0.4672635402530432,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroE100.tsp,ok,0.2567499540746212,22068.0,1.0,timeout,0,,ok,1,22068.0,,,True,,4587.216284945133,,1178.0243204440922,,,340021360.0,
pr107.tsp,ok,0.16206598654389381,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr136.tsp,ok,0.5381354987621307,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr144.tsp,ok,0.2744617722928524,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr152.tsp,ok,0.8584825918078423,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
