instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P0:status,P0:successful_repeats,P0:result,B1:status,B1:successful_repeats,B1:result,result_match,P0:matches_reference,B1:matches_reference,P0:wall_vs_Concorde_symmetric_change,B1:wall_vs_Concorde_symmetric_change,P0:wall_seconds,B1:wall_seconds,symmetric_change:wall_seconds,P0:branches,B1:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.9678524508798905,-2.0678945060704295,0.03350554406642914,0.032412949949502945,-0.03370856767521557,373.0,428.0,0.14745308310991967
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.4902011210950006,-0.977112756140013,0.01749109849333763,0.022030282765626907,0.2595139621458453,3.0,2.0,-0.5
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.9241974537523734,-1.300624643348315,0.01664615608751774,0.021158013492822647,0.2710450017159314,15.0,17.0,0.1333333333333333
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7092516556730515,-1.9103664761021961,0.025281738489866257,0.02353469654917717,-0.07423260958723388,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,3.3158139627522116,3.9784971351977685,0.43347858265042305,0.5000382084399462,0.1535476686819377,168561.0,192583.0,0.14251220626360794
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.5859445483039893,-2.7636405497147787,0.008210906758904457,0.007823238149285316,-0.04955347162153756,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.8473559899871637,-0.9073558199493708,0.02541409060359001,0.024614637717604637,-0.032478758987120715,12.0,16.0,0.33333333333333326
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.3077932678952964,-1.3010811142350431,0.016381559893488884,0.016429344192147255,0.002916956563908446,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,164.78367754551385,175.5522548259442,12.267110992223024,13.063928475603461,0.0649555941806994,3763318.0,3903024.0,0.03712309190985197
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.29541731702908547,0.4720435576867532,0.08028324507176876,0.09122962318360806,0.13634698126681144,18700.0,26804.0,0.43336898395721923
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,8.635567022801855,9.36664796207445,0.5791091397404671,0.6230479814112186,0.07587316216498174,132106.0,157563.0,0.19270131561019177
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-3.413304745481917,-0.8567961972253257,0.006244467571377754,0.014842091128230095,1.376838530839771,1.0,1.0,0.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,933.1743057931262,718.2412837614382,319.34387365728617,245.8698512967676,-0.2988329881561389,23991715.0,20132314.0,-0.19170180834652184
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.5372716306355632,0.5667893105186108,0.010811764746904373,0.02604100853204727,1.4085807582433145,1.0,1.0,0.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.644261140170628,0.5384856445418926,0.007432116195559502,0.01880081743001938,1.529672160030596,1.0,1.0,0.0
