instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P0:status,P0:successful_repeats,P0:result,B4:status,B4:successful_repeats,B4:result,result_match,P0:matches_reference,B4:matches_reference,P0:wall_vs_Concorde_symmetric_change,B4:wall_vs_Concorde_symmetric_change,P0:wall_seconds,B4:wall_seconds,symmetric_change:wall_seconds,P0:branches,B4:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.9678524508798905,-1.5026696662098034,0.03350554406642914,0.03973337449133396,0.18587462458622772,373.0,420.0,0.126005361930295
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.4902011210950006,-0.840277761928937,0.01749109849333763,0.023668358102440834,0.35316590387139635,3.0,3.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.9241974537523734,-0.7503054804300973,0.01664615608751774,0.027810372412204742,0.6706783395512306,15.0,16.0,0.06666666666666665
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7092516556730515,-1.438357766695217,0.025281738489866257,0.02809046022593975,0.11109685899169164,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,3.3158139627522116,-0.36670412637070315,0.43347858265042305,0.07349036820232868,-4.898440751541743,168561.0,12213.0,-12.801768607221813
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.5859445483039893,-2.391961928606696,0.008210906758904457,0.008680479601025581,0.057188914197800145,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.8473559899871637,-0.7705795805974054,0.02541409060359001,0.026516104117035866,0.04336230363836746,12.0,13.0,0.08333333333333326
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.3077932678952964,-2.2709445019508947,0.016381559893488884,0.01155790127813816,-0.4173472760556194,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,164.78367754551385,28.19483026484135,12.267110992223024,2.160262268036604,-4.678528562817618,3763318.0,572177.0,-5.577192022748205
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.29541731702908547,0.9195999672281658,0.08028324507176876,0.11896684765815735,0.4818390506239203,18700.0,37072.0,0.9824598930481283
