instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,T1:status,T1:successful_repeats,T1:result,T3:status,T3:successful_repeats,T3:result,result_match,T1:matches_reference,T3:matches_reference,T1:wall_vs_Concorde_symmetric_change,T3:wall_vs_Concorde_symmetric_change,T1:wall_seconds,T3:wall_seconds,symmetric_change:wall_seconds,T1:branches,T3:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.4485671692680864,-1.1872150327935702,0.040611306205391884,0.045463984832167625,0.11949082854496962,56.0,56.0,0.0
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1681774927935695,-0.9408545037574783,0.0200889240950346,0.022441843524575233,0.11712520881704203,3.0,3.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.5461076710173058,-4.858238789843328,0.019118063151836395,0.008309092372655869,-1.3008605867412704,9.0,9.0,0.0
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.3788974412950585,-1.7393162561886069,0.028792578727006912,0.02500426582992077,-0.15150666381705746,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.31699340175101964,0.30332411934671266,0.13227827660739422,0.13090533949434757,-0.0104880146092583,732.0,732.0,0.0
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.4328112523320566,-1.7570463393359983,0.00857718475162983,0.010679492726922035,0.24510466267999265,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.3280735245164847,-0.49928710133439647,0.02016640454530716,0.03131413087248802,0.552787002865863,3.0,3.0,0.0
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.9609845394944376,-0.6557763280059645,0.019278710708022118,0.022832343354821205,0.18432937246785785,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,7.002436892447726,6.839412571149975,0.5921377968043089,0.5800748635083437,-0.020795476678660885,3122.0,2958.0,-0.05544286680189314
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.8148174373808212,0.7770846556225426,0.11247297003865242,0.11013448797166348,-0.0212329680743657,769.0,769.0,0.0
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.754491380030103,3.58529213471794,0.28575063683092594,0.2755815591663122,-0.03690042866212506,1041.0,1041.0,0.0
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.9610643080764836,-1.80891712247977,0.014052949845790863,0.00981116108596325,-0.43234319798258203,1.0,1.0,0.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,919.7542194130359,918.9698516588096,314.7562690284103,314.4881359450519,-0.0008526015855976343,23873235.0,23873237.0,8.377582672025596e-08
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.053812650059581024,0.1271297606769466,0.01577189192175865,0.018733594566583633,0.1877836000599944,1.0,1.0,0.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.24373588670189128,0.3500347902562895,0.015198875218629837,0.016497883945703506,0.08546742495006643,1.0,1.0,0.0
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.7135078040502696,-0.5757477438774437,0.015230916440486908,0.016562482342123985,0.08742519905745794,1.0,1.0,0.0
