instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P1:status,P1:successful_repeats,P1:result,P2:status,P2:successful_repeats,P2:result,result_match,P1:matches_reference,P2:matches_reference,P1:wall_vs_Concorde_symmetric_change,P2:wall_vs_Concorde_symmetric_change,P1:wall_seconds,P2:wall_seconds,symmetric_change:wall_seconds,P1:branches,P2:branches,symmetric_change:branches
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.6007131962558323,-1.0187038731677176,0.028924429789185524,0.02293536812067032,-0.2611277759748538,16.0,26.0,0.625
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,6534.116892815944,7017.086154841528,731.5678390935063,785.633402902633,0.07390369138714448,172105550.0,188523346.0,0.09539376272293376
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,323.10987925151034,735.9553920306442,32.761138409376144,74.49170526862144,1.2737825632854727,8892308.0,20749226.0,1.333390386387876
kroD100.tsp,ok,0.13640364445745945,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,1616.2574882581728,2168.4466955857815,220.5998154245317,295.9204357340932,0.3414355545339478,63405303.0,85408958.0,0.34703177745243163
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.0837437871962265,1.0584361039041457,0.18991939537227154,0.18761276826262474,-0.012294616890988541,74.0,57.0,-0.29824561403508776
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,11.255624668181047,12.861043275688788,5.530009787529707,6.254410285502672,0.13099443324793092,395726.0,487582.0,0.2321202043838413
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.8871804693968701,-0.46371859114399805,0.3991513270884752,0.7873247787356377,0.9724969586813388,1257.0,63304.0,49.36117740652347
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,7.96936893139247,10.146354856648202,0.82435043156147,1.0244313180446625,0.2427133884120165,59691.0,105911.0,0.7743210869310282
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,16.70865421387788,172.06335709593765,1.169208288192749,11.426453363150358,8.772812490760122,140028.0,4444883.0,30.742815722569773
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.5334595674793854,-0.2142091010460363,0.021387573331594467,0.027010980993509293,0.26292873785768545,5.0,5.0,0.0
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.8327975422745628,-1.654562192022731,0.016668368130922318,0.01778753288090229,0.0671430305108125,1.0,1.0,0.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-2.2345032357474675,-1.745966249317084,0.014003165066242218,0.016494479030370712,0.17791077605264882,1.0,1.0,0.0
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,ok,1,6942.0,,,True,,997.1893639771296,,157.8898009378463,,,35531695.0,
kroA150.tsp,ok,0.4832456335425377,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB100.tsp,ok,0.18441025167703629,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB150.tsp,ok,0.4672635402530432,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroE100.tsp,ok,0.2567499540746212,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr107.tsp,ok,0.16206598654389381,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr136.tsp,ok,0.5381354987621307,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr144.tsp,ok,0.2744617722928524,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr152.tsp,ok,0.8584825918078423,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr76.tsp,ok,0.21573120914399624,108159.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
qa194.tsp,ok,0.4701696112751961,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
rat195.tsp,ok,2.8730149008333683,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
si175.tsp,ok,1.8025635667145252,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
u159.tsp,ok,0.1227664165198803,42080.0,1.0,ok,1,42080.0,timeout,0,,,True,,3906.174233653981,,479.66977938450873,,,24067660.0,,
xqf131.tsp,ok,0.3606609869748354,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
