instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P1:status,P1:successful_repeats,P1:result,P2:status,P2:successful_repeats,P2:result,result_match,P1:matches_reference,P2:matches_reference,P1:wall_vs_Concorde_symmetric_change,P2:wall_vs_Concorde_symmetric_change,P1:wall_seconds,P2:wall_seconds,symmetric_change:wall_seconds,P1:branches,P2:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.9676335262405322,-2.074913334403496,0.03350801579654217,0.03233896382153034,-0.03614995154029965,58.0,87.0,0.5
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.6287229669139678,-1.0833843247465813,0.01656939648091793,0.020906537771224976,0.26175614152886584,3.0,3.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.6204853714810237,-1.3416378065925518,0.018575431779026985,0.02078743651509285,0.1190822782684049,12.0,16.0,0.33333333333333326
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.0794858280958946,-1.3517214757293274,0.03293823450803757,0.02912529930472374,-0.1309148848024171,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4092773688921283,0.7331526636806116,0.07127027772367,0.1740771420300007,1.4424928257601959,336.0,1157.0,2.443452380952381
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.8005651482005347,-2.9281740950318165,0.007747231051325798,0.007495557889342308,-0.03357630822134472,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.9379804348081822,-1.6338035321652238,0.024225668981671333,0.017825502902269363,-0.35904547066591674,7.0,7.0,0.0
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.9529113684639334,-1.2470488895029654,0.01280270516872406,0.016824401915073395,0.31412866994500543,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.375031220426811,204.11338068349588,0.4717184267938137,15.177299985662103,31.17449038151745,1254.0,3618557.0,2884.6116427432216
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.19815346463265704,1.9224073929699368,0.0742553360760212,0.18111564964056015,1.4390927199512964,615.0,1433.0,1.3300813008130081
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,2.071182739940321,21.519665885941574,0.18458176776766777,1.3534589409828186,6.332571127427987,707.0,139255.0,195.96605374823196
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.1030419835577217,-1.2444760317690275,0.013104226440191269,0.012278473004698753,-0.06725212778303247,1.0,1.0,0.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,933.8323070343043,388.8822049282111,319.56880883686244,133.27972394414246,-1.3977301226313594,24087201.0,10343794.0,-1.3286620943920577
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.36713932886564127,-0.12973712430729734,0.012157224118709564,0.014711935073137283,0.21013933192990208,1.0,1.0,0.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.527184166574526,-0.17231649522889203,0.00800187699496746,0.010424096137285233,0.3027063704979662,1.0,1.0,0.0
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.602315362455149,-0.6670803210036975,0.01002887450158596,0.015655091032385826,0.5610017883771643,1.0,1.0,0.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3854078978233546,3.138160208853395,0.27016280964016914,0.330234058201313,0.22235202780557772,79114.0,101045.0,0.27720757388072914
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,17.04201170147511,38.390016099537796,4.09349980391562,8.937086720019579,1.1832385851028615,553254.0,2089043.0,2.775920282546534
