instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H2:status,H2:successful_repeats,H2:result,P2:status,P2:successful_repeats,P2:result,result_match,H2:matches_reference,P2:matches_reference,H2:wall_vs_Concorde_symmetric_change,P2:wall_vs_Concorde_symmetric_change,H2:wall_seconds,P2:wall_seconds,symmetric_change:wall_seconds,H2:branches,P2:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.40126715739985896,-2.074913334403496,0.07096399180591106,0.03233896382153034,-1.1943805063619664,447.0,87.0,-4.137931034482759
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1407783162343983,-1.0833843247465813,0.020346036180853844,0.020906537771224976,0.027548441641845667,5.0,3.0,-0.6666666666666667
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.3920370012713925,-1.3416378065925518,0.020349454134702682,0.02078743651509285,0.021523053025941374,40.0,16.0,-1.5
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.4325984529911908,-1.3517214757293274,0.028156965970993042,0.02912529930472374,0.03439054245859663,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,79.70542324592873,0.7331526636806116,8.106019578874111,0.1740771420300007,-45.56567475974019,3019822.0,1157.0,-2609.044943820225
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.8222593948819727,-2.9281740950318165,0.007703259587287903,0.007495557889342308,-0.027709971827569957,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.0734571323745956,-1.6338035321652238,0.022642798721790314,0.017825502902269363,-0.27024740036409645,50.0,7.0,-6.142857142857143
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.8544997747654937,-1.2470488895029654,0.013244090601801872,0.016824401915073395,0.2703327409119669,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,192.78610165023588,204.11338068349588,14.339141542091966,15.177299985662103,0.05845248413998538,3398227.0,3618557.0,0.0648367516354853
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.6387735399537768,1.9224073929699368,0.16353749483823776,0.18111564964056015,0.10748700057873406,1573.0,1433.0,-0.09769713886950449
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,18.614760235247697,21.519665885941574,1.1788706257939339,1.3534589409828186,0.14809794337805715,126002.0,139255.0,0.10518087014491839
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.5798579466492146,-1.2444760317690275,0.017443807795643806,0.012278473004698753,-0.4206821800209497,5.0,1.0,-4.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,543.6520483375642,388.8822049282111,186.1871963646263,133.27972394414246,-0.396965651299348,13068269.0,10343794.0,-0.26339223306264614
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.15409190439914489,-0.12973712430729734,0.014401469379663467,0.014711935073137283,0.02155791782692873,28.0,1.0,-27.0
