instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P0:status,P0:successful_repeats,P0:result,H0:status,H0:successful_repeats,H0:result,result_match,P0:matches_reference,H0:matches_reference,P0:wall_vs_Concorde_symmetric_change,H0:wall_vs_Concorde_symmetric_change,P0:wall_seconds,H0:wall_seconds,symmetric_change:wall_seconds,P0:branches,H0:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.9678524508798905,-1.5967303080533921,0.03350554406642914,0.038294123485684395,0.14291901691735753,373.0,2464.0,5.605898123324397
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.4902011210950006,-1.0234798939946512,0.01749109849333763,0.021525468677282333,0.23065276234545218,3.0,7.0,1.3333333333333335
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.9241974537523734,-1.3926136359994974,0.01664615608751774,0.020344549790024757,0.22217704093741442,15.0,128.0,7.533333333333333
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7092516556730515,-1.5341230954066205,0.025281738489866257,0.02702891267836094,0.06910815050139862,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,3.3158139627522116,130.08748748727214,0.43347858265042305,13.166373427957296,29.373757677839556,168561.0,5522458.0,31.762370892436564
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.5859445483039893,-2.841482337256659,0.008210906758904457,0.007664712145924568,-0.07126094269180183,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.8473559899871637,-0.8131155114034898,0.02541409060359001,0.025894032791256905,0.01888488536351951,12.0,235.0,18.583333333333332
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.3077932678952964,-1.3779996606965188,0.016381559893488884,0.015897922217845917,-0.030421439293498942,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,164.78367754551385,155.60677778663296,12.267110992223024,11.588069185614586,-0.05859835626899779,3763318.0,3529534.0,-0.06623650600900866
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.29541731702908547,0.5978908271143288,0.08028324507176876,0.09902898408472538,0.2334950336922601,18700.0,36993.0,0.9782352941176471
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,8.635567022801855,15.850371774689766,0.5791091397404671,1.0127275623381138,0.7487680522396463,132106.0,304712.0,1.306571995215963
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-3.413304745481917,-1.1387923006579372,0.006244467571377754,0.012885186821222305,1.063456439470206,1.0,5.0,4.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,933.1743057931262,477.03037256402996,319.34387365728617,163.41283415071666,-0.9542153792079351,23991715.0,12117424.0,-0.9799352568664759
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.5372716306355632,0.08294446554442181,0.010811764746904373,0.017999207600951195,0.6647798044352318,1.0,104.0,103.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.644261140170628,0.16149507411124797,0.007432116195559502,0.014193864539265633,0.9098012148607286,1.0,4.0,3.0
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.4725300710290914,-0.6216699661983667,0.010555298998951912,0.01609346829354763,0.5246814225864782,1.0,5.0,4.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3696336779601084,1.1362190953342926,0.2689039930701256,0.17047486454248428,-0.5773820603512585,125818.0,73447.0,-0.7130447805900855
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,33.79782849041467,19.655586885730454,7.895178567618132,4.6864863112568855,-0.6846690768420691,2490722.0,1426476.0,-0.7460665303867713
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.673005771025232,-0.8833987867645638,0.027674570679664612,0.024583065882325172,-0.12575749551085003,44.0,48.0,0.09090909090909083
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,392.23860174425766,95.80528965829885,39.74869352765381,9.78511207550764,-3.062160271740341,11756617.0,2809120.0,-3.1851601213191323
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.0889684229499932,0.32055673343215707,0.19039558619260788,0.12035996839404106,-0.5818846476369981,348.0,291.0,-0.19587628865979378
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,6.837489940270649,4.4281594435667495,3.5364493653178215,2.449305985122919,-0.44385772410560764,660814.0,450183.0,-0.4678786182508001
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.117233027130498,-1.584019027045124,0.5443056579679251,0.445980429649353,-0.22046982733273546,91741.0,105242.0,0.1471642994953184
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,22.122539514886938,60.26711490633615,2.125130048021674,5.630894770845771,1.6496706759605995,525879.0,1545224.0,1.9383641484067629
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,335.76104804245426,4.764724065394802,22.234541583806276,0.3806140813976526,-57.41754856299283,8607708.0,122431.0,-69.30660535321937
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-1.314943064299241,-0.4462539400273928,0.014167509973049164,0.022677192464470863,0.6006477149202405,8.0,6.0,-0.33333333333333326
