instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H1:status,H1:successful_repeats,H1:result,H2:status,H2:successful_repeats,H2:result,result_match,H1:matches_reference,H2:matches_reference,H1:wall_vs_Concorde_symmetric_change,H2:wall_vs_Concorde_symmetric_change,H1:wall_seconds,H2:wall_seconds,symmetric_change:wall_seconds,H1:branches,H2:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.5227760025302337,-0.40126715739985896,0.03941670246422291,0.07096399180591106,0.8003533367694182,133.0,447.0,2.3609022556390977
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.8537518241618987,-1.1407783162343983,0.015262838453054428,0.020346036180853844,0.33304406276947507,5.0,5.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.5110153627610576,-1.3920370012713925,0.019385244697332382,0.020349454134702682,0.04973934827363746,28.0,40.0,0.4285714285714286
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.3166118237135627,-1.4325984529911908,0.02956671081483364,0.028156965970993042,-0.05006735616660185,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.23208508769915914,79.70542324592873,0.12375012040138245,8.106019578874111,64.50312478551379,812.0,3019822.0,3717.9926108374384
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,ok,1,1950.0,ok,1,1950.0,True,True,True,470.8056873690724,476.56954059960333,98.75596619583666,99.9624266307801,0.012216582768791673,2404701.0,2402250.0,-0.0010202934748673176
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-3.1149527917552824,-2.8222593948819727,0.007155332714319229,0.007703259587287903,0.07657601607709519,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.9380068092278262,-1.0734571323745956,0.02422533929347992,0.022642798721790314,-0.06989156204293101,21.0,50.0,1.380952380952381
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.4470344965278739,-1.8544997747654937,0.015449415892362595,0.013244090601801872,-0.16651390849445602,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,19.510826269835007,192.78610165023588,1.5176921281963587,14.339141542091966,8.44799098294906,156413.0,3398227.0,20.72598824905858
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.3154800872336694,1.6387735399537768,0.0815266314893961,0.16353749483823776,1.0059395543591,831.0,1573.0,0.8929001203369435
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,0.4229909541716004,18.614760235247697,0.08552346378564835,1.1788706257939339,12.78417774037538,372.0,126002.0,337.71505376344084
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.6069097494347622,-0.5798579466492146,0.010571420192718506,0.017443807795643806,0.6500912344453904,5.0,5.0,0.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,633.5189718616438,543.6520483375642,216.90785662457347,186.1871963646263,-0.16499878004384527,16389741.0,13068269.0,-0.2541631183135271
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.40813246072340026,-0.15409190439914489,0.011803306639194489,0.014401469379663467,0.22012159981012647,14.0,28.0,1.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.01427240788909212,-0.5488812492386319,0.012048380449414253,0.007889784872531891,-0.5270860541914673,4.0,4.0,0.0
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.3396429407527313,-1.9564487963552208,0.011154819279909134,0.008827582001686096,-0.2636324735106996,5.0,5.0,0.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.2855258621796333,1.6171636504529863,0.1823898646980524,0.2088552713394165,0.1451034940191318,34087.0,33867.0,-0.006495999055127433
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,14.663258480871793,29.513133433140336,3.5537913721054792,6.923036510124803,0.9480706055131145,436813.0,1392096.0,2.1869381176842264
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.5164920302171319,-0.4696927618980835,0.03053080104291439,0.031502990052103996,0.03184289229172488,18.0,17.0,-0.05882352941176472
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,35.54054032040815,93.26749575345812,3.693530421704054,9.528590992093086,1.5798057425223422,340702.0,1943153.0,4.703380079952568
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,0.4350670616484458,0.5350182900978424,0.13079682365059853,0.1399067137390375,0.06964916910195407,77.0,116.0,0.5064935064935066
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,4.658876239211121,10.147072813806712,2.5534105226397514,5.0298065934330225,0.969838593847862,138048.0,226874.0,0.6434428604543347
pr144.tsp,ok,0.2744617722928524,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,126.48268804467648,200.65439884164118,34.989124497398734,55.34642369672656,0.5818179074712571,1973468.0,3565288.0,0.8066104948243398
pr76.tsp,ok,0.21573120914399624,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,8244.045988807562,8067.553651361079,1778.7137406133115,1740.6388352513313,-0.021874098515377804,541527434.0,543243533.0,0.0031689973439092967
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-6.885944177186592,-3.2407816030372274,0.14613620005548,0.2717475276440382,0.859549704596605,391.0,787.0,1.0127877237851663
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,19.311963112095608,5.216472591001081,1.8668175749480724,0.5713391769677401,-2.267441915773754,140782.0,1588.0,-87.65365239294711
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,1.6235050667012123,8.224437333179262,0.17321609146893024,0.609040554612875,2.5160737634015864,967.0,107238.0,109.8976215098242
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.034648598365116356,-0.8493767453037826,0.03169866465032101,0.017734071239829063,-0.7874443054637548,6.0,6.0,0.0
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.240427640992546,-1.6667310819067302,0.02107549086213112,0.017706364393234253,-0.1902777099845656,4.0,4.0,0.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.8831891498474111,-1.0739946774911369,0.024051371961832047,0.02183866873383522,-0.10132042639433547,251.0,276.0,0.09960159362549792
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
