instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,T1:status,T1:successful_repeats,T1:result,T4:status,T4:successful_repeats,T4:result,result_match,T1:matches_reference,T4:matches_reference,T1:wall_vs_Concorde_symmetric_change,T4:wall_vs_Concorde_symmetric_change,T1:wall_seconds,T4:wall_seconds,symmetric_change:wall_seconds,T1:branches,T4:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.4485671692680864,-1.3590838605379894,0.040611306205391884,0.04215174913406372,0.03793138100215332,56.0,36.0,-0.5555555555555556
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1681774927935695,-0.4859324011531032,0.0200889240950346,0.02931247279047966,0.459136022009504,3.0,3.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.5461076710173058,-0.6517346070355106,0.019118063151836395,0.029470017179846764,0.541475040949219,9.0,9.0,0.0
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.3788974412950585,-1.316633277390546,0.028792578727006912,0.029566437005996704,0.02687700488125877,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.31699340175101964,-0.6001748577396495,0.13227827660739422,0.06276788376271725,-1.1074197292909949,732.0,125.0,-4.856
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.4328112523320566,-3.4536138183162333,0.00857718475162983,0.006611227989196777,-0.29736635397320543,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.3280735245164847,-0.9895563125976949,0.02016640454530716,0.023597659543156624,0.17014708745629803,3.0,3.0,0.0
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.9609845394944376,-0.6453833699432725,0.019278710708022118,0.02297656238079071,0.19181011265602277,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,7.002436892447726,23.052017170592844,0.5921377968043089,1.7797214332967997,2.005586609910271,3122.0,145959.0,45.75176169122358
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.8148174373808212,0.31350067325922315,0.11247297003865242,0.08140395767986774,-0.3816646419203331,769.0,434.0,-0.771889400921659
