instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,T1:status,T1:successful_repeats,T1:result,T2:status,T2:successful_repeats,T2:result,result_match,T1:matches_reference,T2:matches_reference,T1:wall_vs_Concorde_symmetric_change,T2:wall_vs_Concorde_symmetric_change,T1:wall_seconds,T2:wall_seconds,symmetric_change:wall_seconds,T1:branches,T2:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.4485671692680864,-1.8382099295330354,0.040611306205391884,0.0350359957665205,-0.15913092569211362,56.0,95.0,0.6964285714285714
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1681774927935695,-0.8007348285103666,0.0200889240950346,0.024188099429011345,0.20405151189704296,3.0,3.0,0.0
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.5461076710173058,-0.9611509678112671,0.019118063151836395,0.024820448830723763,0.2982721436580056,9.0,14.0,0.5555555555555556
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.3788974412950585,-1.7592790034443757,0.028792578727006912,0.024823365733027458,-0.15989826023867582,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.31699340175101964,0.45088468031897433,0.13227827660739422,0.14572626166045666,0.1016643503224377,732.0,1590.0,1.1721311475409837
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.4328112523320566,-2.4860170525954124,0.00857718475162983,0.00844627432525158,-0.015499191872903273,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.3280735245164847,-0.6716486211004098,0.02016640454530716,0.02808537147939205,0.39268115029100126,3.0,7.0,1.3333333333333335
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.9609845394944376,-1.3543006193329838,0.019278710708022118,0.016057955101132393,-0.20057071941013205,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,7.002436892447726,27.187676337828957,0.5921377968043089,2.085738230496645,2.52238658257099,3122.0,157200.0,49.35233824471493
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.8148174373808212,0.6345722292847835,0.11247297003865242,0.10130230709910393,-0.11027056796071033,769.0,1258.0,0.635890767230169
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.754491380030103,12.23028376785818,0.28575063683092594,0.7951559294015169,1.7826917140765564,1041.0,130337.0,124.20365033621518
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.9610643080764836,-1.0647497987650145,0.014052949845790863,0.013347253203392029,-0.05287205027469555,1.0,1.0,0.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,919.7542194130359,916.3649651036826,314.7562690284103,313.59766555018723,-0.0036945538997887883,23873235.0,23880666.0,0.00031126908439516043
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.053812650059581024,-0.4979013228951201,0.01577189192175865,0.011095937341451645,-0.42141140819521494,1.0,1.0,0.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.24373588670189128,-0.5973855034735538,0.015198875218629837,0.007650213316082954,-0.9867256755674274,1.0,1.0,0.0
