run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,branch_lift_first_reorders,branch_zero_gain_splits,branch_ascent_strong_probes,branch_ascent_strong_seconds,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.09367315098643303,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,14,3,10,2,1,1080,1037,48,14,75,0.000257297,0,0,0,0.0,0.008839208,0,0,0,0,0,0,0.0,0.0,64,0.007476501,0,1,1,0,0.021843486,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.004247751,148,0.0009033080000000001,7.5039e-05,0,0,0,7.596899999999999e-05
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.03892812319099903,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,1,1,0,4,1,377,370,29,24,10,8.4104e-05,0,0,0,0.0,0.000859897,0,0,0,0,0,0,0.0,0.0,64,0.001450688,0,1,1,0,0.014412813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.000124313,0,0.0,0.0,0,0,0,4.315e-06
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.03149113431572914,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,5,1,4,1,1,377,358,29,17,26,0.000133728,0,0,0,0.0,0.001278679,0,0,0,0,0,0,0.0,0.0,64,0.002396702,0,1,1,0,0.012668092,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0006551619999999999,12,6.0543000000000006e-05,0.0,0,0,0,2.345e-05
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.05647598206996918,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.005251215,0,0,0,0,0,0,0.0,0.0,1,0.000144549,0,1,1,0,0.015776964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,329.30753979459405,118282.0,117430.62999807068,118282.0,118282.0,118282.0,0.0,498805,156133,344062,4935,1,7874,6991,127,6,1004,0.000803425,0,0,0,0.0,0.316076949,12,0,0,0,0,0,0.0,0.0,64,0.028337834,0,1,1,0,0.07394544,458080,458080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0.34208490499999983,7406610,284.0825166909978,18.207397334000117,0,0,0,4.401050354000068
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.08943677507340908,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,5,1,4,0,1,1595,1539,58,23,87,0.000310998,0,0,0,0.0,0.012837897,0,0,0,0,0,0,0.0,0.0,64,0.010183164,0,1,1,0,0.02962392,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.001453163,34,0.000282046,0.0,0,0,0,6.646600000000001e-05
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.30047019198536873,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.055807278,0,0,0,0,0,0,0.0,0.0,64,0.056016324,0,1,1,0,0.160512203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.01112261600792408,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,6.9604e-05,0,0,0,0,0,0,0.0,0.0,1,1.0009e-05,0,1,1,0,0.003916379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,11.376155463978648,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,17110,5005,12167,2,1,8255,7816,130,14,555,0.000961488,0,0,0,0.0,0.104174871,0,0,0,0,0,0,0.0,0.0,64,0.030130816,0,1,1,0,0.085621029,16085,16085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0.4065633599999998,253861,9.44333085200001,0.4523731430000007,0,0,0,0.16731293799999933
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,10.397752210497856,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,11431,3363,8096,0,1,11025,10518,150,4,653,0.00121527,0,0,0,0.0,0.13795459,0,0,0,0,0,0,0.0,0.0,64,0.041284357,0,1,1,0,0.176595205,10936,10936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0.26201236099999997,170428,8.853750036999982,0.37602942000000134,0,0,0,0.12893703700000061
