directory,selector,label,loaded_instances,numeric_fields,category,command,description,executable,executable_sha256,instance_count,kind,repeats,run_id,solver_args,strategy,timeout_seconds,workers,option:--branch-edge-order,option:--debug,option:--debug-interval,option:--exact-max-n,option:--hk-ascent,option:--hk-node-ascent,option:--hk-potential-update,option:--hk-update-budget,option:--hk-update-depth,option:--hk-update-gap-ratio,option:--hk-update-iterations,option:--hk-update-min-gap-ratio,option:-s
/home/wj/code/TSP/outputs/phkmst-ablation/Concorde-07deea4ce57e,Concorde-07deea4ce57e,Concorde,50,wall_seconds branches,reference,/home/wj/code/TSP/concorde/TSP/concorde -s 123 -o '<solution-file>' '<instance>',Concorde exact solver with a fixed seed,/home/wj/code/TSP/concorde/TSP/concorde,ff9a290ccfd0a933f25a27cfbcac57062d096489c6aac1791318f5b0adeee3c6,50,concorde,1,Concorde-07deea4ce57e,-s 123,Concorde,1800.0,5,,,,,,,,,,,,,123
/home/wj/code/TSP/outputs/phkmst-ablation/P32-49f44a8c66c2,P32-49f44a8c66c2,P32,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',polyak-32,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,P32-49f44a8c66c2,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,P32,1800.0,5,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,0,1,0.02,32,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PPS32-1a1b0d4351c0,PPS32-1a1b0d4351c0,PPS32,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',P-polyak-smoothed-32,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PPS32-1a1b0d4351c0,--hk-ascent polyak --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PPS32,1800.0,5,weight,启用,5000000,199,polyak,polyak-smoothed,subtree-adaptive,0,1,0.02,32,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PPSD32-2cb628a57650,PPSD32-2cb628a57650,PPSD32,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak-smoothed-dynamic --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',P-polyak-smoothed-dynamic -32,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PPSD32-2cb628a57650,--hk-ascent polyak --hk-node-ascent polyak-smoothed-dynamic --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PPSD32,1800.0,5,weight,启用,5000000,199,polyak,polyak-smoothed-dynamic,subtree-adaptive,0,1,0.02,32,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PS-PS16-198619c94b42,PS-PS16-198619c94b42,PS-PS16,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak-smoothed --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',polyak-smoothed-polyak-smoothed-16,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PS-PS16-198619c94b42,--hk-ascent polyak-smoothed --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PS-PS16,1800.0,5,weight,启用,5000000,199,polyak-smoothed,polyak-smoothed,subtree-adaptive,0,1,0.02,16,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PS-PS32-263d5769afbc,PS-PS32-263d5769afbc,PS-PS32,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak-smoothed --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',polyak-smoothed-polyak-smoothed-32,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PS-PS32-263d5769afbc,--hk-ascent polyak-smoothed --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PS-PS32,1800.0,5,weight,启用,5000000,199,polyak-smoothed,polyak-smoothed,subtree-adaptive,0,1,0.02,32,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PS-PS64-13781675bf8e,PS-PS64-13781675bf8e,PS-PS64,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak-smoothed --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',polyak-smoothed-polyak-smoothed-64,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PS-PS64-13781675bf8e,--hk-ascent polyak-smoothed --hk-node-ascent polyak-smoothed --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PS-PS64,1800.0,5,weight,启用,5000000,199,polyak-smoothed,polyak-smoothed,subtree-adaptive,0,1,0.02,16,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PS32-70aff5f2d91d,PS32-70aff5f2d91d,PS32,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak-smoothed --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',polyak-smoothed-32,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PS32-70aff5f2d91d,--hk-ascent polyak-smoothed --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PS32,1800.0,5,weight,启用,5000000,199,polyak-smoothed,polyak,subtree-adaptive,0,1,0.02,32,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PSD-PSD16-2fba953508f9,PSD-PSD16-2fba953508f9,PSD-PSD16,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak-smoothed-dynamic --hk-node-ascent polyak-smoothed-dynamic --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',polyak-smoothed-dynamic2-16,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PSD-PSD16-2fba953508f9,--hk-ascent polyak-smoothed-dynamic --hk-node-ascent polyak-smoothed-dynamic --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 16 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PSD-PSD16,1800.0,5,weight,启用,5000000,199,polyak-smoothed-dynamic,polyak-smoothed-dynamic,subtree-adaptive,0,1,0.02,16,0.0,
/home/wj/code/TSP/outputs/phkmst-ablation/PSD-PSD32-33df91bbcecc,PSD-PSD32-33df91bbcecc,PSD-PSD32,50,wall_seconds branches nodes_expanded pruned_by_bound pruned_infeasible root_potential_iterations search_node_potential_update_candidates search_node_potential_updates_triggered search_node_potential_updates_skipped_strategy_none search_node_potential_updates_skipped_update_depth_zero search_node_potential_updates_skipped_budget_exhausted search_node_potential_updates_skipped_numerically_unsafe search_node_potential_updates_skipped_invalid_state search_node_potential_updates_skipped_zero_violation search_node_potential_updates_skipped_zero_iteration_limit search_node_potential_updates_skipped_depth_interval search_node_potential_updates_skipped_gap_below_minimum search_node_potential_updates_skipped_gap_above_maximum search_node_potential_iterations search_node_potential_updates_skipped_total,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak-smoothed-dynamic --hk-node-ascent polyak-smoothed-dynamic --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',polyak-smoothed-dynamic-32,/home/wj/code/TSP/build/tsp_bb,152b4d4334fe06e68670e62e48dc70bf84330f8d385d92671c4e3264aff53227,50,tsp_bb,1,PSD-PSD32-33df91bbcecc,--hk-ascent polyak-smoothed-dynamic --hk-node-ascent polyak-smoothed-dynamic --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 1 --hk-update-gap-ratio 0.02 --hk-update-min-gap-ratio 0.0 --hk-update-iterations 32 --hk-update-budget 0 --exact-max-n 199 --debug --debug-interval 5000000,PSD-PSD32,1800.0,5,weight,启用,5000000,199,polyak-smoothed-dynamic,polyak-smoothed-dynamic,subtree-adaptive,0,1,0.02,32,0.0,
