run_id,strategy,label,instance,source,status,observed_repeats,expected_repeats,successful_repeats,timeouts,errors,result,result_consistent,wall_seconds,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_total,search_node_potential_iterations,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_zero_violation
Concorde-07deea4ce57e,Concorde,Concorde,att48.tsp,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,1,1,1,0,0,10628.0,True,0.08958465978503227,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,bayg29.tsp,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,1,1,1,0,0,1610.0,True,0.023851288482546806,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,bays29.tsp,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,1,1,1,0,0,2020.0,True,0.04078455828130245,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,berlin52.tsp,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,1,1,1,0,0,7542.0,True,0.05695320665836334,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,bier127.tsp,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,1,1,1,0,0,118282.0,True,0.1989000365138054,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,brazil58.tsp,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,1,1,1,0,0,25395.0,True,0.09078448079526424,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,brg180.tsp,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,1,1,1,0,0,1950.0,True,0.18208833783864975,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,burma14.tsp,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,1,1,1,0,0,3323.0,True,0.023742059245705605,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,ch130.tsp,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,1,1,1,0,0,6110.0,True,0.18499169498682022,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,ch150.tsp,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,1,1,1,0,0,6528.0,True,0.3328863438218832,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,d198.tsp,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,ok,1,1,1,0,0,15780.0,True,0.9902167804539204,3.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,dantzig42.tsp,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,1,1,1,0,0,699.0,True,0.043297743424773216,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,dj38.tsp,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,1,1,1,0,0,6656.0,True,0.03762975335121155,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,eil101.tsp,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,1,1,1,0,0,629.0,True,0.07881497777998447,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,eil51.tsp,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,1,1,1,0,0,426.0,True,0.05758170783519745,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,eil76.tsp,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,1,1,1,0,0,538.0,True,0.038888582959771156,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,fri26.tsp,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,1,1,1,0,0,937.0,True,0.029480643570423126,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,gr120.tsp,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,1,1,1,0,0,6942.0,True,0.15989429503679276,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,gr137.tsp,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,1,1,1,0,0,69853.0,True,0.33605039678514004,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,gr17.tsp,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,1,1,1,0,0,2085.0,True,0.018152451142668724,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,gr21.tsp,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,1,1,1,0,0,2707.0,True,0.008518075570464134,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,gr24.tsp,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,1,1,1,0,0,1272.0,True,0.013564003631472588,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,gr48.tsp,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,1,1,1,0,0,5046.0,True,0.07694356888532639,1.0,,,,,,,,,,,,,,,,,,
