实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,T1_运行时间,T1_运行时间相对Concorde变化,T1_分支创建数,T1_运行结果,T3_运行时间,T3_运行时间相对T1变化,T3_分支创建数,T3_分支创建数相对T1变化,T3_运行结果
att48.tsp,99.440 ms,1,10628,40.611 ms,-59.16%,56,10628,45.464 ms,+11.95%,56,0.00%,10628
bayg29.tsp,43.556 ms,1,1610,20.089 ms,-53.88%,3,1610,22.442 ms,+11.71%,3,0.00%,1610
bays29.tsp,48.677 ms,1,2020,19.118 ms,-60.72%,9,2020,8.309 ms,-56.54%,9,0.00%,2020
berlin52.tsp,68.495 ms,1,7542,28.793 ms,-57.96%,1,7542,25.004 ms,-13.16%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,132.278 ms,+31.70%,732,25395,130.905 ms,-1.04%,732,0.00%,25395
burma14.tsp,29.444 ms,1,3323,8.577 ms,-70.87%,1,3323,10.679 ms,+24.51%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,20.166 ms,-57.05%,3,699,31.314 ms,+55.28%,3,0.00%,699
dj38.tsp,37.805 ms,1,6656,19.279 ms,-49.01%,1,6656,22.832 ms,+18.43%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,592.138 ms,+700.24%,3122,629,580.075 ms,-2.04%,2958,-5.25%,629
eil51.tsp,61.975 ms,1,426,112.473 ms,+81.48%,769,426,110.134 ms,-2.08%,769,0.00%,426
eil76.tsp,60.101 ms,1,538,285.751 ms,+375.45%,1041,538,275.582 ms,-3.56%,1041,0.00%,538
fri26.tsp,27.559 ms,1,937,14.053 ms,-49.01%,1,937,9.811 ms,-30.18%,1,0.00%,937
gr137.tsp,341.846 ms,1,69853,314.756 s,+91975.42%,23873235,69853,314.488 s,-0.09%,23873237,0.00%,69853
gr17.tsp,16.621 ms,1,2085,15.772 ms,-5.11%,1,2085,18.734 ms,+18.78%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,15.199 ms,+24.37%,1,2707,16.498 ms,+8.55%,1,0.00%,2707
gr24.tsp,26.098 ms,1,1272,15.231 ms,-41.64%,1,1272,16.562 ms,+8.74%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,294.448 ms,+268.97%,82806,5046,293.653 ms,-0.27%,82695,-0.13%,5046
gr96.tsp,226.887 ms,1,55209,8.871 s,+3809.93%,2235986,55209,8.837 s,-0.38%,2235986,0.00%,55209
hk48.tsp,46.300 ms,1,11461,39.364 ms,-14.98%,21,11461,25.572 ms,-35.04%,21,0.00%,11461
kroA100.tsp,111.944 ms,1,21282,772.842 s,+690282.44%,185831516,21282,773.159 s,+0.04%,185821143,-0.01%,21282
kroC100.tsp,101.080 ms,1,20749,40.954 s,+40416.01%,11256721,20749,40.832 s,-0.30%,11256652,0.00%,20749
kroD100.tsp,136.404 ms,1,21294,434.030 s,+318095.55%,124355389,21294,439.244 s,+1.20%,124354235,0.00%,21294
