instance,P32_created,P64_created,SW4_created,SW2_created,SW4_extended,SW2_extended,P32_wall,P64_wall,SW4_wall,SW2_wall
gr96,8306,15475,8328,8328,1,1,0.42855949999999998,0.67924525000000002,0.42360599999999998,0.4189735
st70,7595,13909,7595,7595,0,0,0.237436166,0.30962229200000002,0.23668345900000001,0.233014375
rat99,339,775,398,339,1,0,0.077371042000000001,0.094441541000000004,0.079395416999999996,0.076562249999999998
kroA100,95925,180448,94042,87085,7,2,5.128656833,8.2406538749999996,5.0635593329999997,4.6011596670000001
kroB100,336668,365088,345816,359971,6,3,14.372740166,13.823483749999999,15.083514291,15.284773707999999
rd100,19831,1215,923,923,1,1,1.1398060000000001,0.13980424999999999,0.130473166,0.126926292
gr120,290218,18297,11223,9939,2,1,15.379218249999999,1.3370262500000001,0.90692616599999998,0.83821537499999998
kroD100,33723,6814,33922,33922,1,1,1.7596591669999999,0.33282233300000003,1.773901583,1.747422958
kroE100,500284,188428,246219,246219,3,3,26.161585040999999,11.169068083999999,15.817535790999999,15.687633667
kroC100,85248,46036,74557,89633,2,1,4.0340871250000001,2.222727667,3.4967997089999998,4.1876105829999997
eil101,265376,247709,265387,265325,2,1,18.796141166000002,11.105506666,18.988370415999999,18.697470375000002
pr124,19242,12081,12229,12184,3,2,1.6505794170000001,1.1329039999999999,1.0750219169999999,1.073620625
gr48,5501,3290,5680,5501,3,0,0.099636249999999996,0.056166874999999998,0.098805208000000005,0.098940457999999995
eil76,781,564,1488,781,1,0,0.057386041999999998,0.043663124999999997,0.086144666999999994,0.057857790999999999
eil51,1501,1789,1502,1501,3,0,0.033453292000000003,0.032863707999999998,0.032857999999999998,0.033745542000000003
