comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
11,hk update depth,P32,H232,1,2,40,40,40,,,40,,40,,40,,wall_seconds,40,3785.6563758030534,4970.461047993973,0.3129720594198373,19,0,21
11,hk update depth,P32,H232,1,2,40,40,40,,,40,,40,,40,,branches,40,4903534.0,9622256.0,0.9623104479340818,2,12,26
11,hk update depth,P32,H232,1,2,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,2656316.0,5.855009032258065,0,9,31
12,hk update depth,P32,PH332,1,3,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,wall_seconds,38,2173.3040302377194,2306.9219604581594,0.061481471695345125,10,0,28
12,hk update depth,P32,PH332,1,3,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,branches,38,4412379.0,10335592.0,1.342408029772601,2,10,26
12,hk update depth,P32,PH332,1,3,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,387470.0,3610647.0,8.31852014349498,0,9,29
13,hk update depth,P32,PH432,1,4,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,wall_seconds,38,2173.3040302377194,3707.8831443972886,0.7061042048459802,12,0,26
13,hk update depth,P32,PH432,1,4,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,branches,38,4412379.0,18993922.0,3.304689601686528,2,10,26
13,hk update depth,P32,PH432,1,4,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,387470.0,7826027.0,19.19776240741219,0,9,29
14,hk update depth,P32r5h2,P32r5h1,2,1,39,40,39,,rat195.tsp,39,,39,,40,,wall_seconds,39,3737.0506731569767,1682.9944803025573,-0.5496463314261668,22,0,17
14,hk update depth,P32r5h2,P32r5h1,2,1,39,40,39,,rat195.tsp,39,,39,,40,,branches,39,6905809.0,2341997.0,-0.6608656567246503,26,12,1
14,hk update depth,P32r5h2,P32r5h1,2,1,39,40,39,,rat195.tsp,39,,39,,40,,search_node_potential_updates_skipped_total,39,2023884.0,15.0,-0.9999925885080371,30,9,0
15,hk update gap ratio,P32,P32r5h1,0.02,0.05,40,40,40,,,40,,40,,40,,wall_seconds,40,3785.6563758030534,2785.9835700131953,-0.2640685541824427,16,0,24
15,hk update gap ratio,P32,P32r5h1,0.02,0.05,40,40,40,,,40,,40,,40,,branches,40,4903534.0,2618728.0,-0.46595088358722503,13,21,6
15,hk update gap ratio,P32,P32r5h1,0.02,0.05,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,15.0,-0.9999612903225806,19,21,0
16,hk update gap ratio,H232,PR1532,0.02,0.015,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,wall_seconds,38,1939.8074405360967,5260.200642254204,1.711712787739624,7,0,31
16,hk update gap ratio,H232,PR1532,0.02,0.015,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,branches,38,6715970.0,22028173.0,2.2799689397064014,4,19,15
16,hk update gap ratio,H232,PR1532,0.02,0.015,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,1696164.0,4916912.0,1.8988423289257406,3,19,16
17,hk update gap ratio,H232,P32r5h2,0.02,0.05,40,39,39,rat195.tsp,,39,,40,,39,,wall_seconds,39,3446.2986664343625,3737.0506731569767,0.08436645655654518,11,0,28
17,hk update gap ratio,H232,P32r5h2,0.02,0.05,40,39,39,rat195.tsp,,39,,40,,39,,branches,39,8665628.0,6905809.0,-0.20308037686362723,10,21,8
17,hk update gap ratio,H232,P32r5h2,0.02,0.05,40,39,39,rat195.tsp,,39,,40,,39,,search_node_potential_updates_skipped_total,39,2363546.0,2023884.0,-0.14370864793830962,10,21,8
18,hk node ascent,P32,helsgaun32,polyak,helsgaun,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,wall_seconds,38,2173.3040302377194,5867.558688133955,1.6998333442984284,5,0,33
18,hk node ascent,P32,helsgaun32,polyak,helsgaun,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,branches,38,4412379.0,8047204.0,0.8237789636837634,3,12,23
18,hk node ascent,P32,helsgaun32,polyak,helsgaun,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,387470.0,351755.0,-0.09217487805507518,3,28,7
19,hk node ascent,P128 [P128-ba5f558d610b],helsgaun64,polyak,helsgaun,40,37,37,pr144.tsp;pr76.tsp;rat195.tsp,,37,,40,,37,,wall_seconds,37,1362.4280970618129,4563.891177287325,2.349821680226449,2,0,35
19,hk node ascent,P128 [P128-ba5f558d610b],helsgaun64,polyak,helsgaun,40,37,37,pr144.tsp;pr76.tsp;rat195.tsp,,37,,40,,37,,branches,37,1482729.0,2598756.0,0.7526844082769002,2,12,23
19,hk node ascent,P128 [P128-ba5f558d610b],helsgaun64,polyak,helsgaun,40,37,37,pr144.tsp;pr76.tsp;rat195.tsp,,37,,40,,37,,search_node_potential_updates_skipped_total,37,156841.0,144009.0,-0.08181534165173643,5,27,5
20,hk node ascent,P128 [P128-e0c758997a9b],helsgaun128,polyak,helsgaun,38,36,36,pr144.tsp;pr76.tsp,,36,,38,,36,,wall_seconds,36,1307.718746919185,2302.3761758562177,0.7606050087454326,20,0,16
20,hk node ascent,P128 [P128-e0c758997a9b],helsgaun128,polyak,helsgaun,38,36,36,pr144.tsp;pr76.tsp,,36,,38,,36,,branches,36,1236980.0,1428123.0,0.15452392116283198,10,12,14
20,hk node ascent,P128 [P128-e0c758997a9b],helsgaun128,polyak,helsgaun,38,36,36,pr144.tsp;pr76.tsp,,36,,38,,36,,search_node_potential_updates_skipped_total,36,156952.0,156405.0,-0.0034851419542279993,5,28,3
21,branch edge order,P32,PAA,weight,root-alpha-global-desc,40,40,39,rat195.tsp,bier127.tsp,39,,40,,40,,wall_seconds,39,2510.055435532704,6831.542712833732,1.7216700540256746,12,0,27
21,branch edge order,P32,PAA,weight,root-alpha-global-desc,40,40,39,rat195.tsp,bier127.tsp,39,,40,,40,,branches,39,4587826.0,18746801.0,3.086205754097911,10,12,17
