实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,P1_运行时间,P1_运行时间相对Concorde变化,P1_分支创建数,P1_运行结果,H1_运行时间,H1_运行时间相对P1变化,H1_分支创建数,H1_分支创建数相对P1变化,H1_运行结果
att48.tsp,99.440 ms,1,10628,33.508 ms,-66.30%,58,10628,39.417 ms,+17.63%,133,+129.31%,10628
bayg29.tsp,43.556 ms,1,1610,16.569 ms,-61.96%,3,1610,15.263 ms,-7.89%,5,+66.67%,1610
bays29.tsp,48.677 ms,1,2020,18.575 ms,-61.84%,12,2020,19.385 ms,+4.36%,28,+133.33%,2020
berlin52.tsp,68.495 ms,1,7542,32.938 ms,-51.91%,1,7542,29.567 ms,-10.24%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,71.270 ms,-29.04%,336,25395,123.750 ms,+73.63%,812,+141.67%,25395
burma14.tsp,29.444 ms,1,3323,7.747 ms,-73.69%,1,3323,7.155 ms,-7.64%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,24.226 ms,-48.40%,7,699,24.225 ms,0.00%,21,+200.00%,699
dj38.tsp,37.805 ms,1,6656,12.803 ms,-66.14%,1,6656,15.449 ms,+20.67%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,471.718 ms,+537.50%,1254,629,1.518 s,+221.74%,156413,+12373.13%,629
eil51.tsp,61.975 ms,1,426,74.255 ms,+19.82%,615,426,81.527 ms,+9.79%,831,+35.12%,426
eil76.tsp,60.101 ms,1,538,184.582 ms,+207.12%,707,538,85.523 ms,-53.67%,372,-47.38%,538
fri26.tsp,27.559 ms,1,937,13.104 ms,-52.45%,1,937,10.571 ms,-19.33%,5,+400.00%,937
gr137.tsp,341.846 ms,1,69853,319.569 s,+93383.23%,24087201,69853,216.908 s,-32.12%,16389741,-31.96%,69853
gr17.tsp,16.621 ms,1,2085,12.157 ms,-26.85%,1,2085,11.803 ms,-2.91%,14,+1300.00%,2085
gr21.tsp,12.220 ms,1,2707,8.002 ms,-34.52%,1,2707,12.048 ms,+50.57%,4,+300.00%,2707
gr24.tsp,26.098 ms,1,1272,10.029 ms,-61.57%,1,1272,11.155 ms,+11.23%,5,+400.00%,1272
gr48.tsp,79.802 ms,1,5046,270.163 ms,+238.54%,79114,5046,182.390 ms,-32.49%,34087,-56.91%,5046
gr96.tsp,226.887 ms,1,55209,4.093 s,+1704.20%,553254,55209,3.554 s,-13.18%,436813,-21.05%,55209
hk48.tsp,46.300 ms,1,11461,28.924 ms,-37.53%,16,11461,30.531 ms,+5.55%,18,+12.50%,11461
kroC100.tsp,101.080 ms,1,20749,32.761 s,+32310.99%,8892308,20749,3.694 s,-88.73%,340702,-96.17%,20749
lin105.tsp,91.143 ms,1,14379,189.919 ms,+108.37%,74,14379,130.797 ms,-31.13%,77,+4.05%,14379
pr124.tsp,451.222 ms,1,59030,5.530 s,+1125.56%,395726,59030,2.553 s,-53.83%,138048,-65.12%,59030
rat99.tsp,1.152 s,1,1211,399.151 ms,-65.36%,1257,1211,146.136 ms,-63.39%,391,-68.89%,1211
rd100.tsp,91.907 ms,1,7910,824.350 ms,+796.94%,59691,7910,1.867 s,+126.46%,140782,+135.85%,7910
st70.tsp,66.025 ms,1,675,1.169 s,+1670.87%,140028,675,173.216 ms,-85.19%,967,-99.31%,675
swiss42.tsp,32.797 ms,1,1273,21.388 ms,-34.79%,5,1273,31.699 ms,+48.21%,6,+20.00%,1273
u159.tsp,122.766 ms,1,42080,479.670 s,+390617.42%,24067660,42080,94.864 s,-80.22%,4297386,-82.14%,42080
ulysses16.tsp,47.218 ms,1,6859,16.668 ms,-64.70%,1,6859,21.075 ms,+26.44%,4,+300.00%,6859
wi29.tsp,45.293 ms,1,27603,14.003 ms,-69.08%,1,27603,24.051 ms,+71.76%,251,+25000.00%,27603
bier127.tsp,205.029 ms,1,118282,"1,800.000 s",+877826.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
brg180.tsp,209.315 ms,1,1950,"1,800.000 s",+859848.28%,未记录,超时,98.756 s,-94.51%,2404701,未记录,1950
ch130.tsp,213.878 ms,1,6110,"1,800.000 s",+841502.03%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch150.tsp,348.523 ms,1,6528,"1,800.000 s",+516365.06%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
d198.tsp,1.006 s,3,15780,"1,800.000 s",+178855.27%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr120.tsp,158.176 ms,1,6942,"1,800.000 s",+1137871.45%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroA100.tsp,111.944 ms,1,21282,731.568 s,+653411.69%,172105550,21282,"1,800.000 s",+146.05%,未记录,未记录,超时
kroA150.tsp,483.246 ms,1,26524,"1,800.000 s",+372381.38%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB100.tsp,184.410 ms,1,22141,"1,800.000 s",+975984.56%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB150.tsp,467.264 ms,1,26130,"1,800.000 s",+385121.58%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroD100.tsp,136.404 ms,1,21294,220.600 s,+161625.75%,63405303,21294,"1,800.000 s",+715.96%,未记录,未记录,超时
kroE100.tsp,256.750 ms,1,22068,"1,800.000 s",+700971.21%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr107.tsp,162.066 ms,1,44303,"1,800.000 s",+1110558.71%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr136.tsp,538.135 ms,1,96772,"1,800.000 s",+334388.25%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr144.tsp,274.462 ms,1,58537,"1,800.000 s",+655729.04%,未记录,超时,34.989 s,-98.06%,1973468,未记录,58537
pr152.tsp,858.483 ms,1,73682,"1,800.000 s",+209572.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr76.tsp,215.731 ms,1,108159,"1,800.000 s",+834271.63%,未记录,超时,"1,778.714 s",-1.18%,541527434,未记录,108159
qa194.tsp,470.170 ms,1,9352,"1,800.000 s",+382740.57%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
rat195.tsp,2.873 s,3,2323,"1,800.000 s",+62551.95%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
si175.tsp,1.803 s,3,21407,"1,800.000 s",+99757.78%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
xqf131.tsp,360.661 ms,1,564,"1,800.000 s",+498983.65%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
