实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,P2_运行时间,P2_运行时间相对Concorde变化,P2_分支创建数,P2_运行结果,H2_运行时间,H2_运行时间相对P2变化,H2_分支创建数,H2_分支创建数相对P2变化,H2_运行结果
att48.tsp,99.440 ms,1,10628,32.339 ms,-67.48%,87,10628,70.964 ms,+119.44%,447,+413.79%,10628
bayg29.tsp,43.556 ms,1,1610,20.907 ms,-52.00%,3,1610,20.346 ms,-2.68%,5,+66.67%,1610
bays29.tsp,48.677 ms,1,2020,20.787 ms,-57.29%,16,2020,20.349 ms,-2.11%,40,+150.00%,2020
berlin52.tsp,68.495 ms,1,7542,29.125 ms,-57.48%,1,7542,28.157 ms,-3.32%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,174.077 ms,+73.32%,1157,25395,8.106 s,+4556.57%,3019822,+260904.49%,25395
burma14.tsp,29.444 ms,1,3323,7.496 ms,-74.54%,1,3323,7.703 ms,+2.77%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,17.826 ms,-62.03%,7,699,22.643 ms,+27.02%,50,+614.29%,699
dj38.tsp,37.805 ms,1,6656,16.824 ms,-55.50%,1,6656,13.244 ms,-21.28%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,15.177 s,+20411.34%,3618557,629,14.339 s,-5.52%,3398227,-6.09%,629
eil51.tsp,61.975 ms,1,426,181.116 ms,+192.24%,1433,426,163.537 ms,-9.71%,1573,+9.77%,426
eil76.tsp,60.101 ms,1,538,1.353 s,+2151.97%,139255,538,1.179 s,-12.90%,126002,-9.52%,538
fri26.tsp,27.559 ms,1,937,12.278 ms,-55.45%,1,937,17.444 ms,+42.07%,5,+400.00%,937
gr137.tsp,341.846 ms,1,69853,133.280 s,+38888.22%,10343794,69853,186.187 s,+39.70%,13068269,+26.34%,69853
gr17.tsp,16.621 ms,1,2085,14.712 ms,-11.48%,1,2085,14.401 ms,-2.11%,28,+2700.00%,2085
gr21.tsp,12.220 ms,1,2707,10.424 ms,-14.70%,1,2707,7.890 ms,-24.31%,4,+300.00%,2707
gr24.tsp,26.098 ms,1,1272,15.655 ms,-40.01%,1,1272,8.828 ms,-43.61%,5,+400.00%,1272
gr48.tsp,79.802 ms,1,5046,330.234 ms,+313.82%,101045,5046,208.855 ms,-36.76%,33867,-66.48%,5046
gr96.tsp,226.887 ms,1,55209,8.937 s,+3839.00%,2089043,55209,6.923 s,-22.54%,1392096,-33.36%,55209
hk48.tsp,46.300 ms,1,11461,22.935 ms,-50.46%,26,11461,31.503 ms,+37.36%,17,-34.62%,11461
kroC100.tsp,101.080 ms,1,20749,74.492 s,+73595.54%,20749226,20749,9.529 s,-87.21%,1943153,-90.64%,20749
lin105.tsp,91.143 ms,1,14379,187.613 ms,+105.84%,57,14379,139.907 ms,-25.43%,116,+103.51%,14379
pr124.tsp,451.222 ms,1,59030,6.254 s,+1286.10%,487582,59030,5.030 s,-19.58%,226874,-53.47%,59030
rat99.tsp,1.152 s,1,1211,787.325 ms,-31.68%,63304,1211,271.748 ms,-65.48%,787,-98.76%,1211
rd100.tsp,91.907 ms,1,7910,1.024 s,+1014.64%,105911,7910,571.339 ms,-44.23%,1588,-98.50%,7910
st70.tsp,66.025 ms,1,675,11.426 s,+17206.34%,4444883,675,609.041 ms,-94.67%,107238,-97.59%,675
swiss42.tsp,32.797 ms,1,1273,27.011 ms,-17.64%,5,1273,17.734 ms,-34.34%,6,+20.00%,1273
ulysses16.tsp,47.218 ms,1,6859,17.788 ms,-62.33%,1,6859,17.706 ms,-0.46%,4,+300.00%,6859
wi29.tsp,45.293 ms,1,27603,16.494 ms,-63.58%,1,27603,21.839 ms,+32.40%,276,+27500.00%,27603
bier127.tsp,205.029 ms,1,118282,"1,800.000 s",+877826.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
brg180.tsp,209.315 ms,1,1950,"1,800.000 s",+859848.28%,未记录,超时,99.962 s,-94.45%,2402250,未记录,1950
ch130.tsp,213.878 ms,1,6110,"1,800.000 s",+841502.03%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch150.tsp,348.523 ms,1,6528,"1,800.000 s",+516365.06%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
d198.tsp,1.006 s,3,15780,"1,800.000 s",+178855.27%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr120.tsp,158.176 ms,1,6942,157.890 s,+99718.94%,35531695,6942,"1,800.000 s",+1040.04%,未记录,未记录,超时
kroA100.tsp,111.944 ms,1,21282,785.633 s,+701708.62%,188523346,21282,"1,800.000 s",+129.11%,未记录,未记录,超时
kroA150.tsp,483.246 ms,1,26524,"1,800.000 s",+372381.38%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB100.tsp,184.410 ms,1,22141,"1,800.000 s",+975984.56%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB150.tsp,467.264 ms,1,26130,"1,800.000 s",+385121.58%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroD100.tsp,136.404 ms,1,21294,295.920 s,+216844.67%,85408958,21294,"1,800.000 s",+508.27%,未记录,未记录,超时
kroE100.tsp,256.750 ms,1,22068,"1,800.000 s",+700971.21%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr107.tsp,162.066 ms,1,44303,"1,800.000 s",+1110558.71%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr136.tsp,538.135 ms,1,96772,"1,800.000 s",+334388.25%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr144.tsp,274.462 ms,1,58537,"1,800.000 s",+655729.04%,未记录,超时,55.346 s,-96.93%,3565288,未记录,58537
pr152.tsp,858.483 ms,1,73682,"1,800.000 s",+209572.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr76.tsp,215.731 ms,1,108159,"1,800.000 s",+834271.63%,未记录,超时,"1,740.639 s",-3.30%,543243533,未记录,108159
qa194.tsp,470.170 ms,1,9352,"1,800.000 s",+382740.57%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
rat195.tsp,2.873 s,3,2323,"1,800.000 s",+62551.95%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
si175.tsp,1.803 s,3,21407,"1,800.000 s",+99757.78%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
u159.tsp,122.766 ms,1,42080,"1,800.000 s",+1466099.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
xqf131.tsp,360.661 ms,1,564,"1,800.000 s",+498983.65%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
