实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,P0_运行时间,P0_运行时间相对Concorde变化,P0_分支创建数,P0_运行结果,T1_运行时间,T1_运行时间相对P0变化,T1_分支创建数,T1_分支创建数相对P0变化,T1_运行结果
att48.tsp,99.440 ms,1,10628,33.506 ms,-66.31%,373,10628,40.611 ms,+21.21%,56,-84.99%,10628
bayg29.tsp,43.556 ms,1,1610,17.491 ms,-59.84%,3,1610,20.089 ms,+14.85%,3,0.00%,1610
bays29.tsp,48.677 ms,1,2020,16.646 ms,-65.80%,15,2020,19.118 ms,+14.85%,9,-40.00%,2020
berlin52.tsp,68.495 ms,1,7542,25.282 ms,-63.09%,1,7542,28.793 ms,+13.89%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,433.479 ms,+331.58%,168561,25395,132.278 ms,-69.48%,732,-99.57%,25395
burma14.tsp,29.444 ms,1,3323,8.211 ms,-72.11%,1,3323,8.577 ms,+4.46%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,25.414 ms,-45.87%,12,699,20.166 ms,-20.65%,3,-75.00%,699
dj38.tsp,37.805 ms,1,6656,16.382 ms,-56.67%,1,6656,19.279 ms,+17.69%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,12.267 s,+16478.37%,3763318,629,592.138 ms,-95.17%,3122,-99.92%,629
eil51.tsp,61.975 ms,1,426,80.283 ms,+29.54%,18700,426,112.473 ms,+40.10%,769,-95.89%,426
eil76.tsp,60.101 ms,1,538,579.109 ms,+863.56%,132106,538,285.751 ms,-50.66%,1041,-99.21%,538
fri26.tsp,27.559 ms,1,937,6.244 ms,-77.34%,1,937,14.053 ms,+125.05%,1,0.00%,937
gr137.tsp,341.846 ms,1,69853,319.344 s,+93317.43%,23991715,69853,314.756 s,-1.44%,23873235,-0.49%,69853
gr17.tsp,16.621 ms,1,2085,10.812 ms,-34.95%,1,2085,15.772 ms,+45.88%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,7.432 ms,-39.18%,1,2707,15.199 ms,+104.50%,1,0.00%,2707
gr24.tsp,26.098 ms,1,1272,10.555 ms,-59.56%,1,1272,15.231 ms,+44.30%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,268.904 ms,+236.96%,125818,5046,294.448 ms,+9.50%,82806,-34.19%,5046
gr96.tsp,226.887 ms,1,55209,7.895 s,+3379.78%,2490722,55209,8.871 s,+12.36%,2235986,-10.23%,55209
hk48.tsp,46.300 ms,1,11461,27.675 ms,-40.23%,44,11461,39.364 ms,+42.24%,21,-52.27%,11461
kroA100.tsp,111.944 ms,1,21282,796.231 s,+711175.90%,192614325,21282,772.842 s,-2.94%,185831516,-3.52%,21282
kroC100.tsp,101.080 ms,1,20749,39.749 s,+39223.86%,11756617,20749,40.954 s,+3.03%,11256721,-4.25%,20749
kroD100.tsp,136.404 ms,1,21294,446.629 s,+327331.86%,129214031,21294,434.030 s,-2.82%,124355389,-3.76%,21294
lin105.tsp,91.143 ms,1,14379,190.396 ms,+108.90%,348,14379,205.175 ms,+7.76%,77,-77.87%,14379
pr124.tsp,451.222 ms,1,59030,3.536 s,+683.75%,660814,59030,5.464 s,+54.51%,618453,-6.41%,59030
rat99.tsp,1.152 s,1,1211,544.306 ms,-52.77%,91741,1211,562.005 ms,+3.25%,44356,-51.65%,1211
rd100.tsp,91.907 ms,1,7910,2.125 s,+2212.25%,525879,7910,1.763 s,-17.03%,152174,-71.06%,7910
