实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,P0_运行时间,P0_运行时间相对Concorde变化,P0_分支创建数,P0_运行结果,H0_运行时间,H0_运行时间相对P0变化,H0_分支创建数,H0_分支创建数相对P0变化,H0_运行结果
att48.tsp,99.440 ms,1,10628,33.506 ms,-66.31%,373,10628,38.294 ms,+14.29%,2464,+560.59%,10628
bayg29.tsp,43.556 ms,1,1610,17.491 ms,-59.84%,3,1610,21.525 ms,+23.07%,7,+133.33%,1610
bays29.tsp,48.677 ms,1,2020,16.646 ms,-65.80%,15,2020,20.345 ms,+22.22%,128,+753.33%,2020
berlin52.tsp,68.495 ms,1,7542,25.282 ms,-63.09%,1,7542,27.029 ms,+6.91%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,433.479 ms,+331.58%,168561,25395,13.166 s,+2937.38%,5522458,+3176.24%,25395
burma14.tsp,29.444 ms,1,3323,8.211 ms,-72.11%,1,3323,7.665 ms,-6.65%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,25.414 ms,-45.87%,12,699,25.894 ms,+1.89%,235,+1858.33%,699
dj38.tsp,37.805 ms,1,6656,16.382 ms,-56.67%,1,6656,15.898 ms,-2.95%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,12.267 s,+16478.37%,3763318,629,11.588 s,-5.54%,3529534,-6.21%,629
eil51.tsp,61.975 ms,1,426,80.283 ms,+29.54%,18700,426,99.029 ms,+23.35%,36993,+97.82%,426
eil76.tsp,60.101 ms,1,538,579.109 ms,+863.56%,132106,538,1.013 s,+74.88%,304712,+130.66%,538
fri26.tsp,27.559 ms,1,937,6.244 ms,-77.34%,1,937,12.885 ms,+106.35%,5,+400.00%,937
gr137.tsp,341.846 ms,1,69853,319.344 s,+93317.43%,23991715,69853,163.413 s,-48.83%,12117424,-49.49%,69853
gr17.tsp,16.621 ms,1,2085,10.812 ms,-34.95%,1,2085,17.999 ms,+66.48%,104,+10300.00%,2085
gr21.tsp,12.220 ms,1,2707,7.432 ms,-39.18%,1,2707,14.194 ms,+90.98%,4,+300.00%,2707
gr24.tsp,26.098 ms,1,1272,10.555 ms,-59.56%,1,1272,16.093 ms,+52.47%,5,+400.00%,1272
gr48.tsp,79.802 ms,1,5046,268.904 ms,+236.96%,125818,5046,170.475 ms,-36.60%,73447,-41.62%,5046
gr96.tsp,226.887 ms,1,55209,7.895 s,+3379.78%,2490722,55209,4.686 s,-40.64%,1426476,-42.73%,55209
hk48.tsp,46.300 ms,1,11461,27.675 ms,-40.23%,44,11461,24.583 ms,-11.17%,48,+9.09%,11461
kroC100.tsp,101.080 ms,1,20749,39.749 s,+39223.86%,11756617,20749,9.785 s,-75.38%,2809120,-76.11%,20749
lin105.tsp,91.143 ms,1,14379,190.396 ms,+108.90%,348,14379,120.360 ms,-36.78%,291,-16.38%,14379
pr124.tsp,451.222 ms,1,59030,3.536 s,+683.75%,660814,59030,2.449 s,-30.74%,450183,-31.87%,59030
rat99.tsp,1.152 s,1,1211,544.306 ms,-52.77%,91741,1211,445.980 ms,-18.06%,105242,+14.72%,1211
rd100.tsp,91.907 ms,1,7910,2.125 s,+2212.25%,525879,7910,5.631 s,+164.97%,1545224,+193.84%,7910
st70.tsp,66.025 ms,1,675,22.235 s,+33576.10%,8607708,675,380.614 ms,-98.29%,122431,-98.58%,675
swiss42.tsp,32.797 ms,1,1273,14.168 ms,-56.80%,8,1273,22.677 ms,+60.06%,6,-25.00%,1273
ulysses16.tsp,47.218 ms,1,6859,14.887 ms,-68.47%,1,6859,18.821 ms,+26.42%,6,+500.00%,6859
wi29.tsp,45.293 ms,1,27603,10.321 ms,-77.21%,1,27603,21.363 ms,+106.98%,1255,+125400.00%,27603
bier127.tsp,205.029 ms,1,118282,"1,800.000 s",+877826.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
brg180.tsp,209.315 ms,1,1950,"1,800.000 s",+859848.28%,未记录,超时,95.549 s,-94.69%,2405324,未记录,1950
ch130.tsp,213.878 ms,1,6110,"1,800.000 s",+841502.03%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch150.tsp,348.523 ms,1,6528,"1,800.000 s",+516365.06%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
d198.tsp,1.006 s,3,15780,"1,800.000 s",+178855.27%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr120.tsp,158.176 ms,1,6942,"1,800.000 s",+1137871.45%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroA100.tsp,111.944 ms,1,21282,796.231 s,+711175.90%,192614325,21282,"1,800.000 s",+126.06%,未记录,未记录,超时
kroA150.tsp,483.246 ms,1,26524,"1,800.000 s",+372381.38%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB100.tsp,184.410 ms,1,22141,"1,800.000 s",+975984.56%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB150.tsp,467.264 ms,1,26130,"1,800.000 s",+385121.58%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroD100.tsp,136.404 ms,1,21294,446.629 s,+327331.86%,129214031,21294,"1,800.000 s",+303.02%,未记录,未记录,超时
kroE100.tsp,256.750 ms,1,22068,"1,800.000 s",+700971.21%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr107.tsp,162.066 ms,1,44303,"1,800.000 s",+1110558.71%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr136.tsp,538.135 ms,1,96772,"1,800.000 s",+334388.25%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr144.tsp,274.462 ms,1,58537,"1,800.000 s",+655729.04%,未记录,超时,55.228 s,-96.93%,3619441,未记录,58537
pr152.tsp,858.483 ms,1,73682,"1,800.000 s",+209572.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr76.tsp,215.731 ms,1,108159,"1,800.000 s",+834271.63%,未记录,超时,"1,765.191 s",-1.93%,543685176,未记录,108159
qa194.tsp,470.170 ms,1,9352,"1,800.000 s",+382740.57%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
rat195.tsp,2.873 s,3,2323,"1,800.000 s",+62551.95%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
si175.tsp,1.803 s,3,21407,"1,800.000 s",+99757.78%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
u159.tsp,122.766 ms,1,42080,"1,800.000 s",+1466099.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
xqf131.tsp,360.661 ms,1,564,"1,800.000 s",+498983.65%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
