实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,B2_运行时间,B2_运行时间相对Concorde变化,B2_分支创建数,B2_运行结果,B4_运行时间,B4_运行时间相对B2变化,B4_分支创建数,B4_分支创建数相对B2变化,B4_运行结果
att48.tsp,99.440 ms,1,10628,36.612 ms,-63.18%,351,10628,39.733 ms,+8.52%,420,+19.66%,10628
bayg29.tsp,43.556 ms,1,1610,22.701 ms,-47.88%,3,1610,23.668 ms,+4.26%,3,0.00%,1610
bays29.tsp,48.677 ms,1,2020,21.440 ms,-55.95%,16,2020,27.810 ms,+29.71%,16,0.00%,2020
berlin52.tsp,68.495 ms,1,7542,23.777 ms,-65.29%,1,7542,28.090 ms,+18.14%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,118.497 ms,+17.98%,33954,25395,73.490 ms,-37.98%,12213,-64.03%,25395
burma14.tsp,29.444 ms,1,3323,7.576 ms,-74.27%,1,3323,8.680 ms,+14.58%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,27.381 ms,-41.68%,11,699,26.516 ms,-3.16%,13,+18.18%,699
dj38.tsp,37.805 ms,1,6656,15.039 ms,-60.22%,1,6656,11.558 ms,-23.15%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,179.589 ms,+142.71%,5176,629,2.160 s,+1102.89%,572177,+10954.42%,629
eil51.tsp,61.975 ms,1,426,94.490 ms,+52.47%,26263,426,118.967 ms,+25.90%,37072,+41.16%,426
eil76.tsp,60.101 ms,1,538,813.582 ms,+1253.69%,236157,538,221.374 ms,-72.79%,51579,-78.16%,538
fri26.tsp,27.559 ms,1,937,13.199 ms,-52.10%,1,937,7.326 ms,-44.49%,1,0.00%,937
gr17.tsp,16.621 ms,1,2085,8.578 ms,-48.39%,1,2085,19.751 ms,+130.24%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,8.858 ms,-27.52%,1,2707,9.529 ms,+7.58%,1,0.00%,2707
gr24.tsp,26.098 ms,1,1272,12.364 ms,-52.63%,1,1272,10.215 ms,-17.38%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,440.450 ms,+451.93%,249469,5046,1.283 s,+191.25%,759558,+204.47%,5046
gr96.tsp,226.887 ms,1,55209,4.865 s,+2044.16%,1414316,55209,108.773 s,+2135.90%,34090783,+2310.41%,55209
hk48.tsp,46.300 ms,1,11461,27.857 ms,-39.83%,64,11461,35.045 ms,+25.80%,58,-9.38%,11461
kroA100.tsp,111.944 ms,1,21282,"1,234.440 s",+1102628.99%,350818907,21282,229.234 s,-81.43%,63744275,-81.83%,21282
kroB100.tsp,184.410 ms,1,22141,194.212 s,+105215.36%,51654467,22141,25.295 s,-86.98%,6730121,-86.97%,22141
kroC100.tsp,101.080 ms,1,20749,4.408 s,+4261.02%,1137227,20749,2.392 s,-45.74%,575795,-49.37%,20749
