instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,P32:matches_reference,PSD32:matches_reference,P32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,P32:branches,PSD32:branches,relative_change:branches,P32:nodes_expanded,PSD32:nodes_expanded,P32:pruned_by_bound,PSD32:pruned_by_bound,P32:pruned_infeasible,PSD32:pruned_infeasible,P32:root_potential_iterations,PSD32:root_potential_iterations,P32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,2077.3782175363594,0.5506241209805012,163.8073330335319,296.49392878364785,695.0,217627.0,312.1323741007194,154.0,58410.0,548.0,159992.0,0.0,0.0,400.0,400.0,379.0,206266.0,352.0,199884.0,27.0,6382.0,235.37037037037038,5416.0,2768550.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,0.7303954487334259,0.11640988104045391,0.09963912516832352,-0.14406642908862988,429.0,338.0,-0.21212121212121215,135.0,114.0,298.0,225.0,51.0,39.0,400.0,400.0,411.0,301.0,411.0,301.0,0.0,0.0,0.0,6174.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,7.138679918416139,0.2606097925454378,0.3165017291903496,0.2144659880160371,454.0,569.0,0.25330396475770933,135.0,155.0,328.0,417.0,0.0,0.0,364.0,400.0,304.0,470.0,295.0,460.0,9.0,10.0,0.11111111111111116,5287.0,6892.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,-0.38866389087210074,0.017687518149614334,0.018022581934928894,0.018943516127041482,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.01531218836858,77.54542462811818,18.070503670722246,12.558965299278498,-0.30500192312699725,12407.0,10469.0,-0.1562021439509954,3833.0,3313.0,8620.0,7184.0,0.0,0.0,400.0,400.0,11445.0,9361.0,11321.0,9314.0,124.0,47.0,-0.6209677419354839,179449.0,146917.0,0.0,0.0,0.0,0.0,123.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,207.6456273205473,145.3671086287992,70.11544584855437,49.18672493100166,-0.29848945070901545,51113.0,38620.0,-0.24441922798505278,17260.0,13350.0,34040.0,25404.0,0.0,3.0,400.0,400.0,47121.0,35911.0,47117.0,35904.0,4.0,7.0,0.75,768553.0,583154.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.16739789131891636,-0.22176388070706932,0.015113769099116325,0.014126893132925034,-0.0652964829434236,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.10659820555259258,0.06954046778262568,0.007610063999891281,0.009110426530241966,0.19715504762799885,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.05294187035394504,-0.16120637413368277,0.01428210735321045,0.011377399787306786,-0.20338088029080104,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.421143077531925,2.363536512494056,0.2632349580526352,0.25880250334739685,-0.01683839691365019,1203.0,1387.0,0.15295095594347474,405.0,454.0,800.0,936.0,0.0,0.0,334.0,323.0,1124.0,1241.0,1117.0,1226.0,7.0,15.0,1.1428571428571428,17868.0,19427.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
