instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PSD-PSD16:matches_reference,hybrid-reverse:matches_reference,PSD-PSD16:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PSD-PSD16:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PSD-PSD16:branches,hybrid-reverse:branches,relative_change:branches,PSD-PSD16:nodes_expanded,hybrid-reverse:nodes_expanded,PSD-PSD16:pruned_by_bound,hybrid-reverse:pruned_by_bound,PSD-PSD16:pruned_infeasible,hybrid-reverse:pruned_infeasible,PSD-PSD16:root_potential_iterations,hybrid-reverse:root_potential_iterations,PSD-PSD16:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1181.890520964611,335.6753721552581,110.05995316430926,31.32536361925304,-0.715379093679177,419072.0,45495.0,-0.8914387026573,80639.0,11672.0,338851.0,33899.0,1.0,2.0,330.0,372.0,397351.0,42194.0,344659.0,40654.0,52692.0,1540.0,-0.9707735519623473,1789644.0,510939.0,0.0,0.0,0.0,0.0,52692.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,848.2813984736539,438.03093355030956,155.72557643055916,80.50140427052975,-0.483055987874755,288210.0,106369.0,-0.6309323063044308,99495.0,34309.0,190564.0,72354.0,14.0,0.0,400.0,396.0,267405.0,99518.0,267142.0,99492.0,263.0,26.0,-0.9011406844106464,2557901.0,1604312.0,0.0,0.0,0.0,0.0,262.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,210.53596178181823,114.3104180624846,25.22262271679938,13.749109823256731,-0.4548897639380215,48189.0,17141.0,-0.6442964161945672,14744.0,5225.0,33625.0,11959.0,0.0,0.0,311.0,370.0,44922.0,16129.0,44764.0,16114.0,158.0,15.0,-0.9050632911392404,392736.0,240582.0,0.0,0.0,0.0,0.0,157.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,179.3760824591088,392.87386311765937,25.412820449098945,55.49208978563547,1.1836257764770473,41390.0,81423.0,0.9672143029717324,13365.0,19531.0,28277.0,62069.0,0.0,0.0,400.0,458.0,38328.0,76711.0,38008.0,71953.0,320.0,4758.0,13.86875,350637.0,905057.0,0.0,0.0,0.0,0.0,319.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,274.62167743048497,627.4517097258965,64.8737895898521,147.92031005769968,1.280124392191175,112861.0,160029.0,0.41793002011323654,37703.0,50347.0,75997.0,110202.0,0.0,1.0,394.0,445.0,106787.0,152471.0,106763.0,152415.0,24.0,56.0,1.3333333333333335,974592.0,2363092.0,0.0,0.0,0.0,0.0,23.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.5085961115400015,1.4424436611960503,0.20262298732995987,0.19727975688874722,-0.026370307296434747,62.0,54.0,-0.12903225806451613,22.0,14.0,40.0,40.0,0.0,0.0,307.0,356.0,40.0,26.0,39.0,26.0,1.0,0.0,-1.0,397.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,12.479612389377507,7.729888952781737,5.907680280506611,3.8260293640196323,-0.3523635027027,7902.0,3262.0,-0.5871931156669198,2750.0,1150.0,5211.0,2120.0,0.0,0.0,349.0,393.0,7237.0,3039.0,7237.0,3039.0,0.0,0.0,0.0,68594.0,49307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1178.3095761312727,11.870175566228834,294.6342087481171,3.2154355999082327,-0.9890866861198148,289684.0,1951.0,-0.9932650750472929,132675.0,825.0,175480.0,1190.0,69.0,0.0,400.0,288.0,249603.0,1786.0,249603.0,1786.0,0.0,0.0,0.0,2831507.0,35177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,1998.4395512906553,1702.3521627474686,430.161335574463,366.4608118850738,-0.14808519134877562,1680006.0,1061614.0,-0.36808916158632765,472155.0,297463.0,1217433.0,766558.0,122.0,116.0,400.0,340.0,1528715.0,983550.0,1453850.0,933941.0,74865.0,49609.0,-0.33735390369331464,11816231.0,12361647.0,0.0,0.0,0.0,0.0,74865.0,49608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,313.4212739274417,261.17197682335285,899.7153159286827,750.2041449323297,-0.1661760874238627,385045.0,217376.0,-0.4354529990001169,140683.0,76795.0,249508.0,141958.0,17.0,6.0,400.0,597.0,362982.0,206043.0,362973.0,206029.0,9.0,14.0,0.5555555555555556,3773961.0,3773436.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
