instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PS-PS16:matches_reference,PSD32:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PSD32:branches,relative_change:branches,PS-PS16:nodes_expanded,PSD32:nodes_expanded,PS-PS16:pruned_by_bound,PSD32:pruned_by_bound,PS-PS16:pruned_infeasible,PSD32:pruned_infeasible,PS-PS16:root_potential_iterations,PSD32:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PSD32:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,88.34324252639271,2077.3782175363594,7.041585674509406,163.8073330335319,22.26284740474233,11690.0,217627.0,17.61650983746792,3795.0,58410.0,7993.0,159992.0,0.0,0.0,400.0,400.0,10699.0,206266.0,10635.0,199884.0,64.0,6382.0,98.71875,103185.0,2768550.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2425559158676096,0.7303954487334259,0.12913019955158234,0.09963912516832352,-0.22838247354739294,791.0,338.0,-0.572692793931732,263.0,114.0,533.0,225.0,32.0,39.0,400.0,400.0,730.0,301.0,730.0,301.0,0.0,0.0,0.0,6467.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.230598507559268,7.138679918416139,0.8645164743065834,0.3165017291903496,-0.6338973997641731,2612.0,569.0,-0.7821592649310873,869.0,155.0,1772.0,417.0,0.0,0.0,400.0,400.0,2382.0,470.0,2371.0,460.0,11.0,10.0,-0.09090909090909094,22675.0,6892.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.16080133693049348,-0.38866389087210074,0.02474011667072773,0.018022581934928894,-0.2715239715804153,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1475.6390307790784,77.54542462811818,236.10615685023367,12.558965299278498,-0.9468079720291035,314985.0,10469.0,-0.9667634966744448,100794.0,3313.0,216976.0,7184.0,0.0,0.0,800.0,400.0,293371.0,9361.0,293324.0,9314.0,47.0,47.0,0.0,2685178.0,146917.0,0.0,0.0,0.0,0.0,46.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,316.89184039505034,145.3671086287992,106.82767909951508,49.18672493100166,-0.5395694697702654,126184.0,38620.0,-0.6939390097001205,44575.0,13350.0,82645.0,25404.0,2.0,3.0,400.0,400.0,116138.0,35911.0,116131.0,35904.0,7.0,7.0,0.0,1086697.0,583154.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.46271544379916807,-0.22176388070706932,0.0265518706291914,0.014126893132925034,-0.4679511161298827,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.9832131633919783,0.06954046778262568,0.016893159598112106,0.009110426530241966,-0.4607032226665223,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.6244253904667034,-0.16120637413368277,0.005094295367598534,0.011377399787306786,1.2333608411618515,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,4.7023603756336065,2.363536512494056,0.43875995837152004,0.25880250334739685,-0.4101501324141894,4375.0,1387.0,-0.6829714285714286,1335.0,454.0,3067.0,936.0,4.0,0.0,389.0,323.0,3982.0,1241.0,3651.0,1226.0,331.0,15.0,-0.9546827794561934,29496.0,19427.0,0.0,0.0,0.0,0.0,331.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
