instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,result_match,PPSD32:matches_reference,PS-PS32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS-PS32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS-PS32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS-PS32:branches,relative_change:branches,PPSD32:nodes_expanded,PS-PS32:nodes_expanded,PPSD32:pruned_by_bound,PS-PS32:pruned_by_bound,PPSD32:pruned_infeasible,PS-PS32:pruned_infeasible,PPSD32:root_potential_iterations,PS-PS32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS-PS32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS-PS32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS-PS32:search_node_potential_updates_skipped_zero_violation
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.1348287721410214,0.020654696971178055,0.03255617991089821,0.5762119365066309,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,60.63379310734367,0.5329198185354471,4.8576660342514515,8.115191188800468,789.0,5915.0,6.496831432192649,195.0,1737.0,604.0,4218.0,0.0,0.0,400.0,400.0,417.0,5210.0,390.0,5145.0,27.0,65.0,1.4074074074074074,6613.0,79837.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0286548361477266,1.541978014840164,0.11681341007351875,0.14637143537402153,0.25303623344186144,369.0,576.0,0.5609756097560976,113.0,190.0,258.0,391.0,49.0,31.0,400.0,400.0,343.0,532.0,342.0,532.0,1.0,0.0,-1.0,5109.0,8052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.8779305100274932,21.197272804212673,0.189695805311203,0.8632204849272966,3.550551255000876,309.0,1815.0,4.87378640776699,82.0,578.0,233.0,1248.0,0.0,0.0,364.0,400.0,179.0,1651.0,170.0,1642.0,9.0,9.0,0.0,3030.0,25896.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.060815616055802324,-0.22615417664415283,0.027687760069966316,0.022813472896814346,-0.1760448357265001,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,76.64249609832396,2246.6780630562475,12.414592178538442,359.39089936204255,27.949070109877205,9979.0,328046.0,31.87363463272873,2993.0,100726.0,7011.0,228647.0,0.0,0.0,400.0,800.0,9098.0,308352.0,8974.0,308286.0,124.0,66.0,-0.467741935483871,139975.0,4915569.0,0.0,0.0,0.0,0.0,123.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,224.1739842151084,184.1186538811041,75.66980674117804,62.20919708907604,-0.17788613757324412,60544.0,50032.0,-0.17362579281183932,20594.0,17063.0,40220.0,33171.0,0.0,4.0,400.0,400.0,55913.0,46105.0,55907.0,46098.0,6.0,7.0,0.16666666666666674,918774.0,753302.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.19847595660078987,0.29531231930805557,0.021755276247859,0.02351309359073639,0.08079958732081738,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.641851152837666,0.8054755771076425,0.013985412195324898,0.015379177406430244,0.09965850070341586,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.008241145194139321,0.11582027154458752,0.013675786554813385,0.015134990215301514,0.1066997978243922,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
