instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,P32:matches_reference,PSD-PSD32:matches_reference,P32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,P32:branches,PSD-PSD32:branches,relative_change:branches,P32:nodes_expanded,PSD-PSD32:nodes_expanded,P32:pruned_by_bound,PSD-PSD32:pruned_by_bound,P32:pruned_infeasible,PSD-PSD32:pruned_infeasible,P32:root_potential_iterations,PSD-PSD32:root_potential_iterations,P32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,1872.8457568203637,0.5506241209805012,147.68711168691516,267.21765712683896,695.0,207045.0,296.9064748201439,154.0,54916.0,548.0,152859.0,0.0,0.0,400.0,400.0,379.0,195490.0,352.0,189108.0,27.0,6382.0,235.37037037037038,5416.0,2553069.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,0.5893396843832026,0.11640988104045391,0.0915168933570385,-0.21383912998557897,429.0,287.0,-0.331002331002331,135.0,93.0,298.0,197.0,51.0,32.0,400.0,400.0,411.0,260.0,411.0,260.0,0.0,0.0,0.0,6174.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,6.737952344338572,0.2606097925454378,0.30091800168156624,0.1546688201637727,454.0,512.0,0.12775330396475781,135.0,135.0,328.0,380.0,0.0,0.0,364.0,400.0,304.0,393.0,295.0,383.0,9.0,10.0,0.11111111111111116,5287.0,5927.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,0.03828391450215762,0.017687518149614334,0.03060927800834179,0.730558111625695,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.01531218836858,112.94983067613659,18.070503670722246,18.21992784552276,0.008268954619267799,12407.0,15246.0,0.2288224389457565,3833.0,4754.0,8620.0,10532.0,0.0,0.0,400.0,400.0,11445.0,13725.0,11321.0,13679.0,124.0,46.0,-0.6290322580645161,179449.0,212689.0,0.0,0.0,0.0,0.0,123.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,207.6456273205473,149.60807488116208,70.11544584855437,50.6119033228606,-0.2781632818511971,51113.0,39401.0,-0.2291393578932952,17260.0,13675.0,34040.0,25900.0,0.0,1.0,400.0,400.0,47121.0,36625.0,47117.0,36617.0,4.0,8.0,1.0,768553.0,600098.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.16739789131891636,0.7640857242859105,0.015113769099116325,0.03202247992157936,1.1187620183671894,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.10659820555259258,2.9574943249742462,0.007610063999891281,0.033710235729813576,3.4296914888357266,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.05294187035394504,1.6252523475653171,0.01428210735321045,0.0356089323759079,1.493254776432095,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.421143077531925,2.996987104237735,0.2632349580526352,0.3075424525886774,0.16831918854479322,1203.0,1677.0,0.3940149625935163,405.0,565.0,800.0,1115.0,0.0,0.0,334.0,323.0,1124.0,1532.0,1117.0,1516.0,7.0,16.0,1.2857142857142856,17868.0,24480.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,9.867416270988006,3.2561134677380323,2.189290778711438,-0.3276368282606865,5119.0,3379.0,-0.3399101386989647,1765.0,1162.0,3384.0,2238.0,0.0,0.0,319.0,356.0,4732.0,3063.0,4731.0,3063.0,1.0,0.0,-1.0,78352.0,52164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.053771545886576844,0.03686647303402424,0.032935258001089096,-0.10663387922427525,18.0,12.0,-0.33333333333333337,7.0,6.0,11.0,6.0,1.0,2.0,100.0,100.0,13.0,10.0,13.0,10.0,0.0,0.0,0.0,195.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
