instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PS-PS32:matches_reference,PS-PS64:matches_reference,PS-PS32:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PS-PS32:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PS-PS32:branches,PS-PS64:branches,relative_change:branches,PS-PS32:nodes_expanded,PS-PS64:nodes_expanded,PS-PS32:pruned_by_bound,PS-PS64:pruned_by_bound,PS-PS32:pruned_infeasible,PS-PS64:pruned_infeasible,PS-PS32:root_potential_iterations,PS-PS64:root_potential_iterations,PS-PS32:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PS-PS32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5210508706051253,-0.41773946854541055,0.042906494811177254,0.05216161161661148,0.21570433208688122,36.0,48.0,0.33333333333333326,14.0,18.0,22.0,31.0,12.0,2.0,100.0,100.0,29.0,42.0,29.0,42.0,0.0,0.0,0.0,481.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.37395255298626806,-0.2776226091195334,0.014932038262486458,0.017229631543159485,0.15387003704947877,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.07292797150608443,-0.29111826278382813,0.037810223177075386,0.028911428526043892,-0.23535419532849777,10.0,10.0,0.0,3.0,3.0,6.0,6.0,2.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,81.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.453618103041157,-0.1372372003092569,0.031118201091885567,0.04913710802793503,0.5790471911548929,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5046554495059217,-0.3740360574135003,0.044969597831368446,0.056827811524271965,0.26369401250530755,39.0,86.0,1.2051282051282053,11.0,28.0,28.0,59.0,0.0,0.0,100.0,100.0,36.0,82.0,36.0,82.0,0.0,0.0,0.0,484.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.12415618470471046,-0.1840448389394953,0.0207943357527256,0.019372455775737762,-0.06837823501053486,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,877.3153951411576,3995.643389165524,162.4810536801815,739.3458348196,3.5503510598527166,113490.0,842923.0,6.427288747907305,36203.0,266389.0,77705.0,582268.0,0.0,1.0,400.0,400.0,108208.0,794139.0,107863.0,793794.0,345.0,345.0,0.0,1751614.0,7183071.0,0.0,0.0,0.0,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1220.1626618386238,1679.6457379109356,406.5083737112582,559.4640149530023,0.37626688927787777,205249.0,421296.0,1.0526092697162959,62794.0,133187.0,143090.0,290578.0,0.0,0.0,400.0,400.0,196919.0,402315.0,196798.0,402195.0,121.0,120.0,-0.008264462809917328,3116069.0,3690548.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.16440210125926968,-0.10906304109058784,0.03617950342595577,0.038575559854507446,0.06622690202079173,5.0,5.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.1348287721410214,-0.24042936652820068,0.03255617991089821,0.028582455590367317,-0.12205745057947304,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
