instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,result_match,PSD-PSD32:matches_reference,PSD-PSD64:matches_reference,PSD-PSD32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_vs_Concorde_relative_change,PSD-PSD32:wall_seconds,PSD-PSD64:wall_seconds,relative_change:wall_seconds,PSD-PSD32:branches,PSD-PSD64:branches,relative_change:branches,PSD-PSD32:nodes_expanded,PSD-PSD64:nodes_expanded,PSD-PSD32:pruned_by_bound,PSD-PSD64:pruned_by_bound,PSD-PSD32:pruned_infeasible,PSD-PSD64:pruned_infeasible,PSD-PSD32:root_potential_iterations,PSD-PSD64:root_potential_iterations,PSD-PSD32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_iterations,PSD-PSD64:search_node_potential_iterations,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_violation,PSD-PSD64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4932716847462204,-0.41929117625765355,0.04539508372545242,0.052022602409124374,0.1459963974018621,36.0,35.0,-0.02777777777777779,13.0,12.0,23.0,23.0,0.0,2.0,100.0,100.0,33.0,28.0,33.0,28.0,0.0,0.0,0.0,504.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.07361611575046534,-0.3223779531580594,0.02560712769627571,0.01616215892136097,-0.36884139786940706,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5385454805692518,-0.5858862261094391,0.01882021874189377,0.01688944734632969,-0.10259027389868669,12.0,12.0,0.0,3.0,3.0,8.0,8.0,3.0,1.0,100.0,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,93.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.2657716443859537,-0.127651021110316,0.04181665927171707,0.04968307167291641,0.18811671085642723,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4701168437203571,-0.31793155566259157,0.04810516722500324,0.06192122958600521,0.2872053701919344,17.0,71.0,3.1764705882352944,5.0,21.0,12.0,50.0,0.0,2.0,100.0,100.0,16.0,60.0,16.0,60.0,0.0,0.0,0.0,281.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.7731789182233978,0.0828165804346177,0.005385199561715126,0.02570829540491104,3.773879799678814,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,254.8578137686346,319.03731713371747,85.17157216370106,106.53605238720775,0.2508405055908072,43137.0,78972.0,0.8307253633771472,13504.0,25409.0,29782.0,54042.0,0.0,0.0,400.0,400.0,41237.0,75665.0,41217.0,75645.0,20.0,20.0,0.0,665531.0,703004.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.2912168176455807,0.037369878528987766,0.030688712373375893,0.04491577483713627,0.46359268159139577,4.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.48191737384617217,-0.3245821767004977,0.019495321437716484,0.025415806099772453,0.3036874606541211,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,1872.8457568203637,2380.8376800304413,147.68711168691516,187.724483827129,0.2710959113689613,207045.0,344662.0,0.664671931222681,54916.0,100105.0,152859.0,247287.0,0.0,6.0,400.0,500.0,195490.0,324471.0,189108.0,318088.0,6382.0,6383.0,0.0001566906925729583,2553069.0,2855700.0,0.0,0.0,0.0,0.0,6382.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
