instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PSD-PSD32:matches_reference,PSD32:matches_reference,PSD-PSD32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PSD-PSD32:branches,PSD32:branches,relative_change:branches,PSD-PSD32:nodes_expanded,PSD32:nodes_expanded,PSD-PSD32:pruned_by_bound,PSD32:pruned_by_bound,PSD-PSD32:pruned_infeasible,PSD32:pruned_infeasible,PSD-PSD32:root_potential_iterations,PSD32:root_potential_iterations,PSD-PSD32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_iterations,PSD32:search_node_potential_iterations,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,1872.8457568203637,2077.3782175363594,147.68711168691516,163.8073330335319,0.10915117211304337,207045.0,217627.0,0.05110966215074009,54916.0,58410.0,152859.0,159992.0,0.0,0.0,400.0,400.0,195490.0,206266.0,189108.0,199884.0,6382.0,6382.0,0.0,2553069.0,2768550.0,0.0,0.0,0.0,0.0,6382.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.5893396843832026,0.7303954487334259,0.0915168933570385,0.09963912516832352,0.08875117492895468,287.0,338.0,0.17770034843205584,93.0,114.0,197.0,225.0,32.0,39.0,400.0,400.0,260.0,301.0,260.0,301.0,0.0,0.0,0.0,4050.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,6.737952344338572,7.138679918416139,0.30091800168156624,0.3165017291903496,0.051787288968089484,512.0,569.0,0.111328125,135.0,155.0,380.0,417.0,0.0,0.0,400.0,400.0,393.0,470.0,383.0,460.0,10.0,10.0,0.0,5927.0,6892.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.03828391450215762,-0.38866389087210074,0.03060927800834179,0.018022581934928894,-0.4112052584181407,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.94983067613659,77.54542462811818,18.21992784552276,12.558965299278498,-0.31070169949302784,15246.0,10469.0,-0.3133280860553588,4754.0,3313.0,10532.0,7184.0,0.0,0.0,400.0,400.0,13725.0,9361.0,13679.0,9314.0,46.0,47.0,0.021739130434782705,212689.0,146917.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,149.60807488116208,145.3671086287992,50.6119033228606,49.18672493100166,-0.028158956654277922,39401.0,38620.0,-0.01982183193319964,13675.0,13350.0,25900.0,25404.0,1.0,3.0,400.0,400.0,36625.0,35911.0,36617.0,35904.0,8.0,7.0,-0.125,600098.0,583154.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.7640857242859105,-0.22176388070706932,0.03202247992157936,0.014126893132925034,-0.5588445002535491,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.9574943249742462,0.06954046778262568,0.033710235729813576,0.009110426530241966,-0.7297430192045604,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,1.6252523475653171,-0.16120637413368277,0.0356089323759079,0.011377399787306786,-0.680490286336008,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.996987104237735,2.363536512494056,0.3075424525886774,0.25880250334739685,-0.15848202038782522,1677.0,1387.0,-0.17292784734645195,565.0,454.0,1115.0,936.0,0.0,0.0,323.0,323.0,1532.0,1241.0,1516.0,1226.0,16.0,15.0,-0.0625,24480.0,19427.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,9.867416270988006,13.773706407790057,2.189290778711438,2.9762308169156313,0.3594497569059174,3379.0,4889.0,0.44687777448949384,1162.0,1679.0,2238.0,3239.0,0.0,0.0,356.0,356.0,3063.0,4521.0,3063.0,4521.0,0.0,0.0,0.0,52164.0,75446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.053771545886576844,0.3089309464269081,0.032935258001089096,0.04091017507016659,0.24213920136328615,12.0,8.0,-0.33333333333333337,6.0,4.0,6.0,4.0,2.0,1.0,100.0,100.0,10.0,6.0,10.0,6.0,0.0,0.0,0.0,157.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1095.7270537998095,1169.8880507432275,102.04302599094808,108.94320458360016,0.06762028591022151,381632.0,392606.0,0.02875545027670645,68484.0,71396.0,313270.0,321356.0,1.0,1.0,330.0,330.0,362244.0,372430.0,309551.0,319738.0,52693.0,52692.0,-1.8977852845769583e-05,1789169.0,1885453.0,0.0,0.0,0.0,0.0,52692.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,2221.6674832695385,2026.9941548851546,1046.283561611548,954.6443466115743,-0.08758544849813521,575263.0,511863.0,-0.11021046025904668,177732.0,151929.0,399465.0,361602.0,0.0,0.0,400.0,400.0,546887.0,484698.0,546872.0,484684.0,15.0,14.0,-0.06666666666666665,8831611.0,7704730.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,314.83349286124735,339.9390412663066,57.91172727942467,62.51512022316456,0.0794898228734997,72957.0,75304.0,0.032169634168071504,24363.0,25184.0,48834.0,50375.0,14.0,17.0,400.0,400.0,67837.0,70329.0,67575.0,70066.0,262.0,263.0,0.003816793893129722,1131580.0,1175808.0,0.0,0.0,0.0,0.0,262.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,113.53353417750412,94.5044835641701,13.656477587297559,11.387536834925413,-0.16614392238907782,17971.0,14960.0,-0.16754771576428695,5460.0,4446.0,12541.0,10544.0,0.0,0.0,311.0,311.0,16968.0,14130.0,16811.0,13973.0,157.0,157.0,0.0,245368.0,203477.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,144.09696868746502,143.18777021071793,20.442417657002807,20.314322527498007,-0.0062661438414022275,23990.0,23169.0,-0.03422259274697792,7349.0,7054.0,16715.0,16172.0,0.0,0.0,400.0,400.0,22403.0,21707.0,22084.0,21386.0,319.0,321.0,0.006269592476489061,345840.0,333498.0,0.0,0.0,0.0,0.0,319.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,174.77852863180937,181.30149844853824,41.37344851531088,42.90877685137093,0.03710902501859081,47086.0,46593.0,-0.010470203457503269,14849.0,14327.0,32376.0,32397.0,0.0,0.0,394.0,394.0,44421.0,44047.0,44396.0,44023.0,25.0,24.0,-0.040000000000000036,689109.0,669192.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.8792897106855202,1.5743840877969992,0.23256445303559303,0.20793677866458893,-0.10589612492170053,106.0,51.0,-0.5188679245283019,35.0,16.0,71.0,35.0,0.0,0.0,307.0,307.0,66.0,30.0,66.0,29.0,0.0,1.0,,1088.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,15.249879101925078,13.157135737030645,7.121799021959305,6.204616958275437,-0.12878516521679917,6326.0,5845.0,-0.07603540942143538,2171.0,2050.0,4178.0,3814.0,0.0,0.0,349.0,349.0,5817.0,5349.0,5817.0,5349.0,0.0,0.0,0.0,95247.0,88411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,51.11017452484937,58.631599103023966,13.019007349386811,14.898131392896175,0.1443369677180395,7984.0,9064.0,0.1352705410821644,3599.0,4104.0,4809.0,5462.0,5.0,1.0,400.0,400.0,7008.0,8011.0,7008.0,8011.0,0.0,0.0,0.0,145900.0,167614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,2137.93937829503,2205.8190562384134,460.17346165142953,474.7771604247391,0.03173520420082698,1398711.0,1391537.0,-0.005129008065282936,373854.0,372985.0,1027487.0,1021351.0,97.0,119.0,400.0,400.0,1281311.0,1276343.0,1206444.0,1201478.0,74867.0,74865.0,-2.6714039563446867e-05,15310869.0,15183662.0,0.0,0.0,0.0,0.0,74865.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,266.7585001481542,257.6851909355479,766.1899608261883,740.2267199717462,-0.03388616685403412,218756.0,210812.0,-0.03631443251842237,77555.0,74578.0,142539.0,137590.0,11.0,7.0,400.0,400.0,207546.0,200374.0,207536.0,200363.0,10.0,11.0,0.10000000000000009,3795156.0,3660495.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7879150866952986,-0.7008350017149919,0.24616684764623642,0.3472406566143036,0.4105906621240858,173.0,335.0,0.9364161849710984,52.0,104.0,124.0,235.0,0.0,0.0,400.0,400.0,128.0,282.0,128.0,281.0,0.0,1.0,,2112.0,4297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,2.317581264542036,2.368626611014586,0.2604025527834892,0.2644091881811619,0.01538631382390454,208.0,214.0,0.028846153846153744,44.0,42.0,165.0,172.0,0.0,0.0,400.0,400.0,101.0,98.0,85.0,82.0,16.0,16.0,0.0,1181.0,1183.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,6.257175072403101,4.67895786487516,0.518218707293272,0.4055217318236828,-0.21746990968006752,1187.0,850.0,-0.2839090143218197,377.0,290.0,821.0,566.0,0.0,0.0,400.0,400.0,1062.0,734.0,1052.0,724.0,10.0,10.0,0.0,17664.0,13300.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.09983337764642375,-0.21875291853127243,0.030484311282634735,0.026457078754901886,-0.13210836519790248,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
