instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PPSD32:matches_reference,PSD32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PSD32:branches,relative_change:branches,PPSD32:nodes_expanded,PSD32:nodes_expanded,PPSD32:pruned_by_bound,PSD32:pruned_by_bound,PPSD32:pruned_infeasible,PSD32:pruned_infeasible,PPSD32:root_potential_iterations,PSD32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PSD32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.5975507053710212,0.03911067731678486,0.036053283140063286,-0.07817287724161837,22.0,27.0,0.2272727272727273,7.0,9.0,15.0,18.0,0.0,1.0,100.0,100.0,18.0,22.0,18.0,22.0,0.0,0.0,0.0,239.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,-0.34578041513735625,0.02249722369015217,0.015603980049490929,-0.30640419171716093,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,-0.4259831787871443,0.023445140570402145,0.023411022499203682,-0.0014552299695543836,11.0,15.0,0.36363636363636354,3.0,5.0,6.0,7.0,4.0,6.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,85.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.5636107379126205,0.011606911197304726,0.024853767827153206,1.1412904264249537,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.411648081177283,0.06268358044326305,0.05341322347521782,-0.1478913122462131,47.0,16.0,-0.6595744680851063,14.0,4.0,33.0,12.0,0.0,0.0,120.0,100.0,44.0,15.0,44.0,15.0,0.0,0.0,0.0,622.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,-0.7153255804119447,0.01217271201312542,0.006758756935596466,-0.444761616942163,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1349.9951620100796,6555.453503299446,249.92288493923843,1212.88944667764,3.8530547611617054,181331.0,753303.0,3.1542979413338044,55789.0,241404.0,126175.0,514568.0,0.0,1.0,400.0,400.0,172406.0,715541.0,170699.0,715522.0,1707.0,19.0,-0.9888693614528412,2686763.0,11648367.0,0.0,0.0,0.0,0.0,1704.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,365.65462809510643,110.2663047555834,122.05431859195232,0.10690495036084013,59460.0,63161.0,0.0622435250588631,17996.0,19479.0,41645.0,43885.0,0.0,0.0,400.0,400.0,56929.0,60283.0,56524.0,60264.0,405.0,19.0,-0.9530864197530864,889991.0,966772.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,-0.2905497150197982,0.03719459846615791,0.030717596411705017,-0.17413824376531706,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.29049044862174245,0.020654696971178055,0.02669866941869259,0.2926197588833379,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,2077.3782175363594,0.5329198185354471,163.8073330335319,306.3770712519228,789.0,217627.0,274.8263624841572,195.0,58410.0,604.0,159992.0,0.0,0.0,400.0,400.0,417.0,206266.0,390.0,199884.0,27.0,6382.0,235.37037037037038,6613.0,2768550.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
