instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PPSD32:matches_reference,PSD32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PSD32:branches,relative_change:branches,PPSD32:nodes_expanded,PSD32:nodes_expanded,PPSD32:pruned_by_bound,PSD32:pruned_by_bound,PPSD32:pruned_infeasible,PSD32:pruned_infeasible,PPSD32:root_potential_iterations,PSD32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PSD32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0286548361477266,0.7303954487334259,0.11681341007351875,0.09963912516832352,-0.1470232304183764,369.0,338.0,-0.0840108401084011,113.0,114.0,258.0,225.0,49.0,39.0,400.0,400.0,343.0,301.0,342.0,301.0,1.0,0.0,-1.0,5109.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.8779305100274932,7.138679918416139,0.189695805311203,0.3165017291903496,0.6684698360678918,309.0,569.0,0.8414239482200647,82.0,155.0,233.0,417.0,0.0,0.0,364.0,400.0,179.0,470.0,170.0,460.0,9.0,10.0,0.11111111111111116,3030.0,6892.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.060815616055802324,-0.38866389087210074,0.027687760069966316,0.018022581934928894,-0.34907764696796506,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,76.64249609832396,77.54542462811818,12.414592178538442,12.558965299278498,0.011629308370647795,9979.0,10469.0,0.049103116544743974,2993.0,3313.0,7011.0,7184.0,0.0,0.0,400.0,400.0,9098.0,9361.0,8974.0,9314.0,124.0,47.0,-0.6209677419354839,139975.0,146917.0,0.0,0.0,0.0,0.0,123.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,224.1739842151084,145.3671086287992,75.66980674117804,49.18672493100166,-0.34998215207235084,60544.0,38620.0,-0.36211680761099363,20594.0,13350.0,40220.0,25404.0,0.0,3.0,400.0,400.0,55913.0,35911.0,55907.0,35904.0,6.0,7.0,0.16666666666666674,918774.0,583154.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.19847595660078987,-0.22176388070706932,0.021755276247859,0.014126893132925034,-0.35064519650421344,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.641851152837666,0.06954046778262568,0.013985412195324898,0.009110426530241966,-0.3485764736138819,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.008241145194139321,-0.16120637413368277,0.013675786554813385,0.011377399787306786,-0.1680624919301369,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.5771063496356366,2.363536512494056,0.19829175993800163,0.25880250334739685,0.30516015102349514,940.0,1387.0,0.475531914893617,315.0,454.0,627.0,936.0,0.0,0.0,334.0,323.0,861.0,1241.0,853.0,1226.0,8.0,15.0,0.875,13858.0,19427.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,13.340336439415749,13.773706407790057,2.888926452025771,2.9762308169156313,0.03022034874880264,4498.0,4889.0,0.08692752334370835,1588.0,1679.0,2945.0,3239.0,0.0,0.0,319.0,356.0,4127.0,4521.0,4127.0,4521.0,0.0,0.0,0.0,70553.0,75446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3167424039663138,0.3089309464269081,0.041154319420456886,0.04091017507016659,-0.005932411317411845,16.0,8.0,-0.5,6.0,4.0,10.0,4.0,1.0,1.0,100.0,100.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,174.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1068.7800510820314,1169.8880507432275,99.53578985668719,108.94320458360016,0.09451288567115279,411334.0,392606.0,-0.045529910000145835,76131.0,71396.0,335341.0,321356.0,0.0,1.0,320.0,330.0,389194.0,372430.0,327718.0,319738.0,61476.0,52692.0,-0.1428850283037283,1759135.0,1885453.0,0.0,0.0,0.0,0.0,61476.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,394.4947826613981,2026.9941548851546,186.1725574862212,954.6443466115743,4.127739337642329,93072.0,511863.0,4.4996454357916456,29374.0,151929.0,64008.0,361602.0,0.0,0.0,400.0,400.0,89016.0,484698.0,89008.0,484684.0,8.0,14.0,0.75,1471657.0,7704730.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,146.82055855977077,339.9390412663066,27.104610711336136,62.51512022316456,1.3064385941178065,32195.0,75304.0,1.3389967386240098,10985.0,25184.0,21316.0,50375.0,0.0,17.0,372.0,400.0,30241.0,70329.0,30235.0,70066.0,6.0,263.0,42.833333333333336,511029.0,1175808.0,0.0,0.0,0.0,0.0,6.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,180.6588369797491,94.5044835641701,21.660205053165555,11.387536834925413,-0.4742645876632101,28723.0,14960.0,-0.47916304007241584,8579.0,4446.0,20210.0,10544.0,0.0,0.0,301.0,311.0,26783.0,14130.0,26771.0,13973.0,12.0,157.0,12.083333333333334,396449.0,203477.0,0.0,0.0,0.0,0.0,12.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,116.91503128810304,143.18777021071793,16.61280962266028,20.314322527498007,0.22281077005714756,18227.0,23169.0,0.27113622647720415,5945.0,7054.0,12341.0,16172.0,0.0,0.0,378.0,400.0,17193.0,21707.0,16900.0,21386.0,293.0,321.0,0.0955631399317407,277246.0,333498.0,0.0,0.0,0.0,0.0,292.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,807.132044138909,181.30149844853824,190.21213672682643,42.90877685137093,-0.7744161987255604,759297.0,46593.0,-0.9386366599630974,155933.0,14327.0,603985.0,32397.0,1340.0,0.0,729.0,394.0,701783.0,44047.0,611434.0,44023.0,90349.0,24.0,-0.9997343634129874,4394177.0,669192.0,0.0,0.0,0.0,0.0,90348.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.9939113571808926,1.5743840877969992,0.24182261154055595,0.20793677866458893,-0.14012681717434872,103.0,51.0,-0.5048543689320388,33.0,16.0,70.0,35.0,0.0,0.0,333.0,307.0,63.0,30.0,63.0,29.0,0.0,1.0,,1035.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.710822591326274,13.157135737030645,3.8176731914281845,6.204616958275437,0.625235227626779,3452.0,5845.0,0.6932213209733489,1242.0,2050.0,2223.0,3814.0,0.0,0.0,341.0,349.0,3220.0,5349.0,3220.0,5349.0,0.0,0.0,0.0,53414.0,88411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1532.2102567944232,58.631599103023966,383.05140566825867,14.898131392896175,-0.9611067048118375,220224.0,9064.0,-0.9588419064225516,96849.0,4104.0,134542.0,5462.0,70.0,1.0,400.0,400.0,190319.0,8011.0,190299.0,8011.0,20.0,0.0,-1.0,3992184.0,167614.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3538.2083703147214,2205.8190562384134,761.4286705832928,474.7771604247391,-0.37646534893276895,2715260.0,1391537.0,-0.48751242974890063,681818.0,372985.0,2037679.0,1021351.0,89.0,119.0,361.0,400.0,2524427.0,1276343.0,2291586.0,1201478.0,232841.0,74865.0,-0.6784715750232991,25123350.0,15183662.0,0.0,0.0,0.0,0.0,232840.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,552.9106860500004,257.6851909355479,1585.013385610655,740.2267199717462,-0.5329839314343957,450182.0,210812.0,-0.5317182828278341,159340.0,74578.0,293611.0,137590.0,5.0,7.0,400.0,400.0,426701.0,200374.0,426691.0,200363.0,10.0,11.0,0.10000000000000009,7794603.0,3660495.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7167256299154368,-0.7008350017149919,0.3287964127957821,0.3472406566143036,0.056096244060841904,290.0,335.0,0.15517241379310343,92.0,104.0,201.0,235.0,0.0,0.0,400.0,400.0,238.0,282.0,238.0,281.0,0.0,1.0,,3922.0,4297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.63493661494815,2.368626611014586,0.5207873731851578,0.2644091881811619,-0.4922895565535239,451.0,214.0,-0.5254988913525499,147.0,42.0,306.0,172.0,0.0,0.0,400.0,400.0,356.0,98.0,345.0,82.0,11.0,16.0,0.4545454545454546,6062.0,1183.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,7.098983909854031,4.67895786487516,0.5783304013311863,0.4055217318236828,-0.29880613073381046,1353.0,850.0,-0.3717664449371767,435.0,290.0,923.0,566.0,0.0,0.0,361.0,400.0,1213.0,734.0,1210.0,724.0,3.0,10.0,2.3333333333333335,20392.0,13300.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.1727893717225134,-0.21875291853127243,0.028013642877340317,0.026457078754901886,-0.055564502241067126,5.0,3.0,-0.4,2.0,2.0,3.0,2.0,3.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,1745.9330087902867,287.3638670072337,211.26963291689754,34.87399231828749,-0.8349313536602532,130944.0,18956.0,-0.855235826001955,41587.0,6398.0,89780.0,12644.0,0.0,0.0,400.0,400.0,121660.0,17712.0,121630.0,17685.0,30.0,27.0,-0.09999999999999998,1926907.0,298613.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.28346797460208806,-0.5492207172519359,0.022882739081978798,0.0143958181142807,-0.37088745963904013,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.6466685722434935,-0.6601992180314764,0.016082778573036194,0.015466896817088127,-0.03829448705963234,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,ok,1,118282.0,timeout,0,,,True,,5463.281272532711,,1086.8457446284592,,,879992.0,,,270348.0,,612004.0,,0.0,,729.0,,792292.0,,792253.0,,39.0,,,12512801.0,,0.0,,0.0,,38.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,0.9902167804539204,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.46501733362674713,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.15831930935382843,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.5037562884390354,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8909101411700249,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.48868450708687305,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,1.865148700773716,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.36307481303811073,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
