instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PS-PS32:matches_reference,PS32:matches_reference,PS-PS32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PS-PS32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PS-PS32:branches,PS32:branches,relative_change:branches,PS-PS32:nodes_expanded,PS32:nodes_expanded,PS-PS32:pruned_by_bound,PS32:pruned_by_bound,PS-PS32:pruned_infeasible,PS32:pruned_infeasible,PS-PS32:root_potential_iterations,PS32:root_potential_iterations,PS-PS32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PS-PS32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_iterations,PS32:search_node_potential_iterations,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,60.63379310734367,62.45634641773285,4.8576660342514515,5.001310532912612,0.029570682226468747,5915.0,5866.0,-0.008284023668639007,1737.0,1767.0,4218.0,4135.0,0.0,0.0,400.0,400.0,5210.0,5237.0,5145.0,5173.0,65.0,64.0,-0.01538461538461533,79837.0,83688.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.541978014840164,1.4428777835658888,0.14637143537402153,0.1406650748103857,-0.03898547929829621,576.0,589.0,0.02256944444444442,190.0,193.0,391.0,401.0,31.0,28.0,400.0,400.0,532.0,560.0,532.0,560.0,0.0,0.0,0.0,8052.0,8379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.197272804212673,20.680647264276157,0.8632204849272966,0.8431296497583389,-0.02327427988534103,1815.0,1776.0,-0.02148760330578514,578.0,539.0,1248.0,1246.0,0.0,0.0,400.0,400.0,1651.0,1598.0,1642.0,1589.0,9.0,9.0,0.0,25896.0,25281.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.22615417664415283,-0.3694601100629924,0.022813472896814346,0.018588721752166748,-0.1851866729697932,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,2246.6780630562475,2322.534832252743,359.39089936204255,371.5199639964849,0.03374894761100711,328046.0,325497.0,-0.00777025173298862,100726.0,101093.0,228647.0,225821.0,0.0,0.0,800.0,800.0,308352.0,306639.0,308286.0,306574.0,66.0,65.0,-0.015151515151515138,4915569.0,4924840.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,184.1186538811041,192.70369424037267,62.20919708907604,65.09420330822468,0.04637587935780063,50032.0,51825.0,0.035837064278861464,17063.0,17522.0,33171.0,34493.0,4.0,1.0,400.0,400.0,46105.0,47995.0,46098.0,47988.0,7.0,7.0,0.0,753302.0,781907.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.29531231930805557,-0.45545395562659896,0.02351309359073639,0.009884845465421677,-0.5796025126478433,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.8054755771076425,-0.5067681556543505,0.015379177406430244,0.004201386123895645,-0.7268133390451047,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.11582027154458752,-0.5721941649127129,0.015134990215301514,0.005802759900689125,-0.6165996926233543,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.793523669698759,3.8017710721143825,0.368830818682909,0.3694654032588005,0.00172053023702734,3285.0,3192.0,-0.028310502283105055,931.0,897.0,2360.0,2298.0,0.0,1.0,389.0,389.0,2968.0,2835.0,2637.0,2504.0,331.0,331.0,0.0,31210.0,29670.0,0.0,0.0,0.0,0.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
