instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,gap0.005-0.03:status,gap0.005-0.03:successful_repeats,gap0.005-0.03:result,result_match,P32-no-node-update:matches_reference,gap0.005-0.03:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,gap0.005-0.03:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,gap0.005-0.03:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,gap0.005-0.03:branches,relative_change:branches,P32-no-node-update:nodes_expanded,gap0.005-0.03:nodes_expanded,P32-no-node-update:pruned_by_bound,gap0.005-0.03:pruned_by_bound,P32-no-node-update:pruned_infeasible,gap0.005-0.03:pruned_infeasible,P32-no-node-update:root_potential_iterations,gap0.005-0.03:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,gap0.005-0.03:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,gap0.005-0.03:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,gap0.005-0.03:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,gap0.005-0.03:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.03:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,gap0.005-0.03:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.03:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.03:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,gap0.005-0.03:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.03:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,gap0.005-0.03:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.03:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.03:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,gap0.005-0.03:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,15.830950435309184,3.6271813176541654,0.6545318122953176,0.17994452454149723,-0.7250790241799459,132106.0,4438.0,-0.9664057650674458,105325.0,3635.0,74055.0,2427.0,751.0,3.0,464.0,364.0,105323.0,3635.0,0.0,30.0,105323.0,3605.0,-0.9657719586415123,0.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3604.0,0.0,0.0,0.0,0.0,105323.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.11213453968775466,0.06677399177370735,0.03278644196689129,0.03144918382167816,-0.04078692486862501,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,934.7870290245222,100.06361417593614,314.47160241007805,33.96246764436364,-0.8920014799934913,23991715.0,2942576.0,-0.8773503269774587,16170127.0,2176072.0,14222938.0,1659900.0,70.0,45113.0,800.0,800.0,16170125.0,2176153.0,0.0,1096.0,16170125.0,2175057.0,-0.8654891659773811,0.0,33632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2175052.0,0.0,0.0,0.0,0.0,16170125.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.7344312870638139,-0.7624994574431767,0.03148417919874191,0.0043112169951200485,-0.8630671942277497,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,4.544373661058007,3.397014546128048,0.047227393835783005,0.03745410218834877,-0.2069411596459777,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,1.3860508184499594,1.244593228976346,0.03236440196633339,0.03044567070901394,-0.05928523750617676,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.7241883586737186,3.168053345774277,0.2865523435175419,0.3207048997282982,0.11918435491233592,125818.0,41108.0,-0.6732740943267259,90001.0,29878.0,74191.0,23812.0,367.0,28.0,334.0,334.0,90000.0,30062.0,0.0,553.0,90000.0,29509.0,-0.6721222222222223,0.0,13498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29508.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,39.08609120287102,8.8745936576419,8.075526660308242,1.9892821162939072,-0.7536653397392193,2490722.0,390339.0,-0.8432827910943093,1672187.0,270560.0,1488093.0,226718.0,6435.0,95.0,684.0,319.0,1672185.0,270584.0,0.0,248.0,1672185.0,270336.0,-0.838333677194808,0.0,7480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270334.0,0.0,0.0,0.0,0.0,1672185.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.5281977144898384,0.3761278129283634,0.04776328057050705,0.04301038943231106,-0.09950931094818505,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,8991.224216157194,330.7706264126129,836.6655734684318,30.869010239839554,-0.9631047204298477,192614325.0,5903961.0,-0.9693482766663383,146674028.0,4292060.0,115357483.0,3446016.0,7007.0,8.0,649.0,649.0,146674026.0,4293020.0,0.0,4887.0,146674026.0,4288133.0,-0.9707641965183392,0.0,138630.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4288108.0,0.0,0.0,0.0,0.0,146674026.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
