instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P33>2%:status,P33>2%:successful_repeats,P33>2%:result,result_match,P32:matches_reference,P33>2%:matches_reference,P32:wall_vs_Concorde_relative_change,P33>2%:wall_vs_Concorde_relative_change,P32:wall_seconds,P33>2%:wall_seconds,relative_change:wall_seconds,P32:branches,P33>2%:branches,relative_change:branches,P32:nodes_expanded,P33>2%:nodes_expanded,P32:pruned_by_bound,P33>2%:pruned_by_bound,P32:pruned_infeasible,P33>2%:pruned_infeasible,P32:root_potential_iterations,P33>2%:root_potential_iterations,P32:search_node_potential_update_candidates,P33>2%:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P33>2%:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P33>2%:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P33>2%:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P33>2%:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P33>2%:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P33>2%:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P33>2%:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P33>2%:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P33>2%:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P33>2%:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P33>2%:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P33>2%:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.6251795234130301,0.03277943842113018,0.033578164875507355,0.024366691220137016,29.0,373.0,11.862068965517242,9.0,281.0,20.0,155.0,1.0,111.0,100.0,100.0,26.0,280.0,26.0,0.0,0.0,280.0,,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.6864745608826759,0.015848398208618164,0.007477985695004463,-0.5281551109096927,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.21618819436918346,0.021672306582331657,0.031967418268322945,0.4750353473858835,10.0,15.0,0.5,3.0,11.0,5.0,2.0,3.0,11.0,100.0,100.0,7.0,10.0,7.0,0.0,0.0,10.0,,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.5954232855799155,0.02518514357507229,0.023041941225528717,-0.08509788094537074,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,4.533419114461609,0.053270261734724045,0.5023485813289881,8.430187969238638,88.0,168561.0,1914.465909090909,26.0,112098.0,62.0,101529.0,0.0,5737.0,120.0,120.0,82.0,112097.0,82.0,0.0,0.0,112097.0,,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,0.1101008667452612,0.008114388212561607,0.026356080546975136,2.248067489077511,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.38867187726860386,0.027104808017611504,0.02646912820637226,-0.02345265868794222,3.0,12.0,3.0,1.0,6.0,2.0,6.0,0.0,1.0,100.0,100.0,2.0,5.0,2.0,0.0,0.0,5.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.5036007745645055,0.0198777224868536,0.018679380416870117,-0.06028568266691625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,161.1077650475786,0.5506241209805012,12.77651990018785,22.203705419654682,695.0,3747376.0,5390.907913669064,154.0,2747059.0,548.0,1933294.0,0.0,434226.0,400.0,500.0,379.0,2747057.0,352.0,26.0,27.0,2747031.0,101740.88888888889,5416.0,832.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,2747030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,0.5071982727276727,0.11640988104045391,0.08678705058991909,-0.2544700689131407,429.0,18700.0,42.58974358974359,135.0,15848.0,298.0,7304.0,51.0,6720.0,400.0,400.0,411.0,15847.0,411.0,0.0,0.0,15847.0,,6174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
