mode,repeat,instance,status,cost,root_lower_bound,instance_wall_seconds,batch_wall_seconds,nodes_created,nodes_expanded,root_candidate_edges_after,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_gap_change_below_minimum,potential_updates_improved,potential_updates_pruned,potential_updates_rebuilt,potential_updates_stopped_prunable,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,replacement_seconds,lkh_provider_seconds
baseline,7,dantzig42,ok,699,696.95999999765797,0.0063084580000000003,3.628412667,10,2,62,8,8,0,8,7,1,7,59,5.3874999999999995e-05,7.2080000000000003e-06,7.124999999999997e-06,0.0050200000000000002
baseline,7,att48,ok,10628,10602.139999958954,0.0067720000000000002,3.628412667,53,23,90,43,24,19,23,21,2,21,168,0.00028825000000000004,1.3542e-05,1.8953000000000013e-05,0.0048040000000000001
baseline,7,bayg29,ok,1610,1607.9799999981672,0.0032499170000000002,3.628412667,3,1,34,1,1,0,1,1,0,1,3,4.3329999999999998e-06,0,1.1260000000000001e-06,0.0026649999999999998
baseline,7,bays29,ok,2020,2013.2999999969581,0.0032088329999999999,3.628412667,11,3,50,8,8,0,8,6,2,6,81,5.9957999999999998e-05,9.3330000000000003e-06,3.2080000000000013e-06,0.0025349999999999999
baseline,7,fri26,ok,937,936.99999999842294,0.002522458,3.628412667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021710000000000002
baseline,7,st70,ok,675,670.93999999520179,0.017373334000000001,3.628412667,23,6,177,22,22,0,22,17,5,17,348,0.0012040820000000002,6.8125000000000003e-05,4.1076000000000032e-05,0.011834000000000001
baseline,7,eil76,ok,538,536.96999999686898,0.015784042000000002,3.628412667,3,1,92,2,2,0,2,2,0,2,13,3.4666999999999999e-05,0,1.1791000000000001e-05,0.011015
baseline,7,rat99,ok,1211,1205.9499999855982,0.029129540999999998,3.628412667,90,40,207,76,45,31,45,37,8,37,467,0.0020118339999999997,0.00015496099999999998,7.6999000000000148e-05,0.015169999999999999
baseline,7,eil101,ok,629,627.30999999344851,0.033660542000000002,3.628412667,93,36,177,83,53,30,50,48,2,48,694,0.0037489569999999994,5.3749999999999999e-05,0.00010554000000000027,0.016289999999999999
baseline,7,gr96,ok,55209,54569.479999428448,0.19495570800000001,3.628412667,4482,1990,529,3820,2103,1717,2102,1831,271,1829,19460,0.14303870799999999,0.0074250470000000032,0.0040015049999999192,0.024407000000000002
baseline,7,pr124,ok,59030,58060.599998730104,0.41569054100000002,3.628412667,4449,2100,1196,3906,2229,1677,2228,1807,421,1807,23178,0.32794980699999993,0.023594579999999997,0.0042410779999999372,0.032792000000000002
baseline,7,kroC100,ok,20749,20472.489999725905,0.77692266700000001,3.628412667,18289,7912,625,16317,9220,7097,9215,8406,809,8397,68762,0.68452963300000069,0.026376300999999991,0.0189228730000006,0.019432999999999999
baseline,7,u159,ok,42080,41924.959998853687,0.36443166700000001,3.628412667,4336,1900,490,3876,2156,1720,2151,1977,174,1967,15225,0.25752167199999998,0.0073320849999999951,0.0084875420000000007,0.029517999999999999
baseline,7,rd100,ok,7910,7897.0899999083686,0.038537042000000001,3.628412667,27,10,184,23,17,6,17,14,3,14,150,0.00081362300000000008,6.4540999999999991e-05,5.8536999999999999e-05,0.022574
baseline,7,kroA100,ok,21282,20936.47999972256,1.7111147499999999,3.628412667,33438,13796,688,29633,17693,11940,17692,15838,1854,15825,139898,1.5490038849999905,0.066761912000000048,0.034067151000000871,0.017706
optimized,7,dantzig42,ok,699,696.95999999765797,0.0064663749999999999,3.258511458,10,2,62,8,8,0,8,7,1,7,59,4.4582999999999996e-05,6.0000000000000002e-06,7.1219999999999972e-06,0.0051570000000000001
optimized,7,att48,ok,10628,10602.139999958954,0.0067384159999999997,3.258511458,53,23,90,43,24,19,23,21,2,21,168,0.00026050000000000004,1.5459000000000002e-05,2.1429000000000011e-05,0.0046639999999999997
optimized,7,bayg29,ok,1610,1607.9799999981672,0.0032147090000000001,3.258511458,3,1,34,1,1,0,1,1,0,1,3,3.3749999999999999e-06,0,1.1659999999999999e-06,0.002637
optimized,7,bays29,ok,2020,2013.2999999969581,0.0031921250000000001,3.258511458,11,3,50,8,8,0,8,6,2,6,81,5.9833999999999997e-05,7.3330000000000008e-06,2.997000000000002e-06,0.0025089999999999999
optimized,7,fri26,ok,937,936.99999999842294,0.0025157909999999999,3.258511458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021410000000000001
optimized,7,st70,ok,675,670.93999999520179,0.017131166999999999,3.258511458,23,6,177,22,22,0,22,17,5,17,348,0.0011463339999999999,6.7749999999999993e-05,4.3163000000000047e-05,0.011599999999999999
optimized,7,eil76,ok,538,536.96999999686898,0.01551575,3.258511458,3,1,92,2,2,0,2,2,0,2,13,2.2499999999999998e-05,0,1.1668999999999996e-05,0.010798
optimized,7,rat99,ok,1211,1205.9499999855982,0.028818083000000001,3.258511458,90,40,207,76,45,31,45,37,8,37,467,0.0016513309999999996,0.00017041500000000001,9.6452000000000221e-05,0.015405
optimized,7,eil101,ok,629,627.30999999344851,0.032782291999999998,3.258511458,93,36,177,83,53,30,50,48,2,48,694,0.0030926250000000003,4.5917000000000001e-05,0.00010079100000000029,0.015927
optimized,7,gr96,ok,55209,54569.479999428448,0.17853766600000001,3.258511458,4482,1990,529,3820,2103,1717,2102,1831,271,1829,19460,0.12747743400000006,0.007257506000000003,0.0040208649999999074,0.023751999999999999
optimized,7,pr124,ok,59030,58060.599998730104,0.38226425000000003,3.258511458,4449,2100,1196,3906,2229,1677,2228,1807,421,1807,23178,0.29514016899999884,0.02336608300000001,0.0044049279999999347,0.032577000000000002
optimized,7,kroC100,ok,20749,20472.489999725905,0.68498766700000002,3.258511458,18289,7912,625,16317,9220,7097,9215,8406,809,8397,68762,0.5945966410000002,0.025492441999999994,0.018699998000000644,0.018794999999999999
optimized,7,u159,ok,42080,41924.959998853687,0.32736175000000001,3.258511458,4336,1900,490,3876,2156,1720,2151,1977,174,1967,15225,0.2212423219999998,0.0073521630000000001,0.0083660019999999922,0.028997999999999999
optimized,7,rd100,ok,7910,7897.0899999083686,0.037728666000000001,3.258511458,27,10,184,23,17,6,17,14,3,14,150,0.00066521100000000008,5.7791000000000003e-05,5.8756000000000039e-05,0.022175
optimized,7,kroA100,ok,21282,20936.47999972256,1.522564,3.258511458,33438,13796,688,29633,17693,11940,17692,15838,1854,15825,139898,1.3630617340000077,0.064882964999999987,0.033179983000000496,0.017509
