instance,single_ub,alpha8_ub,lkh_ub,provider_ub,lkh_gain_vs_single,lkh_gain_vs_alpha8
/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,6656.0,6656.0,6656.0,6656.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/national/qa194.tsp,9695.0,9682.0,9352.0,9352.0,343.0,330.0
/Users/a/Ayanami/code/TSP/data/classic/national/wi29.tsp,27603.0,27603.0,27603.0,27603.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10648.0,10648.0,10628.0,10628.0,20.0,20.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1610.0,1610.0,1610.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2020.0,2020.0,2020.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7542.0,7542.0,7542.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,120414.0,120414.0,118282.0,118282.0,2132.0,2132.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25395.0,25395.0,25395.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1960.0,1960.0,1950.0,1950.0,10.0,10.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3323.0,3323.0,3323.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6235.0,6235.0,6110.0,6110.0,125.0,125.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6636.0,6636.0,6528.0,6528.0,108.0,108.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15989.0,15929.0,15780.0,15780.0,209.0,149.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,699.0,699.0,699.0,699.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,646.0,646.0,629.0,629.0,17.0,17.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,427.0,427.0,426.0,426.0,1.0,1.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,548.0,548.0,538.0,538.0,10.0,10.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,937.0,937.0,937.0,937.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,7108.0,7035.0,6942.0,6942.0,166.0,93.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,70620.0,70620.0,69853.0,69853.0,767.0,767.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,2085.0,2085.0,2085.0,2085.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,2707.0,2707.0,2707.0,2707.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,1272.0,1272.0,1272.0,1272.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,5093.0,5093.0,5046.0,5046.0,47.0,47.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr96.tsp,55595.0,55312.0,55209.0,55209.0,386.0,103.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/hk48.tsp,11470.0,11470.0,11461.0,11461.0,9.0,9.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,21689.0,21689.0,21282.0,21282.0,407.0,407.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA150.tsp,26816.0,26786.0,26524.0,26524.0,292.0,262.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB100.tsp,22344.0,22328.0,22141.0,22141.0,203.0,187.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB150.tsp,26482.0,26359.0,26130.0,26130.0,352.0,229.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroC100.tsp,20965.0,20965.0,20749.0,20749.0,216.0,216.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroD100.tsp,21811.0,21811.0,21294.0,21294.0,517.0,517.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroE100.tsp,22597.0,22597.0,22068.0,22068.0,529.0,529.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/lin105.tsp,14523.0,14523.0,14379.0,14379.0,144.0,144.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr107.tsp,44303.0,44303.0,44303.0,44303.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr124.tsp,59159.0,59159.0,59030.0,59030.0,129.0,129.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr136.tsp,100656.0,100530.0,96772.0,96772.0,3884.0,3758.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr144.tsp,58537.0,58537.0,58537.0,58537.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr152.tsp,74442.0,74442.0,73682.0,73682.0,760.0,760.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr76.tsp,109067.0,109067.0,108159.0,108159.0,908.0,908.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat195.tsp,2356.0,2354.0,2323.0,2323.0,33.0,31.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat99.tsp,1224.0,1224.0,1211.0,1211.0,13.0,13.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/rd100.tsp,8069.0,8069.0,7910.0,7910.0,159.0,159.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/si175.tsp,21455.0,21451.0,21407.0,21407.0,48.0,44.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/st70.tsp,685.0,685.0,675.0,675.0,10.0,10.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,1274.0,1273.0,1273.0,1273.0,1.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/u159.tsp,43135.0,42738.0,42080.0,42080.0,1055.0,658.0
/Users/a/Ayanami/code/TSP/data/classic/tsplib/ulysses16.tsp,6859.0,6859.0,6859.0,6859.0,0.0,0.0
/Users/a/Ayanami/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,582.0,580.0,564.0,564.0,18.0,16.0
