repeat,configuration,instance,upper_bound,lower_bound,wall_seconds,heuristic_seconds
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10648.0,10599.68823369806,0.010755542,0.004231542
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.002562834,0.001448084
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.002812917,0.001624125
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.005263,0.002562
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,120414.0,117430.97806154632,0.170081083,0.033761916
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.021823916,0.010633458
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1960.0,1949.2773311365436,0.193947833,0.02343175
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.00079875,0.000494041
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6235.0,6074.859641716426,0.208701208,0.0380805
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6636.0,6488.697696628935,0.315356459,0.048649625
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15989.0,14536.148992869335,0.698690625,0.145860583
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,699.0,696.9533830654316,0.0068115,0.0023615
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,6656.0,6655.999999980996,0.002698041,0.001614667
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,646.0,627.3444474025675,0.092540042,0.01597875
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,427.0,422.49983691886655,0.015933084,0.002027875
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,548.0,536.9999543717072,0.034053166,0.005588
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,937.0,936.999999998938,0.001720666,0.001120458
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,7108.0,6911.243700900038,0.164976625,0.037560709
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,70620.0,69118.35224426475,0.232557583,0.049618083
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,2085.0,2084.999999998924,0.001899417,0.000984667
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,2707.0,2706.999999997682,0.000970459,0.000595417
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,1272.0,1271.9995357693901,0.001742584,0.000960667
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,5093.0,4958.999443382592,0.010679666,0.003755667
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr96.tsp,55595.0,54569.49352066382,0.056667459,0.0133775
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/hk48.tsp,11470.0,11443.03742578926,0.007844959,0.002509
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,21689.0,20936.495650387562,0.0802575,0.017661459
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA150.tsp,26816.0,26296.059282328926,0.338542458,0.066814125
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB100.tsp,22344.0,21833.996439724335,0.083005208,0.01757125
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB150.tsp,26482.0,25732.496018037127,0.275266333,0.081672125
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroC100.tsp,20965.0,20472.49694980305,0.067227875,0.016193042
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroD100.tsp,21811.0,21141.49753159475,0.075853167,0.016549375
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroE100.tsp,22597.0,21798.395755460664,0.108058041,0.016486875
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/lin105.tsp,14523.0,14370.499389782033,0.073886917,0.020197916
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr107.tsp,44303.0,39439.60351348245,0.118531458,0.0150135
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr124.tsp,59159.0,58067.492748859826,0.107281375,0.021156083
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr136.tsp,100656.0,95327.53319041648,0.243276917,0.04132275
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr144.tsp,58537.0,58050.96688109716,0.140323417,0.026325125
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr152.tsp,74442.0,68056.8919239027,0.316778917,0.047052834
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr76.tsp,109067.0,105119.98570260686,0.032532167,0.008056333
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/national/qa194.tsp,9695.0,9265.247785856105,0.650127875,0.196677791
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat195.tsp,2356.0,2293.7609553055195,0.565469417,0.097216959
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat99.tsp,1224.0,1205.9998415063767,0.07146375,0.010721042
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rd100.tsp,8069.0,7899.187479828668,0.103674,0.019313875
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/si175.tsp,21455.0,21367.295814485078,0.265205916,0.073510917
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/st70.tsp,685.0,670.9999299990969,0.027229834,0.005609417
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,1274.0,1271.9897885923313,0.004583417,0.001592042
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/u159.tsp,43135.0,41924.99104797116,0.275933333,0.057707125
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ulysses16.tsp,6859.0,6858.999999996793,0.00208425,0.001197
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/national/wi29.tsp,27603.0,27602.99999994365,0.002155458,0.001253042
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,582.0,555.9483407419543,0.189415708,0.028007084
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10648.0,10599.68823369806,0.013817916,0.0076558749999999995
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.003692375,0.002697208
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.004562459,0.003493958
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.008801291,0.006243292
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,120414.0,117430.97806154632,0.16738,0.046457542
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.019863125,0.009432125
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1960.0,1949.2773311365436,0.204938542,0.035276208
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.00148325,0.001396
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6235.0,6074.859641716426,0.218877084,0.049491042
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6636.0,6488.697696628935,0.3252875,0.060841709
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15929.0,14536.148992869335,0.721509959,0.16884512499999998
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,699.0,696.9533830654316,0.010462083,0.005630625
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,6656.0,6655.999999980996,0.004665958,0.0036175
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,646.0,627.3444474025675,0.108242542,0.023217957999999997
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,427.0,422.49983691886655,0.017494208,0.003821208
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,548.0,536.9999543717072,0.037344084,0.008566625
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,937.0,936.999999998938,0.00371275,0.003130666
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,7035.0,6911.243700900038,0.1754965,0.048859166
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,70620.0,69118.35224426475,0.244836,0.06459775
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,2085.0,2084.999999998924,0.002619292,0.0021253749999999997
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,2707.0,2706.999999997682,0.001909667,0.001548417
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,1272.0,1271.9995357693901,0.003109875,0.002329583
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,5093.0,4958.999443382592,0.013301,0.006247792
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr96.tsp,55312.0,54569.49352066382,0.066603375,0.024149916
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/hk48.tsp,11470.0,11443.03742578926,0.010147334,0.004854458
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,21689.0,20936.495650387562,0.08804775,0.027473709
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA150.tsp,26786.0,26296.059282328926,0.3534245,0.082738792
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB100.tsp,22328.0,21833.996439724335,0.094328541,0.026317709
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB150.tsp,26359.0,25732.496018037127,0.293233125,0.102218167
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroC100.tsp,20965.0,20472.49694980305,0.076535,0.025207541
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroD100.tsp,21811.0,21141.49753159475,0.085280416,0.025457875
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroE100.tsp,22597.0,21798.395755460664,0.112573833,0.024452916999999998
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/lin105.tsp,14523.0,14370.499389782033,0.086771125,0.027858708
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr107.tsp,44303.0,39439.60351348245,0.122862417,0.020156666
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr124.tsp,59159.0,58067.492748859826,0.1148605,0.028806375
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr136.tsp,100530.0,95327.53319041648,0.259173667,0.055770293
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr144.tsp,58537.0,58050.96688109716,0.1434525,0.036503042
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr152.tsp,74442.0,68056.8919239027,0.332204167,0.063408333
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr76.tsp,109067.0,105119.98570260686,0.040411792,0.015786333
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/national/qa194.tsp,9682.0,9265.247785856105,0.682924917,0.230055791
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat195.tsp,2354.0,2293.7609553055195,0.578806375,0.108950208
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat99.tsp,1224.0,1205.9998415063767,0.075337292,0.015364417
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rd100.tsp,8069.0,7899.187479828668,0.116057875,0.029877625
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/si175.tsp,21451.0,21367.295814485078,0.285515917,0.087511958
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/st70.tsp,685.0,670.9999299990969,0.033704084,0.011750209000000001
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,1273.0,1271.9897885923313,0.0062785,0.003262583
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/u159.tsp,42738.0,41924.99104797116,0.273725875,0.066485708
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ulysses16.tsp,6859.0,6858.999999996793,0.0033385,0.002451499
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/national/wi29.tsp,27603.0,27602.99999994365,0.003697958,0.002822208
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,580.0,555.9483407419543,0.198878834,0.038704709
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10628.0,10599.725433047108,0.0077179999789223075,0.0077179999789223075
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10628.0,10599.725433047108,0.01759175001643598,0.008569249978922307
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.004860124900005758,0.004860124900005758
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.008295541978441179,0.005023916900005758
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.004365250002592802,0.004365250002592802
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.007851041969843209,0.004502125002592802
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.004970583948306739,0.004970583948306739
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.010657708975486457,0.006021667948306739
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,118282.0,117426.26026219816,0.03387516597285867,0.03387516597285867
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,118282.0,117426.26026219816,0.1464292500168085,0.05912991597285867
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.009901624987833202,0.009901624987833202
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.024080791976302862,0.011323165987833202
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1950.0,1949.6783331475706,0.06585791695397347,0.06585791695397347
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1950.0,1949.6783331475706,0.2577969169942662,0.08484879195397348
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.004333832999691367,0.004333832999691367
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.0066987499594688416,0.004361707999691367
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6110.0,6074.45119536792,0.04046170809306204,0.04046170809306204
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6110.0,6074.45119536792,0.1725850001676008,0.06824445809306204
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6528.0,6486.591891255397,0.06519316707272083,0.06519316707272083
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6528.0,6486.591891255397,0.2434291250538081,0.10231700007272082
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15780.0,14528.554124756021,0.3766956670442596,0.3766956670442596
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15780.0,14528.554124756021,1.0651816669851542,0.5106364590442596
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,699.0,696.9533830654316,0.0077556249452754855,0.0077556249452754855
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,699.0,696.9533830654316,0.015127458958886564,0.008247083945275485
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,6656.0,6655.999999980996,0.0037204580148682,0.0037204580148682
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,6656.0,6655.999999980996,0.007081998977810144,0.0040022920148682
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,629.0,627.3195944421121,0.018607125035487115,0.018607125035487115
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,629.0,627.3195944421121,0.07601754099596292,0.028742917035487113
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,426.0,422.2505560702479,0.009416457964107394,0.009416457964107394
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,426.0,422.2505560702479,0.019791040918789804,0.010340457964107394
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,538.0,536.9875166419341,0.013800333021208644,0.013800333021208644
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,538.0,536.9875166419341,0.03849995811469853,0.016866250021208645
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,937.0,936.999999998938,0.004114541923627257,0.004114541923627257
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,937.0,936.999999998938,0.006763041950762272,0.004204541923627257
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,6942.0,6909.710527208954,0.026009833090938628,0.026009833090938628
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,6942.0,6909.710527208954,0.11830033303704113,0.05145512509093863
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,69853.0,69097.74003207072,0.042431749985553324,0.042431749985553324
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,69853.0,69097.74003207072,0.27033516694791615,0.09255270798555332
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,2085.0,2084.999999998924,0.0035065000411123037,0.0035065000411123037
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,2085.0,2084.999999998924,0.006084333988837898,0.0035408340411123037
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,2707.0,2706.999999997682,0.002994125010445714,0.002994125010445714
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,2707.0,2706.999999997682,0.005409749923273921,0.003052958010445714
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,1272.0,1271.9995357693901,0.003983916947618127,0.003983916947618127
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,1272.0,1271.9995357693901,0.006825749995186925,0.004074125947618127
1,official-lkh,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,5046.0,4958.999427164474,0.010194624890573323,0.010194624890573323
1,lkh-provider,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,5046.0,4958.999427164474,0.020143166882917285,0.011007624890573322
