instance,repeats,off_median_seconds,on_median_seconds,speedup_off_over_on,time_change_percent,nodes_expanded,candidate_edges_before,candidate_edges_after,physical_edge_reduction_percent
eil101,10,0.034565458,0.034404271,1.0046850869184236,-0.4663239237275518,17,5050,177,96.49504950495049
gr96,10,0.1961819585,0.195892542,1.0014774248016036,-0.14752452377011505,453,4560,529,88.39912280701753
pr124,10,0.5548760829999999,0.556289729,0.9974587954328381,0.2547678740011605,750,7626,1196,84.31681091004458
kroC100,10,1.3832161250000001,1.3803308545,1.0020902745820641,-0.20859144481129022,3082,4950,625,87.37373737373737
u159,10,0.4518310005,0.451418896,1.0009129092814937,-0.09120766382650913,479,12561,490,96.0990367008996
