mode,repeat,instance,cost,root_lower_bound,instance_wall_seconds,nodes_created,nodes_expanded,root_fixing_active_after,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,potential_update_seconds,potential_update_rebuild_seconds,replacement_seconds,lkh_provider_seconds
on,5,kroC100,20749.0,20472.489999725905,1.371235125,9726,3082,623,1,4950,625,1.5541e-05,1.214861056000001,0.09414759400000011,0.01027681400000014,0.01899
off,5,u159,42080.0,41924.95999885369,0.450492833,1440,479,471,0,0,0,0.0,0.33666732499999985,0.020142656999999998,0.003022041999999996,0.029382
on,5,u159,42080.0,41924.95999885369,0.45034075,1440,479,471,1,12561,490,3.1209e-05,0.3366086590000004,0.020036879999999993,0.0029965259999999976,0.029467
on,6,u159,42080.0,41924.95999885369,0.449420875,1440,479,471,1,12561,490,3.0959e-05,0.3352369179999994,0.020097156999999997,0.002995675999999993,0.029773
off,6,u159,42080.0,41924.95999885369,0.455022417,1440,479,471,0,0,0,0.0,0.33816521899999996,0.020164671000000016,0.0030219679999999908,0.030785
on,6,kroC100,20749.0,20472.489999725905,1.3775295,9726,3082,623,1,4950,625,1.4e-05,1.2205238079999916,0.09445782900000013,0.010631750000000184,0.019108
off,6,kroC100,20749.0,20472.489999725905,1.383672791,9726,3082,623,0,0,0,0.0,1.2249814419999954,0.09522289900000004,0.010438237000000176,0.019448
on,6,pr124,59030.0,58060.599998730104,0.573812458,2156,750,1196,1,7626,1196,2.7375e-05,0.4672885370000001,0.044215207000000055,0.0021308179999999823,0.032976
off,6,pr124,59030.0,58060.599998730104,0.557108709,2156,750,1196,0,0,0,0.0,0.45192186300000087,0.04301467300000001,0.0021340369999999784,0.03285
on,6,gr96,55209.0,54569.47999942845,0.196347375,1267,453,528,1,4560,529,1.3708e-05,0.14346670000000006,0.01240004799999999,0.0012687230000000028,0.024075
off,6,gr96,55209.0,54569.47999942845,0.208201334,1267,453,528,0,0,0,0.0,0.15209754800000008,0.014662873,0.001395768000000005,0.024285
on,6,eil101,629.0,627.3099999934485,0.034425042,61,17,135,1,5050,177,1.3709e-05,0.004632956999999999,0.000114291,8.041800000000012e-05,0.016106
off,6,eil101,629.0,627.3099999934485,0.034561583,61,17,135,0,0,0,0.0,0.004460871999999999,0.000105292,8.311600000000013e-05,0.016481
off,7,eil101,629.0,627.3099999934485,0.035589333,61,17,135,0,0,0,0.0,0.004480625,0.000100166,8.762400000000008e-05,0.01702
on,7,eil101,629.0,627.3099999934485,0.034354042,61,17,135,1,5050,177,1.2333e-05,0.0044188340000000026,0.000106958,8.016900000000008e-05,0.01624
off,7,gr96,55209.0,54569.47999942845,0.197353833,1267,453,528,0,0,0,0.0,0.14375250600000009,0.012554045000000005,0.001366488000000005,0.02449
on,7,gr96,55209.0,54569.47999942845,0.195954792,1267,453,528,1,4560,529,1.1583e-05,0.14320938100000014,0.01225080099999999,0.0012622410000000036,0.024105
off,7,pr124,59030.0,58060.599998730104,0.556602458,2156,750,1196,0,0,0,0.0,0.45166011600000056,0.04302074900000001,0.002071936999999993,0.032762
on,7,pr124,59030.0,58060.599998730104,0.555745917,2156,750,1196,1,7626,1196,2.9833e-05,0.45036582400000047,0.04298912900000002,0.0022081359999999834,0.033037
off,7,kroC100,20749.0,20472.489999725905,1.389674084,9726,3082,623,0,0,0,0.0,1.2306061899999972,0.09497702600000023,0.010477243000000181,0.019831
on,7,kroC100,20749.0,20472.489999725905,1.384623542,9726,3082,623,1,4950,625,1.4583e-05,1.225579877000002,0.09530201600000002,0.01039273200000018,0.019629
off,7,u159,42080.0,41924.95999885369,0.450770292,1440,479,471,0,0,0,0.0,0.33734970299999995,0.01991606199999999,0.002969322999999997,0.029331
on,7,u159,42080.0,41924.95999885369,0.451406375,1440,479,471,1,12561,490,2.95e-05,0.336864989,0.020166784000000007,0.0030075689999999964,0.029913
on,8,u159,42080.0,41924.95999885369,0.451946,1440,479,471,1,12561,490,3.0291e-05,0.33720753800000053,0.020190801000000022,0.0030471500000000037,0.029976
off,8,u159,42080.0,41924.95999885369,0.452891709,1440,479,471,0,0,0,0.0,0.338219731,0.02005555499999999,0.0030384850000000087,0.030144
on,8,kroC100,20749.0,20472.489999725905,1.400917791,9726,3082,623,1,4950,625,1.4541e-05,1.2390280519999994,0.09810363000000011,0.010494675000000144,0.019425
off,8,kroC100,20749.0,20472.489999725905,1.3879495,9726,3082,623,0,0,0,0.0,1.2281741990000026,0.09577393999999996,0.010765679000000227,0.01965
on,8,pr124,59030.0,58060.599998730104,0.556833541,2156,750,1196,1,7626,1196,2.8542e-05,0.451141107,0.04306801499999997,0.002069961999999989,0.033284
off,8,pr124,59030.0,58060.599998730104,0.558901541,2156,750,1196,0,0,0,0.0,0.45295769300000044,0.043371169000000015,0.002123932999999983,0.03308
on,8,gr96,55209.0,54569.47999942845,0.196428917,1267,453,528,1,4560,529,1.3625e-05,0.1434520910000001,0.012401254999999998,0.0013058840000000037,0.024248
off,8,gr96,55209.0,54569.47999942845,0.19813325,1267,453,528,0,0,0,0.0,0.14474080100000022,0.01263703600000001,0.001307889000000004,0.024275
on,8,eil101,629.0,627.3099999934485,0.034638709,61,17,135,1,5050,177,1.2542e-05,0.004404368,9.820799999999999e-05,7.924300000000015e-05,0.016471
off,8,eil101,629.0,627.3099999934485,0.035721042,61,17,135,0,0,0,0.0,0.004384207,9.8791e-05,8.358200000000004e-05,0.017489
off,9,eil101,629.0,627.3099999934485,0.035301792,61,17,135,0,0,0,0.0,0.004551667,0.00010954199999999999,9.291800000000006e-05,0.016806
on,9,eil101,629.0,627.3099999934485,0.034473375,61,17,135,1,5050,177,1.1625e-05,0.004387879,0.000106124,8.120500000000013e-05,0.016215
off,9,gr96,55209.0,54569.47999942845,0.196742,1267,453,528,0,0,0,0.0,0.14360297999999996,0.012355037000000008,0.0012762090000000054,0.024423
on,9,gr96,55209.0,54569.47999942845,0.197103292,1267,453,528,1,4560,529,1.4125e-05,0.14361975600000002,0.012545284999999993,0.001320391000000003,0.02437
off,9,pr124,59030.0,58060.599998730104,0.559315541,2156,750,1196,0,0,0,0.0,0.45313531399999996,0.043446875999999954,0.0020725879999999902,0.033159
on,9,pr124,59030.0,58060.599998730104,0.559129833,2156,750,1196,1,7626,1196,2.5375e-05,0.4530410520000007,0.043322335999999996,0.0021207939999999897,0.033224
off,9,kroC100,20749.0,20472.489999725905,1.381565125,9726,3082,623,0,0,0,0.0,1.2239213860000036,0.09455200200000005,0.0101520280000002,0.019736
on,9,kroC100,20749.0,20472.489999725905,1.383132209,9726,3082,623,1,4950,625,1.45e-05,1.2256716879999991,0.09461670199999998,0.010385226000000128,0.019222
off,9,u159,42080.0,41924.95999885369,0.453547542,1440,479,471,0,0,0,0.0,0.33830365999999956,0.02038395900000001,0.0030344939999999952,0.030029
on,9,u159,42080.0,41924.95999885369,0.454238083,1440,479,471,1,12561,490,2.8917e-05,0.3390511350000003,0.02047476699999996,0.0030307719999999976,0.029814
on,10,u159,42080.0,41924.95999885369,0.45379525,1440,479,471,1,12561,490,2.8084e-05,0.33829795700000015,0.020417839000000014,0.002979342999999999,0.029884
off,10,u159,42080.0,41924.95999885369,0.453002666,1440,479,471,0,0,0,0.0,0.338190959,0.02027651200000001,0.0030112030000000035,0.029913
on,10,kroC100,20749.0,20472.489999725905,1.38512575,9726,3082,623,1,4950,625,1.55e-05,1.2270322169999985,0.095223191,0.010431450000000212,0.01913
off,10,kroC100,20749.0,20472.489999725905,1.384322541,9726,3082,623,0,0,0,0.0,1.2266231740000013,0.09498111100000008,0.010235504000000128,0.019251
on,10,pr124,59030.0,58060.599998730104,0.558828291,2156,750,1196,1,7626,1196,2.8666e-05,0.452932206,0.04314787100000001,0.002202757999999981,0.033193
off,10,pr124,59030.0,58060.599998730104,0.560299958,2156,750,1196,0,0,0,0.0,0.45343541500000073,0.043303840000000086,0.002097374999999984,0.033851
on,10,gr96,55209.0,54569.47999942845,0.196659542,1267,453,528,1,4560,529,1.3833e-05,0.14360085399999986,0.012464962,0.0012988940000000025,0.024293
off,10,gr96,55209.0,54569.47999942845,0.196695542,1267,453,528,0,0,0,0.0,0.1435806000000004,0.012375620999999986,0.0013448720000000017,0.024316
on,10,eil101,629.0,627.3099999934485,0.035841459,61,17,135,1,5050,177,1.1959e-05,0.004408623,0.000111374,8.324800000000004e-05,0.017389
off,10,eil101,629.0,627.3099999934485,0.034375041,61,17,135,0,0,0,0.0,0.004440586,0.00010570700000000001,8.817700000000009e-05,0.016081
