mode,repeat,instance,cost,root_lower_bound,instance_wall_seconds,nodes_created,nodes_expanded,root_fixing_active_after,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,potential_update_seconds,potential_update_rebuild_seconds,replacement_seconds,lkh_provider_seconds
off,1,eil101,629.0,627.3099999934485,0.034471625,61,17,135,0,0,0,0.0,0.004140630000000001,9.4666e-05,8.049700000000005e-05,0.01702
on,1,eil101,629.0,627.3099999934485,0.032978375,61,17,135,1,5050,177,1.2792e-05,0.004271170000000003,0.000138041,8.020800000000006e-05,0.015606
off,1,gr96,55209.0,54569.47999942845,0.184920333,1267,453,528,0,0,0,0.0,0.1332588299999999,0.011511879000000001,0.0011745430000000032,0.024082
on,1,gr96,55209.0,54569.47999942845,0.188867458,1267,453,528,1,4560,529,1.2125e-05,0.13707354499999996,0.011896538999999992,0.0012265280000000036,0.023864
off,1,pr124,59030.0,58060.599998730104,0.549628792,2156,750,1196,0,0,0,0.0,0.44580917999999975,0.04289868900000003,0.0021053759999999926,0.031626
on,1,pr124,59030.0,58060.599998730104,0.538565833,2156,750,1196,1,7626,1196,2.5208e-05,0.4352610809999998,0.04251127699999998,0.0021818289999999815,0.031902
off,1,kroC100,20749.0,20472.489999725905,1.326551375,9726,3082,623,0,0,0,0.0,1.1734557150000036,0.09124210899999997,0.009943697000000057,0.019324
on,1,kroC100,20749.0,20472.489999725905,1.333903209,9726,3082,623,1,4950,625,1.45e-05,1.182156873999996,0.09112138100000011,0.010025782000000103,0.018604
off,1,u159,42080.0,41924.95999885369,0.438886833,1440,479,471,0,0,0,0.0,0.3271204529999999,0.019319128,0.0028837599999999987,0.028909
on,1,u159,42080.0,41924.95999885369,0.451431417,1440,479,471,1,12561,490,3.0875e-05,0.32784454500000026,0.019481922999999988,0.0029784669999999985,0.040115
on,2,u159,42080.0,41924.95999885369,0.438759083,1440,479,471,1,12561,490,2.8333e-05,0.32704315000000017,0.019309288,0.0029130779999999934,0.028881
off,2,u159,42080.0,41924.95999885369,0.442607625,1440,479,471,0,0,0,0.0,0.3289409439999998,0.01960008600000001,0.0029512989999999906,0.029979
on,2,kroC100,20749.0,20472.489999725905,1.343572,9726,3082,623,1,4950,625,1.4334e-05,1.1902341690000016,0.09193852700000019,0.009928373000000124,0.019124
off,2,kroC100,20749.0,20472.489999725905,1.35305125,9726,3082,623,0,0,0,0.0,1.198676819999997,0.09235463800000003,0.01054682800000013,0.018867
on,2,pr124,59030.0,58060.599998730104,0.545363166,2156,750,1196,1,7626,1196,2.5791e-05,0.4421800770000006,0.042095212000000055,0.0020635959999999853,0.032387
off,2,pr124,59030.0,58060.599998730104,0.546109917,2156,750,1196,0,0,0,0.0,0.4428494299999999,0.04241105699999999,0.0020357679999999873,0.032177
on,2,gr96,55209.0,54569.47999942845,0.1926505,1267,453,528,1,4560,529,1.275e-05,0.14077072800000004,0.012030616999999993,0.0012991330000000033,0.023683
off,2,gr96,55209.0,54569.47999942845,0.192480167,1267,453,528,0,0,0,0.0,0.14033713199999992,0.012230680000000004,0.0012703989999999995,0.023791
on,2,eil101,629.0,627.3099999934485,0.034241833,61,17,135,1,5050,177,1.2708e-05,0.004350038999999998,0.00011608400000000001,7.887300000000014e-05,0.016303
off,2,eil101,629.0,627.3099999934485,0.033739166,61,17,135,0,0,0,0.0,0.004533957999999999,0.00010441700000000001,8.54470000000001e-05,0.015628
off,3,eil101,629.0,627.3099999934485,0.033533125,61,17,135,0,0,0,0.0,0.004179797,0.00010275,8.845200000000011e-05,0.01581
on,3,eil101,629.0,627.3099999934485,0.034017,61,17,135,1,5050,177,1.275e-05,0.00429571,0.000102083,8.04570000000001e-05,0.015997
off,3,gr96,55209.0,54569.47999942845,0.194946708,1267,453,528,0,0,0,0.0,0.14189233300000004,0.012441213999999997,0.0012977280000000034,0.024058
on,3,gr96,55209.0,54569.47999942845,0.194404084,1267,453,528,1,4560,529,1.1709e-05,0.14228188000000017,0.012132916,0.001296131000000006,0.023708
off,3,pr124,59030.0,58060.599998730104,0.549495292,2156,750,1196,0,0,0,0.0,0.44441942200000006,0.04258393699999998,0.0020291769999999897,0.033288
on,3,pr124,59030.0,58060.599998730104,0.582611666,2156,750,1196,1,7626,1196,2.5666e-05,0.46878787800000077,0.04657911399999999,0.002178237999999985,0.032205
off,3,kroC100,20749.0,20472.489999725905,1.43209,9726,3082,623,0,0,0,0.0,1.2651969489999968,0.09992636599999989,0.011260447000000125,0.019956
on,3,kroC100,20749.0,20472.489999725905,1.430524542,9726,3082,623,1,4950,625,1.4375e-05,1.2637025000000024,0.09978245799999995,0.01071708200000016,0.020177
off,3,u159,42080.0,41924.95999885369,0.454329416,1440,479,471,0,0,0,0.0,0.3394237489999994,0.02049007299999998,0.003060543000000001,0.029711
on,3,u159,42080.0,41924.95999885369,0.452386875,1440,479,471,1,12561,490,3.1375e-05,0.33838671199999965,0.020651543,0.002999229000000004,0.02888
on,4,u159,42080.0,41924.95999885369,0.447935458,1440,479,471,1,12561,490,2.9708e-05,0.33397571199999976,0.019991474000000002,0.0029570319999999914,0.029889
off,4,u159,42080.0,41924.95999885369,0.448944083,1440,479,471,0,0,0,0.0,0.3342834380000003,0.01993817199999999,0.002962567999999995,0.029957
on,4,kroC100,20749.0,20472.489999725905,1.374173792,9726,3082,623,1,4950,625,1.5542e-05,1.2166078750000022,0.09457923499999996,0.010547216000000163,0.019017
off,4,kroC100,20749.0,20472.489999725905,1.369352833,9726,3082,623,0,0,0,0.0,1.212871384999998,0.09421346200000005,0.010547753000000099,0.018998
on,4,pr124,59030.0,58060.599998730104,0.550474459,2156,750,1196,1,7626,1196,2.5083e-05,0.44594460199999963,0.04269051799999997,0.001999872999999993,0.032716
off,4,pr124,59030.0,58060.599998730104,0.553149708,2156,750,1196,0,0,0,0.0,0.44766099599999964,0.04313762400000004,0.002177826999999978,0.033041
on,4,gr96,55209.0,54569.47999942845,0.194329416,1267,453,528,1,4560,529,1.4083e-05,0.14172832999999974,0.012255078999999997,0.0012562860000000036,0.024097
off,4,gr96,55209.0,54569.47999942845,0.195165417,1267,453,528,0,0,0,0.0,0.14244955099999995,0.012359837999999998,0.0013023490000000047,0.024059
on,4,eil101,629.0,627.3099999934485,0.034666875,61,17,135,1,5050,177,1.3875e-05,0.004474042,0.000100375,8.512200000000004e-05,0.016326
off,4,eil101,629.0,627.3099999934485,0.034569333,61,17,135,0,0,0,0.0,0.0042815399999999995,9.979000000000002e-05,8.68760000000001e-05,0.016431
off,5,eil101,629.0,627.3099999934485,0.034782583,61,17,135,0,0,0,0.0,0.004474459,0.000110167,9.195500000000004e-05,0.016131
on,5,eil101,629.0,627.3099999934485,0.0343835,61,17,135,1,5050,177,1.3792e-05,0.004427371999999998,0.000129207,8.724200000000007e-05,0.016182
off,5,gr96,55209.0,54569.47999942845,0.195668375,1267,453,528,0,0,0,0.0,0.142730233,0.012398115999999992,0.0012490000000000049,0.024302
on,5,gr96,55209.0,54569.47999942845,0.195830292,1267,453,528,1,4560,529,1.1916e-05,0.14266609700000002,0.012508407000000001,0.001250409000000005,0.024433
off,5,pr124,59030.0,58060.599998730104,0.552190666,2156,750,1196,0,0,0,0.0,0.4476546509999998,0.042645009,0.002032027999999994,0.032771
on,5,pr124,59030.0,58060.599998730104,0.554148667,2156,750,1196,1,7626,1196,2.8291e-05,0.44912317799999973,0.042511917999999996,0.0021858169999999758,0.033144
off,5,kroC100,20749.0,20472.489999725905,1.382759459,9726,3082,623,0,0,0,0.0,1.2242679229999982,0.09525179200000014,0.010556816000000092,0.019463
