run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.04688269644975662,10628.0,29,9,20,1,100,26,26,0,0,0,0,0,0,0,0,0,0,332
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.028715701773762703,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,7
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.008283501490950584,2020.0,10,3,5,3,100,7,7,0,0,0,0,0,0,0,0,0,0,82
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.029835356399416924,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.08554812893271446,25395.0,88,26,62,0,120,82,82,0,0,0,0,0,0,0,0,0,0,1173
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.025389550253748894,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B2-a93212dde1ce,B2,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.015975646674633026,699.0,3,1,2,0,100,2,2,0,0,0,0,0,0,0,0,0,0,18
