instance,threshold,repeat,cost,root_lower_bound,seconds,created,expanded,triggered,skipped_change,potential_iterations,potential_seconds,rebuild_seconds,lkh_calls,lkh_failures
u159,0.0005,2,42080.0,41924.95999885369,0.475484666,10415,4917,4088,4787,19892,0.35737031699999966,0.005299297999999998,1,0
kroC100,0.0005,2,20749.0,20472.489999725905,0.732656666,33056,15657,12765,15263,61948,0.6359659520000005,0.012566621999999996,1,0
pr124,0.0005,2,59030.0,58060.599998730104,0.467021125,8201,3886,3569,3497,26004,0.3752283569999998,0.02178367600000001,1,0
gr96,0.0005,2,55209.0,54569.47999942845,0.220615458,10890,5358,3762,5153,22335,0.16284211899999984,0.005605663000000005,1,0
eil101,0.0005,2,629.0,627.3099999934485,0.045062625,2024,1226,490,1225,2052,0.013454675000000001,0.0,1,0
u159,0.0,2,42080.0,41924.95999885369,0.442110208,1440,479,1340,0,21919,0.3279207039999998,0.019681582999999996,1,0
kroC100,0.0,2,20749.0,20472.489999725905,1.357474833,9726,3082,9167,0,142190,1.2033485269999986,0.09254841300000011,1,0
pr124,0.0,2,59030.0,58060.599998730104,0.551450041,2156,750,2005,0,33037,0.4470658420000004,0.04262316900000006,1,0
gr96,0.0,2,55209.0,54569.47999942845,0.193612625,1267,453,1198,0,20034,0.14132274900000005,0.012260126000000012,1,0
eil101,0.0,2,629.0,627.3099999934485,0.033882167,61,17,52,0,899,0.004343083000000001,0.000104,1,0
eil101,0.00025,3,629.0,627.3099999934485,0.046700875,1936,1086,546,1085,2340,0.015458238,0.0,1,0
gr96,0.00025,3,55209.0,54569.47999942845,0.265393917,10735,5199,4026,4869,28648,0.2032094380000002,0.008833411000000003,1,0
pr124,0.00025,3,59030.0,58060.599998730104,0.443056292,6216,2939,2889,2525,24571,0.3526063160000003,0.023112330999999993,1,0
kroC100,0.00025,3,20749.0,20472.489999725905,0.643318958,20428,9338,9017,8814,55718,0.5603237110000011,0.016527726000000003,1,0
u159,0.00025,3,42080.0,41924.95999885369,0.417815958,7625,3484,3374,3356,17115,0.3042563629999995,0.0051601309999999975,1,0
eil101,0.0005,3,629.0,627.3099999934485,0.045187084,2024,1226,490,1225,2052,0.013459257000000006,0.0,1,0
gr96,0.0005,3,55209.0,54569.47999942845,0.222540333,10890,5358,3762,5153,22335,0.1639791029999996,0.005679420999999999,1,0
