threshold,median_five_instance_seconds,geomean_instance_seconds,median_total_expanded,median_total_triggered,median_total_skipped_change,median_total_potential_seconds,speedup_vs_zero,time_change_percent
0.0,2.593636084,0.29553890857706644,4781,13762,0,2.137393773000002,1.0,0.0
0.0001,1.855369959,0.2587221032940751,14809,16557,12885,1.4741240429999976,1.3979077711260928,-28.464522434520546
0.00025,1.816286,0.2715310091708674,22046,19852,20649,1.435854066000001,1.4279888101323248,-29.971440048795984
0.0005,1.953364667,0.27807258904328913,31044,24674,29925,1.5525462019999963,1.3277787439369098,-24.686247270763985
