run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/pr76.tsp,ok,254.22722419537604,108159.0,997402,280585,718496,76,1,2774,1664,76,1,1185,0.000403317,400,926714,870101,0,0,0,0,0,0,0,0,0,56613,11177968
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/national/qa194.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/rat195.tsp,ok,673.4152728933841,2323.0,248294,87634,162026,5,1,18720,12300,195,0,6615,0.001975287,400,236142,236133,0,0,0,0,0,0,0,0,0,9,4220716
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/rat99.tsp,ok,0.26418192870914936,1211.0,227,71,157,0,1,4752,4317,99,1,533,0.000567191,400,162,162,0,0,0,0,0,0,0,0,0,0,2668
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/rd100.tsp,ok,0.34872909262776375,7910.0,229,68,162,0,1,4850,4035,100,0,915,0.000544161,400,149,147,0,0,0,0,0,2,0,0,0,0,2827
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/si175.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/st70.tsp,ok,0.254993436858058,675.0,595,176,424,0,1,2345,2034,70,4,377,0.000330259,400,519,519,0,0,0,0,0,0,0,0,0,0,8452
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/swiss42.tsp,ok,0.04141298308968544,1273.0,5,2,1,4,1,819,812,42,35,14,0.000115893,100,2,2,0,0,0,0,0,0,0,0,0,0,33
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/u159.tsp,ok,6.025385499000549,42080.0,5293,1735,3577,0,1,12402,10592,159,0,1969,0.001350959,400,4796,4796,0,0,0,0,0,0,0,0,0,0,76768
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/ulysses16.tsp,ok,0.04239116236567497,6859.0,1,0,1,0,0,0,0,0,0,0,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/national/wi29.tsp,ok,0.032474350184202194,27603.0,1,0,1,0,0,0,0,0,0,0,0.0,85,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
