instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,B0:status,B0:successful_repeats,B0:result,B3:status,B3:successful_repeats,B3:result,result_match,B0:matches_reference,B3:matches_reference,B0:wall_vs_Concorde_symmetric_change,B3:wall_vs_Concorde_symmetric_change,B0:wall_seconds,B3:wall_seconds,symmetric_change:wall_seconds,B0:branches,B3:branches,symmetric_change:branches,B0:nodes_expanded,B3:nodes_expanded,B0:pruned_by_bound,B3:pruned_by_bound,B0:pruned_infeasible,B3:pruned_infeasible,B0:root_potential_iterations,B3:root_potential_iterations,B0:search_node_potential_update_candidates,B3:search_node_potential_update_candidates,B0:search_node_potential_updates_triggered,B3:search_node_potential_updates_triggered,B0:search_node_potential_updates_skipped_total,B3:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,B0:search_node_potential_iterations,B3:search_node_potential_iterations,B0:search_node_potential_updates_skipped_budget_exhausted,B3:search_node_potential_updates_skipped_budget_exhausted,B0:search_node_potential_updates_skipped_depth_interval,B3:search_node_potential_updates_skipped_depth_interval,B0:search_node_potential_updates_skipped_gap_above_maximum,B3:search_node_potential_updates_skipped_gap_above_maximum,B0:search_node_potential_updates_skipped_gap_below_minimum,B3:search_node_potential_updates_skipped_gap_below_minimum,B0:search_node_potential_updates_skipped_invalid_state,B3:search_node_potential_updates_skipped_invalid_state,B0:search_node_potential_updates_skipped_numerically_unsafe,B3:search_node_potential_updates_skipped_numerically_unsafe,B0:search_node_potential_updates_skipped_strategy_none,B3:search_node_potential_updates_skipped_strategy_none,B0:search_node_potential_updates_skipped_update_depth_zero,B3:search_node_potential_updates_skipped_update_depth_zero,B0:search_node_potential_updates_skipped_zero_iteration_limit,B3:search_node_potential_updates_skipped_zero_iteration_limit,B0:search_node_potential_updates_skipped_zero_violation,B3:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09759184531867504,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.5779937965842934,-2.0452869569462866,0.037855733186006546,0.0320468470454216,-0.18126232925041652,36.0,25.0,-0.43999999999999995,14.0,9.0,23.0,16.0,0.0,0.0,100.0,100.0,30.0,22.0,30.0,22.0,0.0,0.0,0.0,293.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.04106423445045948,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-4.137995430239842,-0.34325574656301727,0.007992267608642578,0.030570674687623978,2.825031415935803,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04135925695300102,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.321083919033466,-0.457346622291962,0.017818940803408623,0.028379835188388824,0.5926780105223755,9.0,8.0,-0.125,3.0,2.0,5.0,5.0,1.0,1.0,100.0,100.0,7.0,5.0,7.0,5.0,0.0,0.0,0.0,51.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.07185870036482811,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7499369341762447,-1.486526625096559,0.02613103576004505,0.02889922820031643,0.10593504466072501,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.10223846696317196,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5656392125215861,-0.473425234315453,0.06530142202973366,0.06938829645514488,0.06258476918849265,125.0,40.0,-2.125,38.0,12.0,88.0,28.0,0.0,0.0,120.0,120.0,107.0,36.0,107.0,36.0,0.0,0.0,0.0,909.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.029878849163651466,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.8861233627022698,-4.380327178239457,0.0158414077013731,0.0055533517152071,-1.8525849817856046,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.045007988810539246,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.7545795128926764,-0.9356934444156677,0.01633933186531067,0.0232516098767519,0.42304532819462404,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.030624812468886375,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.8638842613591629,-0.43843726799322713,0.010693453252315521,0.021290335804224014,0.9909691754264585,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07866623997688293,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.8561380346878185,11.735471478454508,0.3820141199976206,1.0018516555428505,1.62255137466932,669.0,698.0,0.0433482810164425,145.0,154.0,528.0,555.0,0.0,0.0,400.0,400.0,333.0,384.0,306.0,356.0,27.0,28.0,0.03703703703703698,3068.0,9368.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
eil51.tsp,ok,0.05912731774151325,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6404209120054138,1.6124300992035057,0.09699368849396706,0.15446598455309868,0.5925364521291132,434.0,327.0,-0.3272171253822631,150.0,115.0,291.0,214.0,56.0,14.0,400.0,400.0,407.0,298.0,407.0,298.0,0.0,0.0,0.0,3861.0,8583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
