instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,D0:status,D0:successful_repeats,D0:result,D1:status,D1:successful_repeats,D1:result,result_match,D0:matches_reference,D1:matches_reference,D0:wall_vs_Concorde_symmetric_change,D1:wall_vs_Concorde_symmetric_change,D0:wall_seconds,D1:wall_seconds,symmetric_change:wall_seconds,D0:branches,D1:branches,symmetric_change:branches,D0:nodes_expanded,D1:nodes_expanded,D0:pruned_by_bound,D1:pruned_by_bound,D0:pruned_infeasible,D1:pruned_infeasible,D0:root_potential_iterations,D1:root_potential_iterations,D0:search_node_potential_update_candidates,D1:search_node_potential_update_candidates,D0:search_node_potential_updates_triggered,D1:search_node_potential_updates_triggered,D0:search_node_potential_updates_skipped_total,D1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,D0:search_node_potential_iterations,D1:search_node_potential_iterations,D0:search_node_potential_updates_skipped_budget_exhausted,D1:search_node_potential_updates_skipped_budget_exhausted,D0:search_node_potential_updates_skipped_depth_interval,D1:search_node_potential_updates_skipped_depth_interval,D0:search_node_potential_updates_skipped_gap_above_maximum,D1:search_node_potential_updates_skipped_gap_above_maximum,D0:search_node_potential_updates_skipped_gap_below_minimum,D1:search_node_potential_updates_skipped_gap_below_minimum,D0:search_node_potential_updates_skipped_invalid_state,D1:search_node_potential_updates_skipped_invalid_state,D0:search_node_potential_updates_skipped_numerically_unsafe,D1:search_node_potential_updates_skipped_numerically_unsafe,D0:search_node_potential_updates_skipped_strategy_none,D1:search_node_potential_updates_skipped_strategy_none,D0:search_node_potential_updates_skipped_update_depth_zero,D1:search_node_potential_updates_skipped_update_depth_zero,D0:search_node_potential_updates_skipped_zero_iteration_limit,D1:search_node_potential_updates_skipped_zero_iteration_limit,D0:search_node_potential_updates_skipped_zero_violation,D1:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.04187852516770363,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,4.134423090283383,4.726833558077302,0.21502206660807133,0.23983134329319,0.1153801424964418,461.0,707.0,0.5336225596529285,132.0,248.0,336.0,487.0,0.0,0.0,364.0,364.0,331.0,532.0,322.0,365.0,9.0,167.0,17.555555555555557,3304.0,2676.0,0.0,0.0,0.0,157.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
fri26.tsp,ok,0.016186095774173737,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.744174839601838,0.23705477336532166,0.005898347124457359,0.020023087039589882,2.3946945842784695,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.3346030153334141,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,1248.0737829903019,1239.9990304479395,417.9438541624695,415.2420176137239,-0.00650665499669878,23750078.0,24087201.0,0.01419460601350453,16007392.0,16259898.0,14081415.0,14272155.0,48.0,48.0,800.0,800.0,16011038.0,16264535.0,6000.0,6000.0,16005038.0,16258535.0,0.01583857532859345,56894.0,42433.0,16005035.0,16255375.0,0.0,3158.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr17.tsp,ok,0.01802641712129116,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-2.4680407398594704,0.2051799886731145,0.005197867751121521,0.02172507718205452,3.179613299581736,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008104927837848663,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.017724358237767968,1.4844582078918944,0.008248582482337952,0.020136354491114616,1.441189687347011,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.026480553671717644,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.1405861955259904,-0.07663426963084219,0.012370701879262924,0.024595681577920914,0.9882203789221362,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09196688421070576,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3883003207434954,4.173729616058704,0.3116114232689142,0.47581179253757,0.526939505446032,76141.0,79114.0,0.03904598048357655,54505.0,56703.0,45142.0,46855.0,140.0,138.0,334.0,334.0,55153.0,57499.0,1000.0,1000.0,54153.0,56499.0,0.04332169962882948,9070.0,6491.0,54146.0,56015.0,0.0,477.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.21136926300823689,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,36.455557860554286,20.656596336652328,7.916953660547733,4.5775388069450855,-0.7295219100133146,1624631.0,553254.0,-1.9365011369099907,1101782.0,387439.0,956926.0,326178.0,3146.0,919.0,319.0,684.0,1104802.0,392097.0,5000.0,6000.0,1099802.0,386097.0,-1.848512161451656,47689.0,43186.0,1099801.0,383017.0,0.0,3080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hk48.tsp,ok,0.03367764689028263,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-1.014618353395894,-0.4479744869516875,0.016716638579964638,0.023258453235030174,0.3913355321868408,21.0,16.0,-0.3125,9.0,7.0,12.0,9.0,2.0,1.0,100.0,100.0,15.0,13.0,15.0,9.0,0.0,4.0,,139.0,48.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.1163388155400753,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,6891.159042360095,8226.76424384883,801.8256195019931,957.2083466723561,0.19378618416666438,157366475.0,172105550.0,0.09366083214356813,119861627.0,131023964.0,94173614.0,103018029.0,6178.0,6466.0,649.0,649.0,119866245.0,131029240.0,6000.0,6000.0,119860245.0,131023240.0,0.09313342384708134,44110.0,32993.0,119859660.0,131020880.0,0.0,1920.0,584.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
