instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,B0:status,B0:successful_repeats,B0:result,D0:status,D0:successful_repeats,D0:result,result_match,B0:matches_reference,D0:matches_reference,B0:wall_vs_Concorde_symmetric_change,D0:wall_vs_Concorde_symmetric_change,B0:wall_seconds,D0:wall_seconds,symmetric_change:wall_seconds,B0:branches,D0:branches,symmetric_change:branches,B0:nodes_expanded,D0:nodes_expanded,B0:pruned_by_bound,D0:pruned_by_bound,B0:pruned_infeasible,D0:pruned_infeasible,B0:root_potential_iterations,D0:root_potential_iterations,B0:search_node_potential_update_candidates,D0:search_node_potential_update_candidates,B0:search_node_potential_updates_triggered,D0:search_node_potential_updates_triggered,B0:search_node_potential_updates_skipped_total,D0:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,B0:search_node_potential_iterations,D0:search_node_potential_iterations,B0:search_node_potential_updates_skipped_budget_exhausted,D0:search_node_potential_updates_skipped_budget_exhausted,B0:search_node_potential_updates_skipped_depth_interval,D0:search_node_potential_updates_skipped_depth_interval,B0:search_node_potential_updates_skipped_gap_above_maximum,D0:search_node_potential_updates_skipped_gap_above_maximum,B0:search_node_potential_updates_skipped_gap_below_minimum,D0:search_node_potential_updates_skipped_gap_below_minimum,B0:search_node_potential_updates_skipped_invalid_state,D0:search_node_potential_updates_skipped_invalid_state,B0:search_node_potential_updates_skipped_numerically_unsafe,D0:search_node_potential_updates_skipped_numerically_unsafe,B0:search_node_potential_updates_skipped_strategy_none,D0:search_node_potential_updates_skipped_strategy_none,B0:search_node_potential_updates_skipped_update_depth_zero,D0:search_node_potential_updates_skipped_update_depth_zero,B0:search_node_potential_updates_skipped_zero_iteration_limit,D0:search_node_potential_updates_skipped_zero_iteration_limit,B0:search_node_potential_updates_skipped_zero_violation,D0:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09759184531867504,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.5779937965842934,-0.9498376860258146,0.037855733186006546,0.05005126632750034,0.32215815452761865,36.0,36.0,0.0,14.0,14.0,23.0,23.0,0.0,0.0,100.0,100.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,293.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.04106423445045948,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-4.137995430239842,-1.0949624699396994,0.007992267608642578,0.01960141770541668,1.4525477205268182,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04135925695300102,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.321083919033466,-0.9613381657092983,0.017818940803408623,0.021087264642119408,0.18341852497122502,9.0,9.0,0.0,3.0,3.0,5.0,5.0,1.0,1.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.07185870036482811,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7499369341762447,-1.4412890391702557,0.02613103576004505,0.02943473681807518,0.12642824755846704,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.10223846696317196,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5656392125215861,-0.44829165448188046,0.06530142202973366,0.07059245742857456,0.08102481131929617,125.0,125.0,0.0,38.0,38.0,88.0,88.0,0.0,0.0,120.0,120.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,909.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.029878849163651466,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.8861233627022698,-2.409361848463266,0.0158414077013731,0.008763765916228294,-0.8076027877511869,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.045007988810539246,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.7545795128926764,-1.1151572256355151,0.01633933186531067,0.02127879112958908,0.30230484973288085,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.030624812468886375,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.8638842613591629,-1.6134290714931856,0.010693453252315521,0.011718248948454857,0.09583393427351727,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07866623997688293,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.8561380346878185,5.198063552029265,0.3820141199976206,0.4875783547759056,0.2763359500401257,669.0,669.0,0.0,145.0,145.0,528.0,528.0,0.0,0.0,400.0,400.0,333.0,333.0,306.0,306.0,27.0,27.0,0.0,3068.0,3068.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05912731774151325,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6404209120054138,0.5005911874836917,0.09699368849396706,0.08872593194246292,-0.09318309056325957,434.0,434.0,0.0,150.0,150.0,291.0,291.0,56.0,56.0,400.0,400.0,407.0,407.0,407.0,407.0,0.0,0.0,0.0,3861.0,3861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
