instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,B0:status,B0:successful_repeats,B0:result,B1:status,B1:successful_repeats,B1:result,result_match,B0:matches_reference,B1:matches_reference,B0:wall_vs_Concorde_symmetric_change,B1:wall_vs_Concorde_symmetric_change,B0:wall_seconds,B1:wall_seconds,symmetric_change:wall_seconds,B0:branches,B1:branches,symmetric_change:branches,B0:nodes_expanded,B1:nodes_expanded,B0:pruned_by_bound,B1:pruned_by_bound,B0:pruned_infeasible,B1:pruned_infeasible,B0:root_potential_iterations,B1:root_potential_iterations,B0:search_node_potential_update_candidates,B1:search_node_potential_update_candidates,B0:search_node_potential_updates_triggered,B1:search_node_potential_updates_triggered,B0:search_node_potential_updates_skipped_total,B1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,B0:search_node_potential_iterations,B1:search_node_potential_iterations,B0:search_node_potential_updates_skipped_budget_exhausted,B1:search_node_potential_updates_skipped_budget_exhausted,B0:search_node_potential_updates_skipped_depth_interval,B1:search_node_potential_updates_skipped_depth_interval,B0:search_node_potential_updates_skipped_gap_above_maximum,B1:search_node_potential_updates_skipped_gap_above_maximum,B0:search_node_potential_updates_skipped_gap_below_minimum,B1:search_node_potential_updates_skipped_gap_below_minimum,B0:search_node_potential_updates_skipped_invalid_state,B1:search_node_potential_updates_skipped_invalid_state,B0:search_node_potential_updates_skipped_numerically_unsafe,B1:search_node_potential_updates_skipped_numerically_unsafe,B0:search_node_potential_updates_skipped_strategy_none,B1:search_node_potential_updates_skipped_strategy_none,B0:search_node_potential_updates_skipped_update_depth_zero,B1:search_node_potential_updates_skipped_update_depth_zero,B0:search_node_potential_updates_skipped_zero_iteration_limit,B1:search_node_potential_updates_skipped_zero_iteration_limit,B0:search_node_potential_updates_skipped_zero_violation,B1:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.04187852516770363,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,4.044372945647542,8.87107862249427,0.21125089935958385,0.4133862145245075,0.9568494892930894,461.0,921.0,0.9978308026030369,132.0,313.0,336.0,628.0,0.0,0.0,364.0,364.0,331.0,728.0,322.0,718.0,9.0,10.0,0.11111111111111116,3304.0,4235.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.016186095774173737,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.172299403357693,-0.3282897160404945,0.013807134702801704,0.012185666710138321,-0.1330635435248153,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.17271244525909424,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,47.22707368753266,112.42381670269606,8.329415824264288,19.589704733341932,1.3518701847343815,154825.0,173879.0,0.12306797997739394,102613.0,108749.0,92654.0,105162.0,0.0,0.0,800.0,800.0,107790.0,124960.0,7945.0,25159.0,99845.0,99801.0,-0.0004408773459183557,73685.0,134623.0,99724.0,99689.0,0.0,0.0,119.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0
gr137.tsp,ok,0.3346030153334141,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,2471.233115889007,1646.7654146887096,827.2166551835835,551.3472763169557,-0.50035502253581,51710562.0,19752059.0,-1.6179833707463107,35089684.0,13305539.0,30998003.0,11708066.0,104.0,48.0,800.0,800.0,35152332.0,13366614.0,101000.0,101000.0,35051332.0,13265614.0,-1.6422698564876077,966821.0,549732.0,35051329.0,13265611.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr17.tsp,ok,0.01802641712129116,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.973651430704003,-0.11690384388785136,0.009133536368608475,0.01613963209092617,0.7670737203606381,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008104927837848663,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-1.3583323171144803,0.785304391790959,0.003436719998717308,0.01446976326406002,3.2103410430470305,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.026480553671717644,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.245587806260732,-0.5269952702437808,0.0117922592908144,0.017341608181595802,0.4705925093679102,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09196688421070576,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3391613397605577,5.97214107852975,0.30709226429462433,0.6412060912698507,1.0879916748885528,76141.0,105360.0,0.3837485717287663,54505.0,74949.0,45142.0,62200.0,140.0,226.0,334.0,334.0,55153.0,75537.0,1000.0,1000.0,54153.0,74537.0,0.37641497239303456,9070.0,5558.0,54146.0,74530.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.21136926300823689,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,30.436403744094594,61.78749174212248,6.644689491018653,13.271345855668187,0.9972860844147053,165701.0,171443.0,0.034652778196872625,104609.0,108189.0,101272.0,103724.0,36.0,40.0,319.0,684.0,112310.0,120123.0,12710.0,20536.0,99600.0,99587.0,-0.0001305391265928879,121302.0,117077.0,99599.0,99585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
hk48.tsp,ok,0.03367764689028263,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.06277312822121273,0.15146846481265586,0.03168846294283867,0.038778748363256454,0.22374974239702383,21.0,20.0,-0.050000000000000044,9.0,7.0,12.0,13.0,2.0,1.0,100.0,100.0,15.0,13.0,15.0,13.0,0.0,0.0,0.0,139.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
