instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,B0:status,B0:successful_repeats,B0:result,B2:status,B2:successful_repeats,B2:result,result_match,B0:matches_reference,B2:matches_reference,B0:wall_vs_Concorde_symmetric_change,B2:wall_vs_Concorde_symmetric_change,B0:wall_seconds,B2:wall_seconds,symmetric_change:wall_seconds,B0:branches,B2:branches,symmetric_change:branches,B0:nodes_expanded,B2:nodes_expanded,B0:pruned_by_bound,B2:pruned_by_bound,B0:pruned_infeasible,B2:pruned_infeasible,B0:root_potential_iterations,B2:root_potential_iterations,B0:search_node_potential_update_candidates,B2:search_node_potential_update_candidates,B0:search_node_potential_updates_triggered,B2:search_node_potential_updates_triggered,B0:search_node_potential_updates_skipped_total,B2:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,B0:search_node_potential_iterations,B2:search_node_potential_iterations,B0:search_node_potential_updates_skipped_budget_exhausted,B2:search_node_potential_updates_skipped_budget_exhausted,B0:search_node_potential_updates_skipped_depth_interval,B2:search_node_potential_updates_skipped_depth_interval,B0:search_node_potential_updates_skipped_gap_above_maximum,B2:search_node_potential_updates_skipped_gap_above_maximum,B0:search_node_potential_updates_skipped_gap_below_minimum,B2:search_node_potential_updates_skipped_gap_below_minimum,B0:search_node_potential_updates_skipped_invalid_state,B2:search_node_potential_updates_skipped_invalid_state,B0:search_node_potential_updates_skipped_numerically_unsafe,B2:search_node_potential_updates_skipped_numerically_unsafe,B0:search_node_potential_updates_skipped_strategy_none,B2:search_node_potential_updates_skipped_strategy_none,B0:search_node_potential_updates_skipped_update_depth_zero,B2:search_node_potential_updates_skipped_update_depth_zero,B0:search_node_potential_updates_skipped_zero_iteration_limit,B2:search_node_potential_updates_skipped_zero_iteration_limit,B0:search_node_potential_updates_skipped_zero_violation,B2:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09759184531867504,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.5779937965842934,-1.0816175840752362,0.037855733186006546,0.04688269644975662,0.23845696553796802,36.0,29.0,-0.24137931034482762,14.0,9.0,23.0,20.0,0.0,1.0,100.0,100.0,30.0,26.0,30.0,26.0,0.0,0.0,0.0,293.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.04106423445045948,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-4.137995430239842,-0.4300271946680938,0.007992267608642578,0.028715701773762703,2.5929354696169677,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04135925695300102,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.321083919033466,-3.992967889024281,0.017818940803408623,0.008283501490950584,-1.1511363066542755,9.0,10.0,0.11111111111111116,3.0,3.0,5.0,5.0,1.0,3.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,51.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.07185870036482811,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7499369341762447,-1.4085081941984932,0.02613103576004505,0.029835356399416924,0.14175942635369476,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.10223846696317196,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5656392125215861,-0.1950988085734151,0.06530142202973366,0.08554812893271446,0.31005001535436527,125.0,88.0,-0.4204545454545454,38.0,26.0,88.0,62.0,0.0,0.0,120.0,120.0,107.0,82.0,107.0,82.0,0.0,0.0,0.0,909.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.029878849163651466,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.8861233627022698,-0.17681679529710093,0.0158414077013731,0.025389550253748894,0.6027332123740607,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.045007988810539246,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.7545795128926764,-1.817287445522021,0.01633933186531067,0.015975646674633026,-0.022764974594432053,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.030624812468886375,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.8638842613591629,-1.1052465054198515,0.010693453252315521,0.014546900987625122,0.36035578445860694,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07866623997688293,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.8561380346878185,7.662459236263359,0.3820141199976206,0.6814430970698595,0.7838165172379072,669.0,695.0,0.038863976083707064,145.0,154.0,528.0,548.0,0.0,0.0,400.0,400.0,333.0,379.0,306.0,352.0,27.0,27.0,0.0,3068.0,5416.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05912731774151325,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6404209120054138,0.6677304880644646,0.09699368849396706,0.09860843047499657,0.016647907777318283,434.0,429.0,-0.011655011655011593,150.0,135.0,291.0,298.0,56.0,51.0,400.0,400.0,407.0,411.0,407.0,411.0,0.0,0.0,0.0,3861.0,6174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
