rank,kind,function,file,calls,self_ir,self_pct_total,self_est_sec,inclusive_ir,inclusive_pct_total,inclusive_est_sec
23,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int)::{lambda(tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int)::LevelChanges const&)#1}::operator()(tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int)::LevelChanges const&) const",solver/tsp_bb_26_07_08/tsp_bb,0,32463893,0.210000,0.004615028,0,0.000000,0.000000000
24,runtime,operator delete(void*),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,25073524,0.170000,0.003735975,1356321610,8.940000,0.196468317
25,solver,"std::_Function_handler<void (int), tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int)::{lambda(int)#2}>::_M_invoke(std::_Any_data const&, int&&)",solver/tsp_bb_26_07_08/tsp_bb,0,0,0.000000,0.000000000,299565816464,1974.200000,43.385654582
26,solver,(below main),solver/tsp_bb_26_07_08/tsp_bb,0,0,0.000000,0.000000000,15172396113,99.990000,2.197412421
27,solver,./csu/../csu/libc-start.c:__libc_start_main@@GLIBC_2.34,lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,15172396101,99.990000,2.197412421
28,solver,./csu/../sysdeps/nptl/libc_start_call_main.h:(below main),lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,15172395927,99.990000,2.197412421
29,solver,main,solver/tsp_bb_26_07_08/tsp_bb,0,0,0.000000,0.000000000,15172385538,99.990000,2.197412421
30,solver,"(anonymous namespace)::solveInput(std::istream&, (anonymous namespace)::CliOptions const&)",solver/tsp_bb_26_07_08/tsp_bb,0,0,0.000000,0.000000000,15172329592,99.990000,2.197412421
31,solver,tsp::BranchBoundSolver::solve(),solver/tsp_bb_26_07_08/tsp_bb,0,0,0.000000,0.000000000,15170393621,99.970000,2.196972895
32,runtime,"operator delete(void*, unsigned long)",lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,0,0.000000,0.000000000,1406467150,9.270000,0.203720503
