run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/pr144.tsp,ok,19.047361930832267,58537.0,57892.66276212371,58537.0,58537.0,58537.0,0.0,99877,47889,62796,4,1,10152,8721,144,3,1572,0.001029109,1,10296,1575,0.000109065,0.087782097,0,0,0,0,0,0,0.0,0.0,64,0.034122909,0,1,84280,40049,0,0,0,0,0,0,0,0,0,0,0,0,44231,0,298613,17.252498688999914,0.6276721450000007,0,0,0,0.5502023079999931
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/pr152.tsp,timeout,1800.0,,69999.92364,73682.0,73682.0,69999.92364,0.04997253549035051,4695188,1190000,,,1,11324,4683,152,0,6793,0.001000886,1,11476,6793,0.000166595,0.149616832,0,,,,,,,,,0.039878141,,,,,,,,,,,,,,,,,,,,1673.030649,42.61212928,,,,40.36877192
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/pr76.tsp,ok,131.60848582722247,108159.0,105050.5999992225,108159.0,108159.0,108159.0,0.0,1334606,542213,886076,0,1,2774,1991,76,1,858,0.000306748,1,2850,859,2.6162e-05,0.131827693,12,0,0,0,0,0,0.0,0.0,64,0.009594494,0,1,1162155,702091,0,0,0,0,0,0,0,0,0,0,0,36122,423942,0,5807101,116.46312521299387,6.170814562000097,0,0,0,5.524540989999952
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/national/qa194.tsp,timeout,1800.0,,9265.17,9352.0,9352.0,9265.17,0.009284644995722832,7367308,3820000,,,1,18527,16612,194,1,2108,0.002141972,1,18721,2109,0.000178684,0.627755262,0,,,,,,,,,0.068245739,,,,,,,,,,,,,,,,,,,,1652.19535,44.9600556,,,,77.76762684
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/rat195.tsp,ok,887.3815803732723,2323.0,2291.959999919687,2323.0,2323.0,2323.0,0.0,2543934,1060977,1603176,2,1,18720,16371,195,0,2544,0.002005586,1,18915,2544,0.000176398,0.5285770160000001,12,0,0,0,0,0,0.0,0.0,64,0.067701071,0,1,2397092,1398538,0,0,0,0,0,0,0,0,0,0,0,0,998554,0,8745359,840.1567900940285,16.85432349200012,0,0,0,21.16709982899791
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/rat99.tsp,ok,0.1255648359656334,1211.0,1205.9499999855982,1211.0,1211.0,1211.0,0.0,178,79,105,39,1,4752,4629,99,29,178,0.000499104,1,4851,207,3.6958e-05,0.04555427,0,0,0,0,0,0,0.0,0.0,64,0.01539011,0,1,150,78,0,0,0,0,0,0,0,0,0,0,0,0,72,0,499,0.007446023,0.00029742500000000003,0,0,0,0.00024871699999999997
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/rd100.tsp,ok,0.16951283626258373,7910.0,7897.20107452616,7910.0,7910.0,7910.0,0.0,81,35,47,10,1,4850,4759,100,43,144,0.000491594,1,4950,187,4.0151e-05,0.057658265,0,0,0,0,0,0,0.0,0.0,64,0.016899192,0,1,70,39,0,0,0,0,0,0,0,0,0,0,0,0,31,0,261,0.004403413,0.000136002,0,0,0,0.00018953800000000003
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/si175.tsp,timeout,1800.0,,21373.58,21407.0,21407.0,21373.58,0.0015611715793898376,17325510,7700000,,,1,15050,13917,175,12,1296,0.001594387,1,15225,1308,0.000140538,0.217849077,0,,,,,,,,,0.052511993,,,,,,,,,,,,,,,,,,,,1602.547052,2.545664293,,,,155.1227823
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/st70.tsp,ok,0.1097573135048151,675.0,670.9399999952018,675.0,675.0,675.0,0.0,244,65,180,68,1,2345,2230,70,19,158,0.000330199,1,2415,177,2.367e-05,0.021976031,0,0,0,0,0,0,0.0,0.0,64,0.010781653,0,1,241,178,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1303,0.014885012999999997,3.5325e-05,0,0,0,0.0002944990000000006
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/swiss42.tsp,ok,0.062164006754755974,1273.0,1271.9619537743815,1273.0,1273.0,1273.0,0.0,5,5,0,5,1,819,812,42,35,14,0.000254665,1,861,49,2.8544e-05,0.004057679,0,0,0,0,0,0,0.0,0.0,64,0.005290314,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0,0,0,2.7868999999999997e-05
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/u159.tsp,ok,1.2688112519681454,42080.0,41924.95999885369,42080.0,42080.0,42080.0,0.0,7953,4050,4797,242,1,12402,12066,159,19,471,0.001363811,1,12561,490,0.000111099,0.189088055,0,0,0,0,0,0,0.0,0.0,64,0.04283786,0,1,6835,2969,0,0,0,0,0,0,0,0,0,0,0,0,3866,0,18133,0.8685427699999996,0.020351163000000005,0,0,0,0.0391370389999998
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/ulysses16.tsp,ok,0.04204518347978592,6859.0,6858.999999996325,6859.0,6859.0,6859.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000245193,0,0,0,0,0,0,0.0,0.0,1,2.0842e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/national/wi29.tsp,ok,0.041913967579603195,27603.0,27602.999999952015,27603.0,27603.0,27603.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.001277818,0,0,0,0,0,0,0.0,0.0,1,8.8204e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,timeout,1800.0,,555.6016199,564.0,564.0,555.6016199,0.014890744858156123,8683632,3390000,,,1,8384,7201,131,2,1312,0.000914295,1,8515,1314,8.2154e-05,0.086307977,0,,,,,,,,,0.028698803,,,,,,,,,,,,,,,,,,,,1667.391599,38.59285474,,,,70.7990826
