config_id,correct_instances,total_instances,nodes_created,nodes_expanded,expanded_ratio_vs_p0,expanded_geomean_ratio_vs_p0,wins,ties,losses,batch_wall_median_seconds,wall_ratio_vs_p0,instance_wall_total_seconds,instance_wall_geomean_ratio_vs_p0,potential_updates_attempted,improvement_rate,direct_prune_rate,average_iterations_per_attempt,epoch_rebuilds,gain_per_iteration,potential_update_seconds,potential_time_share
P0,3,3,564.0,432.0,1.0,1.0,0,3,0,0.01987695787101984,1.0,0.016159249,1.0,0.0,nan,nan,nan,0.0,nan,0.0,0.0
P1,3,3,67.0,34.0,0.0787037037037037,0.2718046521472922,3,0,0,0.0184389166533947,0.9276528517614975,0.015513458,0.9435817981471903,30.0,1.0,0.7,7.966666666666667,9.0,2.245494956146266,0.0007554149999999998,0.04096851318327989
P2,3,3,124.0,55.0,0.12731481481481483,0.3621323037234279,3,0,0,0.019021332263946533,0.9569538954287975,0.016551459,0.9770297512398852,60.0,1.0,0.75,7.833333333333333,15.0,2.1686184491497573,0.0015716699999999998,0.08262670449109283
H0,3,3,2836.0,1965.0,4.548611111111111,8.527167421969208,0,0,3,0.01715883333235979,0.8632524878154009,0.014573626,0.8647891274971777,0.0,nan,nan,nan,0.0,nan,0.0,0.0
T1,3,3,74.0,25.0,0.05787037037037037,0.1640833242394334,3,0,0,0.018421290442347527,0.9267660857301184,0.015675832,0.9393152731751797,66.0,0.9848484848484849,0.6666666666666666,8.469696969696969,0.0,3.2341613535018743,0.001680548,0.09122857083544461
B1,3,3,677.0,511.0,1.1828703703703705,1.1141780505783863,0,1,2,0.0169703746214509,0.8537712225165667,0.01440325,0.8871124052757017,0.0,nan,nan,nan,0.0,nan,0.0,0.0
B3,3,3,1008.0,718.0,1.662037037037037,1.431061349022739,0,0,3,0.017392707988619804,0.8750186070464023,0.014858583,0.9265150533343176,0.0,nan,nan,nan,0.0,nan,0.0,0.0
B4,3,3,647.0,494.0,1.1435185185185186,1.1957345213693715,0,1,2,0.016983208246529102,0.8544168758988134,0.01465175,0.9175040787446511,0.0,nan,nan,nan,0.0,nan,0.0,0.0
