run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.062289875000715256,10628.0,27,10,17,0,1,1080,1001,48,6,121,0.000141932,100,25,25,0,0,0,0,0,0,0,0,0,0,419
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.02733783982694149,1610.0,3,1,2,1,1,377,367,29,24,11,7.4135e-05,100,2,2,0,0,0,0,0,0,0,0,0,0,7
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.05964295193552971,2020.0,8,2,5,1,1,377,353,29,14,33,5.1964e-05,100,6,6,0,0,0,0,0,0,0,0,0,0,47
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.05744062922894955,7542.0,1,0,1,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,504.6771035399288,118282.0,432170,141231,292038,0,1,7874,4999,127,2,3000,0.000894435,348,397361,397359,0,0,0,0,0,2,0,0,0,0,6496724
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.08875732496380806,25395.0,57,19,38,0,1,1595,1357,58,6,290,0.000199993,120,51,51,0,0,0,0,0,0,0,0,0,0,816
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.026337798684835434,3323.0,1,0,1,0,0,0,0,0,0,0,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,127.44517089426517,6110.0,125205,40732,84930,0,1,8255,6705,130,1,1679,0.001075407,400,119571,119568,0,0,0,0,0,3,0,0,0,0,1942613
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,437.4083322286606,6528.0,362716,107156,256630,0,2,22050,18691,300,0,1455,0.002215246,800,344776,344776,0,0,0,0,0,0,0,0,0,0,5277743
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.04399014264345169,699.0,3,1,2,0,1,819,788,42,26,38,0.000126282,100,2,2,0,0,0,0,0,0,0,0,0,0,17
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.040059855207800865,6656.0,1,0,1,0,0,0,0,0,0,0,0.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,19.334400868043303,629.0,42179,13121,29283,11,1,4949,4199,101,0,851,0.000528085,400,38587,38587,0,0,0,0,0,0,0,0,0,0,611501
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.11373365856707096,426.0,456,152,306,56,1,1224,1149,51,4,122,0.000158626,400,423,423,0,0,0,0,0,0,0,0,0,0,6336
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.4473872445523739,538.0,1275,440,843,0,1,2774,2350,76,0,500,0.000332463,359,1118,1117,0,0,0,0,0,1,0,0,0,0,18273
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.036496641114354134,937.0,1,0,1,0,0,0,0,0,0,0,0.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,14.11241228878498,6942.0,16248,5144,11164,0,1,7020,5634,120,0,1506,0.000695231,400,15303,15296,0,0,0,0,0,2,0,0,0,5,243556
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,33.80604378506541,69853.0,42629,14332,28432,0,1,9179,7651,137,1,1664,0.001034306,400,39190,39190,0,0,0,0,0,0,0,0,0,0,630204
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.04208405874669552,2085.0,1,0,1,0,0,0,0,0,0,0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.024051351472735405,2707.0,1,0,1,0,0,0,0,0,0,0,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.02500162273645401,1272.0,1,0,1,0,0,0,0,0,0,0,0.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.14318782277405262,5046.0,1054,336,720,43,1,1080,917,48,5,201,0.000148243,330,970,970,0,0,0,0,0,0,0,0,0,0,14761
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,1.1945367529988289,55209.0,2639,936,1718,1,1,4464,3877,96,1,682,0.000517475,365,2438,2438,0,0,0,0,0,0,0,0,0,0,40862
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.05067368783056736,11461.0,12,4,8,0,1,1080,1036,48,17,72,0.000141398,100,7,7,0,0,0,0,0,0,0,0,0,0,90
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,68.7143795080483,21282.0,398178,72415,325828,0,1,4850,3454,100,0,1496,0.000498067,320,376935,315459,0,0,0,0,0,0,0,0,0,61476,1469502
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,ok,131.78106871247292,26524.0,95031,29500,65804,0,1,11025,9078,150,0,2097,0.00128443,400,90660,90651,0,0,0,0,0,1,0,0,0,8,1453287
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,20.182513885200024,22141.0,37821,12556,25380,0,1,4850,3889,100,0,1061,0.000525542,385,35082,34878,0,0,0,0,0,0,0,0,0,204,562118
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,11.474500266835093,20749.0,21948,6364,15616,0,1,4850,3956,100,0,994,0.000525029,301,20161,20149,0,0,0,0,0,0,0,0,0,12,289297
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/kroD100.tsp,ok,23.7071050144732,21294.0,57641,12707,45025,0,1,4850,3582,100,0,1368,0.000493815,391,54795,50294,0,0,0,0,0,0,0,0,0,4501,565809
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/kroE100.tsp,ok,10.877783108502626,22068.0,19833,6237,13647,0,1,4850,4150,100,1,799,0.000581366,334,18806,18806,0,0,0,0,0,0,0,0,0,0,288707
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/lin105.tsp,ok,0.24099590443074703,14379.0,68,26,42,0,1,5355,4864,105,10,586,0.000649304,333,42,42,0,0,0,0,0,0,0,0,0,0,721
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/pr107.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/pr124.tsp,ok,2.3299513924866915,59030.0,2895,1036,1864,0,1,7502,6276,124,0,1350,0.000763302,341,2655,2655,0,0,0,0,0,0,0,0,0,0,43418
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/pr136.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/pr144.tsp,ok,129.70511313900352,58537.0,118383,52073,72415,18,1,10152,8105,144,2,2189,0.001118233,400,103766,103746,0,0,0,0,0,0,0,0,0,20,2116203
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/pr152.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
