instance,config,iterations,status,Nodes created,Nodes expanded,Instance wall seconds,Search-node potential updates triggered,Potential updates rebuilt,Potential updates stopped prunable,Search-node potential iterations,source
wi29,P32,32,ok,1,0,0.0018677500000000001,0,0,0,0,p32-p64-expand
wi29,P64,64,ok,1,0,0.0017286669999999999,0,0,0,0,p32-p64-expand
dj38,P32,32,ok,1,0,0.0020505409999999999,0,0,0,0,p32-p64-expand
dj38,P64,64,ok,1,0,0.0019486250000000001,0,0,0,0,p32-p64-expand
dantzig42,P32,32,ok,7,3,0.0048418330000000002,2,0,2,7,p32-p64-expand
dantzig42,P64,64,ok,7,3,0.0045110829999999999,2,0,2,7,p32-p64-expand
swiss42,P32,32,ok,8,3,0.003257458,3,0,3,15,p32-p64-expand
swiss42,P64,64,ok,8,3,0.0032976250000000002,3,0,3,15,p32-p64-expand
att48,P32,32,ok,35,14,0.0076562499999999999,19,3,16,198,p32-p64-expand
att48,P64,64,ok,66,26,0.007612583,34,3,31,293,p32-p64-expand
gr48,P32,32,ok,5501,2189,0.092541416000000001,3126,365,2755,25434,p32-p64-expand
gr48,P64,64,ok,3290,1438,0.052979125000000002,1552,115,1436,14866,p32-p64-expand
hk48,P32,32,ok,23,10,0.0058414579999999999,11,2,9,64,p32-p64-expand
hk48,P64,64,ok,24,13,0.005658125,7,2,5,82,p32-p64-expand
eil51,P32,32,ok,1501,664,0.033692709000000001,795,59,730,5508,p32-p64-expand
eil51,P64,64,ok,1789,827,0.034771249999999997,891,33,857,5672,p32-p64-expand
berlin52,P32,32,ok,1,0,0.003315709,0,0,0,0,p32-p64-expand
berlin52,P64,64,ok,1,0,0.003199417,0,0,0,0,p32-p64-expand
brazil58,P32,32,ok,299,121,0.017344708,160,16,144,1324,p32-p64-expand
brazil58,P64,64,ok,356,132,0.016715625000000001,193,5,188,1169,p32-p64-expand
st70,P32,32,ok,7595,3047,0.22450462500000001,4152,440,3705,37164,p32-p64-expand
st70,P64,64,ok,13909,5895,0.303777833,6850,243,6607,50558,p32-p64-expand
eil76,P32,32,ok,781,302,0.052854208999999999,359,47,309,3029,p32-p64-expand
eil76,P64,64,ok,564,238,0.040059290999999997,208,11,196,1618,p32-p64-expand
kroC100,P32,32,ok,85248,35502,3.786811208,43945,4549,39351,340813,p32-p64-expand
kroC100,P64,64,ok,46036,18993,2.0918162090000001,22950,1210,21734,185861,p32-p64-expand
kroD100,P32,32,ok,33723,14021,1.714338125,16741,1672,15045,133274,p32-p64-expand
kroD100,P64,64,ok,6814,3046,0.32164995899999999,2965,99,2865,19595,p32-p64-expand
kroB100,P32,32,ok,336668,154135,14.256589,165619,18911,146379,1438857,p32-p64-expand
kroB100,P64,64,ok,365088,164118,13.877919792,168033,8238,159744,1495707,p32-p64-expand
kroA100,P32,32,ok,95925,38527,5.1020219579999999,50832,4218,46562,364343,p32-p64-expand
kroA100,P64,64,ok,180448,72403,8.2339682910000001,89330,3355,85955,626612,p32-p64-expand
kroE100,P32,32,ok,500284,204028,26.023709540999999,269042,29786,238890,2174183,p32-p64-expand
kroE100,P64,64,ok,188428,80178,11.160378375000001,93725,4054,89643,724337,p32-p64-expand
