tau,CPHKMST-P32-LKH,Concorde,GAPMST-P32-LKH,GAPMST-P32-LKH-gc0.0001,GAPMST-P32-LKH-same
2.2477834194988504,0.5,0.82,0.5,0.5,0.5
2.3997925884605045,0.5,0.82,0.52,0.5,0.5
2.585512656803435,0.5,0.82,0.54,0.5,0.5
2.637421754563569,0.5,0.84,0.54,0.5,0.5
2.6990440682144534,0.5,0.84,0.56,0.5,0.5
2.774623596012654,0.5,0.86,0.56,0.5,0.5
2.8164165016446163,0.5,0.88,0.56,0.5,0.5
2.9889354933098717,0.5,0.88,0.56,0.5,0.52
2.9924228275507225,0.5,0.88,0.56,0.52,0.52
3.0,0.5,0.88,0.56,0.52,0.52
3.1518021223036485,0.5,0.9,0.56,0.52,0.52
3.4567760594032846,0.5,0.9,0.56,0.52,0.54
3.609621805541422,0.5,0.92,0.56,0.52,0.54
3.652169795058599,0.52,0.92,0.56,0.52,0.54
3.7343411095226675,0.54,0.92,0.56,0.52,0.54
3.8036753948454303,0.54,0.92,0.56,0.52,0.56
3.830976415669174,0.54,0.92,0.56,0.54,0.56
4.797385178736008,0.54,0.92,0.56,0.56,0.56
5.0,0.54,0.92,0.56,0.56,0.56
5.2949415964049225,0.54,0.94,0.56,0.56,0.56
5.677909290617006,0.56,0.94,0.56,0.56,0.56
6.347019139285509,0.56,0.94,0.56,0.56,0.58
6.830686940486977,0.56,0.96,0.56,0.56,0.58
7.368435487561815,0.58,0.96,0.56,0.56,0.58
7.384108775471745,0.58,0.96,0.56,0.56,0.6
7.510074046365625,0.58,0.96,0.58,0.56,0.6
7.545376475183456,0.58,0.96,0.58,0.58,0.6
7.87425020548363,0.58,0.96,0.6,0.58,0.6
7.894720668238198,0.58,0.96,0.62,0.58,0.6
7.9570111561768515,0.6,0.96,0.62,0.58,0.6
8.07156537866262,0.6,0.96,0.62,0.6,0.6
9.10203798743404,0.6,0.98,0.62,0.6,0.6
9.210911467480022,0.6,1.0,0.62,0.6,0.6
9.277277968019407,0.6,1.0,0.62,0.6,0.62
9.884040950457106,0.6,1.0,0.62,0.62,0.62
10.0,0.6,1.0,0.62,0.62,0.62
10.421799817621155,0.62,1.0,0.62,0.62,0.62
10.830905683711002,0.62,1.0,0.62,0.64,0.62
11.567195191262073,0.62,1.0,0.62,0.64,0.64
12.039467856990822,0.62,1.0,0.62,0.66,0.64
12.06448735012662,0.62,1.0,0.64,0.66,0.64
12.104803692447808,0.62,1.0,0.66,0.66,0.64
13.164312357617748,0.62,1.0,0.66,0.66,0.66
13.727818674036165,0.64,1.0,0.66,0.66,0.66
14.942021900186214,0.66,1.0,0.66,0.66,0.66
15.593560434231335,0.66,1.0,0.66,0.66,0.68
16.743383413860997,0.68,1.0,0.66,0.66,0.68
20.0,0.68,1.0,0.66,0.66,0.68
23.006619091956246,0.68,1.0,0.68,0.66,0.68
31.186638005120233,0.68,1.0,0.68,0.66,0.7
33.60212422441645,0.68,1.0,0.68,0.68,0.7
34.19584104305969,0.68,1.0,0.68,0.7,0.7
34.513848497639685,0.68,1.0,0.7,0.7,0.7
34.889986735034945,0.68,1.0,0.72,0.7,0.7
35.485485555089326,0.7,1.0,0.72,0.7,0.7
35.6425087448334,0.7,1.0,0.72,0.72,0.7
36.85110670731135,0.7,1.0,0.72,0.72,0.72
40.06186826547127,0.7,1.0,0.74,0.72,0.72
42.65665041041068,0.7,1.0,0.74,0.74,0.72
42.68477737860173,0.72,1.0,0.74,0.74,0.72
43.877311858783294,0.72,1.0,0.74,0.74,0.74
43.98100695115631,0.72,1.0,0.74,0.74,0.76
44.41699319798987,0.72,1.0,0.76,0.74,0.76
49.04388281392747,0.72,1.0,0.76,0.74,0.78
50.0,0.72,1.0,0.76,0.74,0.78
51.15654646305985,0.74,1.0,0.76,0.74,0.78
51.369334086331015,0.74,1.0,0.76,0.76,0.78
52.009954245563456,0.76,1.0,0.76,0.76,0.78
56.75881095816363,0.78,1.0,0.76,0.76,0.78
60.78711112459948,0.78,1.0,0.76,0.78,0.78
61.442466970507255,0.78,1.0,0.78,0.78,0.78
82.10169070594416,0.8,1.0,0.78,0.78,0.78
85.58251308299828,0.8,1.0,0.78,0.78,0.8
100.0,0.8,1.0,0.78,0.78,0.8
