comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
7,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,branches,38,4607633.0,3991040.0,-0.13381990275701217,9,10,19
7,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,385784.0,134873.0,-0.6503924475872509,8,19,11
8,hk ascent、hk node ascent,P32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,wall_seconds,40,3654.830293653533,3813.595882439986,0.04343993456061224,19,0,21
8,hk ascent、hk node ascent,P32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,branches,40,4903534.0,3685356.0,-0.24842858232450316,16,10,14
8,hk ascent、hk node ascent,P32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,134906.0,-0.6518554838709678,9,21,10
9,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD64,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,wall_seconds,38,3184.5870875678957,2566.4406907372177,-0.1941056657686706,10,0,28
9,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD64,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,branches,38,4607633.0,3991040.0,-0.13381990275701217,9,10,19
9,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD64,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,385784.0,134873.0,-0.6503924475872509,8,19,11
10,hk ascent,P32,PSD32,hk ascent=polyak,hk ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,wall_seconds,40,3654.830293653533,4037.4343773312867,0.10468450049298617,21,0,19
10,hk ascent,P32,PSD32,hk ascent=polyak,hk ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,branches,40,4903534.0,3792607.0,-0.2265563978958849,19,10,11
10,hk ascent,P32,PSD32,hk ascent=polyak,hk ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,134901.0,-0.6518683870967742,9,18,13
11,hk ascent,P32,hybrid-reverse,hk ascent=polyak,hk ascent=hybrid-reverse,40,41,40,,brg180.tsp,40,,40,,41,,wall_seconds,40,3654.830293653533,4244.772802842781,0.1614144739397776,17,0,23
11,hk ascent,P32,hybrid-reverse,hk ascent=polyak,hk ascent=hybrid-reverse,40,41,40,,brg180.tsp,40,,40,,41,,branches,40,4903534.0,3569859.0,-0.2719824110529263,16,10,14
11,hk ascent,P32,hybrid-reverse,hk ascent=polyak,hk ascent=hybrid-reverse,40,41,40,,brg180.tsp,40,,40,,41,,search_node_potential_updates_skipped_total,40,387500.0,56297.0,-0.8547174193548387,9,19,12
12,hk node ascent,PPS32,PPSD32,hk node ascent=polyak-smoothed,hk node ascent=polyak-smoothed-dynamic,41,41,41,,,41,,41,,41,,wall_seconds,41,4795.556864302605,5027.009197970852,0.04826391182870604,15,0,26
12,hk node ascent,PPS32,PPSD32,hk node ascent=polyak-smoothed,hk node ascent=polyak-smoothed-dynamic,41,41,41,,,41,,41,,41,,branches,41,5917848.0,6063434.0,0.024601172588413878,16,11,14
12,hk node ascent,PPS32,PPSD32,hk node ascent=polyak-smoothed,hk node ascent=polyak-smoothed-dynamic,41,41,41,,,41,,41,,41,,search_node_potential_updates_skipped_total,41,387972.0,387385.0,-0.0015129957832008545,5,29,7
13,hk ascent、hk update iterations,PPS32,PS-PS16,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3726.2295857705176,4583.749771634117,0.23013079739859332,11,0,29
13,hk ascent、hk update iterations,PPS32,PS-PS16,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5015701.0,6071450.0,0.21048882299802152,8,9,23
13,hk ascent、hk update iterations,PPS32,PS-PS16,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387933.0,266572.0,-0.3128401038323628,9,22,9
14,hk ascent,PPS32,PS-PS32,hk ascent=polyak,hk ascent=polyak-smoothed,41,41,41,,,41,,41,,41,,wall_seconds,41,4795.556864302605,4237.459500132129,-0.11637800988762503,15,0,26
14,hk ascent,PPS32,PS-PS32,hk ascent=polyak,hk ascent=polyak-smoothed,41,41,41,,,41,,41,,41,,branches,41,5917848.0,4414770.0,-0.2539906398406988,13,9,19
14,hk ascent,PPS32,PS-PS32,hk ascent=polyak,hk ascent=polyak-smoothed,41,41,41,,,41,,41,,41,,search_node_potential_updates_skipped_total,41,387972.0,276843.0,-0.28643561906529336,10,22,9
15,hk ascent、hk update iterations,PPS32,PS-PS64,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3726.2295857705176,4611.23813666217,0.23750778917951432,10,0,30
15,hk ascent、hk update iterations,PPS32,PS-PS64,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5015701.0,6071450.0,0.21048882299802152,8,9,23
15,hk ascent、hk update iterations,PPS32,PS-PS64,hk ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387933.0,266572.0,-0.3128401038323628,9,22,9
