run_id,strategy,label,benchmark_instances,solved_count,solved_fraction,timeout_seconds,par2_seconds,geometric_mean_solved_seconds,penalized_geometric_mean_seconds
CPHKMST-P32-LKH-598122e510eb,CPHKMST-P32-LKH,CPHKMST-P32-LKH,50,43,0.86,1800.0,538.564961605072,0.5645825968452306,1.9247219046155382
Concorde-7c32cb4cd69e,Concorde,Concorde,50,50,1.0,1800.0,0.34049679324030874,0.20020755244713712,0.20020755244713712
GAPMST-P32-LKH-BP-ascent-strong-9bbe061f25d1,GAPMST-P32-LKH-BP-ascent-strong,GAPMST-P32-LKH-BP-ascent-strong,50,43,0.86,1800.0,532.5540340911225,0.5328061209156094,1.831183501283464
GAPMST-P32-LKH-BP-ascent-strong-lift2-b95e30138c43,GAPMST-P32-LKH-BP-ascent-strong-lift2,GAPMST-P32-LKH-BP-ascent-strong-lift2,50,43,0.86,1800.0,532.5782744529098,0.5541274118302744,1.8940290502309263
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,50,43,0.86,1800.0,532.7142980660498,0.5829803200782527,1.9785393824529351
GAPMST-P32-LKH-BP-ascent-strong-split2-5a5c42ecf287,GAPMST-P32-LKH-BP-ascent-strong-split2,GAPMST-P32-LKH-BP-ascent-strong-split2,50,43,0.86,1800.0,532.7760402769222,0.6208830919689475,2.0886747022753447
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,GAPMST-P32-LKH-BP-base,50,43,0.86,1800.0,534.6495890491456,0.3935551783812509,1.4111955325554484
GAPMST-P32-LKH-BP-lift2-a8ef6cbbece9,GAPMST-P32-LKH-BP-lift2,GAPMST-P32-LKH-BP-lift2,50,43,0.86,1800.0,534.7164294906333,0.5276651454948947,1.815977992622558
GAPMST-P32-LKH-BP-lift2-split2-8625e3037a75,GAPMST-P32-LKH-BP-lift2-split2,GAPMST-P32-LKH-BP-lift2-split2,50,43,0.86,1800.0,531.6543029839545,0.5616044272700021,1.9159871837377878
GAPMST-P32-LKH-BP-split2-fcf930fe1eca,GAPMST-P32-LKH-BP-split2,GAPMST-P32-LKH-BP-split2,50,43,0.86,1800.0,531.5896124594659,0.569207677867568,1.9382741094219524
GAPMST-P32-LKH-same-86f81b28e491,GAPMST-P32-LKH-same,GAPMST-P32-LKH-same,50,43,0.86,1800.0,535.4820425743982,0.5377779299999332,1.845869138170012
