tau,CPHKMST-P32-LKH,Concorde,GAPMST-P32-LKH-BP-ascent-strong,GAPMST-P32-LKH-BP-ascent-strong-lift2,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,GAPMST-P32-LKH-BP-ascent-strong-split2,GAPMST-P32-LKH-BP-base,GAPMST-P32-LKH-BP-lift2,GAPMST-P32-LKH-BP-lift2-split2,GAPMST-P32-LKH-BP-split2,GAPMST-P32-LKH-same
1.2868192575529005,0.16,0.62,0.14,0.08,0.08,0.1,0.4,0.12,0.1,0.14,0.12
1.2961411101245979,0.16,0.62,0.14,0.08,0.08,0.12,0.4,0.12,0.1,0.14,0.12
1.2973059372074525,0.16,0.62,0.14,0.1,0.08,0.12,0.4,0.12,0.1,0.14,0.12
1.2998580399006123,0.16,0.62,0.14,0.1,0.08,0.12,0.4,0.12,0.1,0.14,0.14
1.3145760705189777,0.16,0.62,0.14,0.1,0.08,0.12,0.4,0.12,0.12,0.14,0.14
1.332702275717217,0.16,0.62,0.14,0.1,0.08,0.12,0.4,0.12,0.14,0.14,0.14
1.3346513912832425,0.16,0.62,0.16,0.1,0.08,0.12,0.4,0.12,0.14,0.14,0.14
1.3495492790212276,0.16,0.62,0.16,0.1,0.08,0.12,0.4,0.14,0.14,0.14,0.14
1.3544770558584762,0.16,0.62,0.16,0.1,0.08,0.12,0.42,0.14,0.14,0.14,0.14
1.3591875490303018,0.16,0.62,0.16,0.1,0.1,0.12,0.42,0.14,0.14,0.14,0.14
1.3619850098898423,0.16,0.62,0.16,0.1,0.1,0.12,0.42,0.14,0.14,0.14,0.16
1.3678579047334702,0.16,0.62,0.16,0.1,0.1,0.12,0.42,0.14,0.14,0.16,0.16
1.3703267217645667,0.16,0.62,0.16,0.1,0.1,0.12,0.42,0.14,0.16,0.16,0.16
1.388728697396045,0.16,0.62,0.16,0.1,0.1,0.14,0.42,0.14,0.16,0.16,0.16
1.398271956445647,0.16,0.62,0.16,0.1,0.12,0.14,0.42,0.14,0.16,0.16,0.16
1.3991229965006264,0.16,0.62,0.16,0.1,0.12,0.14,0.44,0.14,0.16,0.16,0.16
1.4085395907113551,0.16,0.62,0.16,0.1,0.12,0.14,0.44,0.16,0.16,0.16,0.16
1.4216435789076236,0.16,0.62,0.16,0.1,0.12,0.14,0.46,0.16,0.16,0.16,0.16
1.424609029259655,0.16,0.62,0.16,0.1,0.12,0.14,0.46,0.16,0.18,0.16,0.16
1.4264075488287196,0.16,0.62,0.16,0.1,0.12,0.14,0.46,0.18,0.18,0.16,0.16
1.428167943974275,0.16,0.64,0.16,0.1,0.12,0.14,0.46,0.18,0.18,0.16,0.16
1.4343328693452744,0.16,0.64,0.16,0.12,0.12,0.14,0.46,0.18,0.18,0.16,0.16
1.4346820377467522,0.16,0.64,0.18,0.12,0.12,0.14,0.46,0.18,0.18,0.16,0.16
1.4399977788384835,0.16,0.64,0.18,0.12,0.14,0.14,0.46,0.18,0.18,0.16,0.16
1.440693266640796,0.16,0.64,0.18,0.12,0.14,0.14,0.46,0.18,0.18,0.18,0.16
1.4588534263230029,0.16,0.64,0.18,0.12,0.14,0.16,0.46,0.18,0.18,0.18,0.16
1.472631646221263,0.16,0.64,0.18,0.12,0.14,0.16,0.46,0.18,0.18,0.2,0.16
1.4791660325866407,0.16,0.64,0.18,0.12,0.14,0.16,0.46,0.18,0.2,0.2,0.16
1.4817745864396283,0.16,0.64,0.2,0.12,0.14,0.16,0.46,0.18,0.2,0.2,0.16
1.4822123511814178,0.16,0.64,0.2,0.12,0.14,0.16,0.48,0.18,0.2,0.2,0.16
1.4835631913101044,0.16,0.64,0.2,0.12,0.14,0.16,0.48,0.18,0.22,0.2,0.16
1.495339504396584,0.16,0.64,0.2,0.12,0.14,0.16,0.48,0.18,0.22,0.2,0.18
1.5,0.16,0.64,0.2,0.12,0.14,0.16,0.48,0.18,0.22,0.2,0.18
1.5372709267016171,0.16,0.64,0.2,0.12,0.14,0.16,0.48,0.2,0.22,0.2,0.18
1.5401628584979972,0.16,0.64,0.2,0.14,0.14,0.16,0.48,0.2,0.22,0.2,0.18
1.544901980739185,0.16,0.64,0.2,0.14,0.14,0.16,0.48,0.2,0.22,0.2,0.2
1.5477721107412006,0.16,0.64,0.22,0.14,0.14,0.16,0.48,0.2,0.22,0.2,0.2
1.550675663342115,0.16,0.64,0.22,0.14,0.14,0.16,0.48,0.2,0.22,0.2,0.22
