instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,P32:matches_reference,hybrid-reverse:matches_reference,P32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,P32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,P32:branches,hybrid-reverse:branches,relative_change:branches,P32:nodes_expanded,hybrid-reverse:nodes_expanded,P32:pruned_by_bound,hybrid-reverse:pruned_by_bound,P32:pruned_infeasible,hybrid-reverse:pruned_infeasible,P32:root_potential_iterations,hybrid-reverse:root_potential_iterations,P32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,8.578591819073024,0.5506241209805012,0.7549365013837814,0.3710559937684157,695.0,1014.0,0.4589928057553956,154.0,220.0,548.0,804.0,0.0,6.0,400.0,551.0,379.0,680.0,352.0,639.0,27.0,41.0,0.5185185185185186,5416.0,8715.0,0.0,0.0,0.0,0.0,26.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,1.1075257495452537,0.11640988104045391,0.12135493196547031,0.042479649328891034,429.0,440.0,0.02564102564102555,135.0,153.0,298.0,291.0,51.0,34.0,400.0,463.0,411.0,415.0,411.0,415.0,0.0,0.0,0.0,6174.0,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,37.29010938661277,0.2606097925454378,1.489048095420003,4.713707381737716,454.0,3192.0,6.030837004405286,135.0,1042.0,328.0,2174.0,0.0,0.0,364.0,433.0,304.0,2960.0,295.0,2949.0,9.0,11.0,0.22222222222222232,5287.0,47624.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,-0.4021325810466725,0.017687518149614334,0.017625516280531883,-0.003505402428876203,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.01531218836858,2795.1123801405074,18.070503670722246,447.0824178662151,23.741004789510995,12407.0,393662.0,30.72902393809946,3833.0,118496.0,8620.0,276680.0,0.0,0.0,400.0,1074.0,11445.0,372490.0,11321.0,372451.0,124.0,39.0,-0.685483870967742,179449.0,5770837.0,0.0,0.0,0.0,0.0,123.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,207.6456273205473,196.0931948970312,70.11544584855437,66.23324634879827,-0.05536867736877038,51113.0,52994.0,0.03680081388296519,17260.0,17789.0,34040.0,35382.0,0.0,0.0,400.0,604.0,47121.0,48916.0,47117.0,48910.0,4.0,6.0,0.5,768553.0,797177.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.16739789131891636,0.33742704214027297,0.015113769099116325,0.02427757903933525,0.6063219492187899,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.10659820555259258,1.0518258155778994,0.007610063999891281,0.01747760735452175,1.2966439381812611,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.05294187035394504,-0.050506590183434286,0.01428210735321045,0.012878932058811188,-0.09824707654811493,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.421143077531925,1.5695884776412097,0.2632349580526352,0.19771330803632736,-0.24890937928998946,1203.0,1070.0,-0.11055694098088109,405.0,319.0,800.0,754.0,0.0,0.0,334.0,311.0,1124.0,976.0,1117.0,938.0,7.0,38.0,4.428571428571429,17868.0,13263.0,0.0,0.0,0.0,0.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
