instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PPS32:matches_reference,PS-PS64:matches_reference,PPS32:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PPS32:branches,PS-PS64:branches,relative_change:branches,PPS32:nodes_expanded,PS-PS64:nodes_expanded,PPS32:pruned_by_bound,PS-PS64:pruned_by_bound,PPS32:pruned_infeasible,PS-PS64:pruned_infeasible,PPS32:root_potential_iterations,PS-PS64:root_potential_iterations,PPS32:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.429298292702024,89.6118300061855,0.42791002430021763,7.141569368541241,15.689418249128895,588.0,11690.0,18.88095238095238,125.0,3795.0,468.0,7993.0,0.0,0.0,400.0,400.0,289.0,10699.0,263.0,10635.0,26.0,64.0,1.4615384615384617,4143.0,103185.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.926017851361832,1.4516972664503758,0.11090339720249176,0.14117291569709778,0.2729358996942064,411.0,791.0,0.9245742092457421,130.0,263.0,284.0,533.0,47.0,32.0,400.0,400.0,376.0,730.0,376.0,730.0,0.0,0.0,0.0,5604.0,6467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.144601468262344,21.761494852824356,0.16117767803370953,0.8851622808724642,4.4918416226801385,281.0,2612.0,8.295373665480428,76.0,869.0,207.0,1772.0,0.0,0.0,364.0,400.0,156.0,2382.0,146.0,2371.0,10.0,11.0,0.10000000000000009,2603.0,22675.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.21964719187732584,0.008374896539523391,0.023005302995443344,0.029727540910243988,0.29220384170258984,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,83.97295417300754,1482.763764600036,13.586690604686737,237.24536114186049,16.461600329665455,11187.0,314985.0,27.156342182890857,3401.0,100794.0,7829.0,216976.0,0.0,0.0,400.0,800.0,10312.0,293371.0,10188.0,293324.0,124.0,47.0,-0.6209677419354839,158636.0,2685178.0,0.0,0.0,0.0,0.0,123.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,243.05685701946433,318.50262427573995,82.01540363952518,107.36898366175592,0.3091319300660278,66321.0,126184.0,0.9026251112015802,22562.0,44575.0,44039.0,82645.0,1.0,2.0,400.0,400.0,61154.0,116138.0,61147.0,116131.0,7.0,7.0,0.0,993404.0,1086697.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.1645070254310621,0.46421233626969016,0.02113865688443184,0.02657904289662838,0.2573666833205126,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.1728089895994125,2.7330055911659183,0.00999007560312748,0.031798023730516434,2.1829612701391157,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.16011356035241942,1.3623287397528108,0.011392222717404366,0.03204263560473919,1.8126763669908192,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3415296085837864,4.542675399341409,0.25710921362042427,0.4264732263982296,0.6587240122317863,1459.0,4375.0,1.9986291980808772,464.0,1335.0,1000.0,3067.0,0.0,4.0,334.0,389.0,1309.0,3982.0,1302.0,3651.0,7.0,331.0,46.285714285714285,20272.0,29496.0,0.0,0.0,0.0,0.0,7.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
