instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P128:status,P128:successful_repeats,P128:result,P64:status,P64:successful_repeats,P64:result,result_match,P128:matches_reference,P64:matches_reference,P128:wall_vs_Concorde_symmetric_change,P64:wall_vs_Concorde_symmetric_change,P128:wall_seconds,P64:wall_seconds,symmetric_change:wall_seconds,P128:branches,P64:branches,symmetric_change:branches,P128:nodes_expanded,P64:nodes_expanded,P128:pruned_by_bound,P64:pruned_by_bound,P128:pruned_infeasible,P64:pruned_infeasible,P128:root_potential_iterations,P64:root_potential_iterations,P128:search_node_potential_update_candidates,P64:search_node_potential_update_candidates,P128:search_node_potential_updates_triggered,P64:search_node_potential_updates_triggered,P128:search_node_potential_updates_skipped_total,P64:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P128:search_node_potential_iterations,P64:search_node_potential_iterations,P128:search_node_potential_updates_skipped_budget_exhausted,P64:search_node_potential_updates_skipped_budget_exhausted,P128:search_node_potential_updates_skipped_depth_interval,P64:search_node_potential_updates_skipped_depth_interval,P128:search_node_potential_updates_skipped_gap_above_maximum,P64:search_node_potential_updates_skipped_gap_above_maximum,P128:search_node_potential_updates_skipped_gap_below_minimum,P64:search_node_potential_updates_skipped_gap_below_minimum,P128:search_node_potential_updates_skipped_invalid_state,P64:search_node_potential_updates_skipped_invalid_state,P128:search_node_potential_updates_skipped_numerically_unsafe,P64:search_node_potential_updates_skipped_numerically_unsafe,P128:search_node_potential_updates_skipped_strategy_none,P64:search_node_potential_updates_skipped_strategy_none,P128:search_node_potential_updates_skipped_update_depth_zero,P64:search_node_potential_updates_skipped_update_depth_zero,P128:search_node_potential_updates_skipped_zero_iteration_limit,P64:search_node_potential_updates_skipped_zero_iteration_limit,P128:search_node_potential_updates_skipped_zero_violation,P64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.6041042434340347,-1.3724477036264537,0.03607780486345291,0.03960060514509678,0.09764452950995617,25.0,25.0,0.0,9.0,9.0,16.0,16.0,0.0,0.0,100.0,100.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,601.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.0793566055922201,-0.5506581820399963,0.017169835045933723,0.023023907095193863,0.34095097789809814,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.300781434497736,-0.2642851063689564,0.031864747405052185,0.0327845923602581,0.028867166072688688,8.0,8.0,0.0,2.0,2.0,5.0,5.0,1.0,1.0,100.0,100.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.0364324748843736,-0.9902678607832531,0.030941275879740715,0.0316589642316103,0.02319517639346924,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.34230427181218737,-0.5059955733081316,0.07428975775837898,0.06621497496962547,-0.1219479852172054,40.0,40.0,0.0,12.0,12.0,28.0,28.0,0.0,0.0,120.0,120.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,955.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.7211227641583919,-1.7887889860961592,0.021227296441793442,0.004422493278980255,-3.7998482084043017,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1263.3492545597087,1383.6297981295509,241.59466307982802,264.5781364310533,0.09513237195819602,110631.0,110631.0,0.0,33020.0,33020.0,77779.0,77779.0,0.0,0.0,400.0,400.0,105521.0,105521.0,103815.0,103815.0,1706.0,1706.0,0.0,2769882.0,2769882.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,415.45241720723413,416.2292663514682,145.6149998176843,145.88662962056696,0.0018653971309463557,45333.0,45333.0,0.0,13353.0,13353.0,32031.0,32031.0,0.0,0.0,400.0,400.0,43589.0,43589.0,43184.0,43184.0,405.0,405.0,0.0,1158398.0,1158398.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.4214687528704055,0.06987927215882195,0.021981947124004364,0.03343014419078827,0.520799954717498,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5993754726319689,-0.4339327619370992,0.015256617218255997,0.017016878351569176,0.11537689568608034,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
